,german,spanish,Distances
0,ja,sí,0.0
1,nein,no,0.5
2,hast,tener,0.0
3,gut,bien,0.0
4,schon,hermoso,0.0
5,mal,veces,0.0
6,weiß,blanco,0.0
7,s,s,1.0
8,geht,va,0.0
9,oh,vaya,0.0
10,mehr,más,0.3333333333333333
11,bitte,de nada,0.0
12,immer,siempre,0.5
13,warum,por qué,0.2
14,los,vamos,0.3333333333333333
15,sagen,decir,0.0
16,danke,gracias,0.0
17,mann,esposo,0.0
18,tun,hacer,0.0
19,gehen,caminar,0.25
20,sehen,ver,0.0
21,vielleicht,quizás,0.0
22,wer,quién,0.0
23,komm,venir,0.0
24,gibt,son,0.0
25,okay,ok,0.5
26,wissen,saber,0.25
27,müssen,tengo que,0.0
28,nie,nunca,0.3333333333333333
29,wirklich,de verdad,0.0
30,hey,oye,0.5
31,tut,lo hace,0.0
32,einfach,fácil,0.25
33,leben,vida,0.0
34,zeit,tiempo,0.0
35,willst,desear,0.2
36,kommen,venir,0.0
37,heute,este dia,0.25
38,kommt,proviene,0.0
39,ganz,todos,0.0
40,wäre,haría,0.0
41,weißt,saber,0.0
42,ok,ok,1.0
43,sicher,seguro,0.5
44,gesagt,dijo,0.0
45,frau,sra,0.5
46,wurde,convertirse,0.14285714285714285
47,leid,sufrimiento,0.0
48,na,n / a,0.25
49,kannst,pueden,0.2
50,macht,energía,0.0
51,zurück,devolver,0.0
52,lassen,dejar,0.0
53,hallo,hola,0.6666666666666666
54,gott,dios,0.0
55,hätte,tendría,0.0
56,zwei,dos,0.0
57,genau,estoy de acuerdo,0.0
58,lass,dejar,0.0
59,klar,claro,0.6666666666666666
60,morgen,mañana,0.5
61,leute,gente,0.3333333333333333
62,vater,padre,0.3333333333333333
63,schön,agradable,0.0
64,glaube,creer,0.0
65,mr.,señor.,0.5
66,ab,lejos,0.0
67,gerade,sólo,0.0
68,tag,día,0.0
69,gesehen,visto,0.25
70,reden,hablar,0.0
71,wohl,probablemente,0.125
72,liebe,amor,0.0
73,sagte,dijo,0.0
74,jemand,alguien,0.25
75,geld,dinero,0.0
76,mutter,madre,0.5
77,raus,afuera,0.0
78,gemacht,hizo,0.2
79,paar,pocos,0.3333333333333333
80,mach,hacer,0.3333333333333333
81,passiert,sucedió,0.2
82,dachte,pensamiento,0.16666666666666666
83,besser,mejor,0.25
84,musst,deber,0.0
85,wieso,cómo,0.0
86,sir,señor,0.6666666666666666
87,gehört,escuchó,0.0
88,möchte,gustaría,0.0
89,hör,escuchar,0.2
90,her,aquí,0.0
91,sag,decir,0.0
92,helfen,ayuda,0.0
93,nacht,noche,0.75
94,finden,encontrar,0.16666666666666666
95,gute,calidad,0.0
96,lange,largo,0.6666666666666666
97,natürlich,naturalmente,0.42857142857142855
98,ach,vaya,0.0
99,gar,en absoluto,0.0
100,sei,ser,0.5
101,geben,dar,0.0
102,seit,ya que,0.0
103,gleich,mismo,0.0
104,sagt,dice,0.0
105,recht,ley,0.0
106,richtig,correcto,0.2
107,ordnung,ordenar,0.6
108,hören,escuchar,0.0
109,sieht,ve,0.0
110,davon,a partir de ese,0.1111111111111111
111,dafür,por lo tanto,0.0
112,geh,vamos,0.0
113,wegen,porque,0.0
114,hause,hogar,0.3333333333333333
115,sollten,debería,0.0
116,mädchen,chica,0.3333333333333333
117,sollen,deber,0.0
118,abend,tardecita,0.2
119,haus,una casa,0.25
120,denke,pensar,0.25
121,viele,muchos,0.0
122,drei,tres,0.3333333333333333
123,freund,amigo,0.0
124,guten,bueno,0.3333333333333333
125,warte,espere,0.0
126,machst,hacer,0.2
127,menschen,gente,0.16666666666666666
128,essen,comida,0.0
129,angst,miedo,0.0
130,bleiben,quédate,0.0
131,zusammen,juntos,0.0
132,welt,mundo,0.0
133,habt,tener,0.0
134,schnell,rápidamente,0.0
135,tot,muerto,0.3333333333333333
136,getan,hizo,0.0
137,darf,mayo,0.0
138,erst,primero,0.25
139,rein,puro,0.0
140,stimmt,derecha,0.0
141,nehmen,tomar,0.25
142,kinder,niños,0.25
143,glauben,creer,0.0
144,bringen,traer,0.2
145,ganze,entero,0.0
146,genug,suficiente,0.2
147,scheiße,tonterías,0.0
148,brauchen,necesitar,0.0
149,moment,momento,1.0
150,junge,chico,0.0
151,steht,soportes,0.4
152,musik,música,0.5
153,arbeit,trabajo,0.5
154,seid,son,0.5
155,fragen,pedir,0.0
156,herr,señor,0.3333333333333333
157,dabei,incluido,0.0
158,heißt,llamó,0.0
159,familie,familia,1.0
160,warten,esperando,0.2
161,niemand,nadie,0.5
162,sofort,instantáneamente,0.2
163,bevor,antes de,0.0
164,jahre,años,0.0
165,problem,problema,1.0
166,sohn,hijo,0.3333333333333333
167,wann,cuando,0.3333333333333333
168,brauche,necesitar,0.0
169,fertig,acabado,0.0
170,halt,deténgase,0.0
171,allein,solo,0.3333333333333333
172,beim,en el,0.0
173,sprechen,hablar,0.0
174,beide,ambas cosas,0.14285714285714285
175,gefunden,fundar,0.6
176,sache,cosa,0.3333333333333333
