,german,english,Distances
0,ja,yes,0.0
1,nein,no,0.5
2,hast,have,0.3333333333333333
3,gut,well,0.0
4,schon,beautiful,0.0
5,mal,times,0.3333333333333333
6,weiß,white,0.3333333333333333
7,s,s,1.0
8,geht,goes,0.3333333333333333
9,oh,oh,1.0
10,mehr,more,0.6666666666666666
11,bitte,you're welcome,0.0
12,immer,always,0.0
13,warum,why,0.3333333333333333
14,los,come on,0.0
15,sagen,to say,0.0
16,danke,thanks,0.4
17,mann,husband,0.2
18,tun,to do,0.3333333333333333
19,gehen,walk,0.0
20,sehen,see,0.3333333333333333
21,vielleicht,perhaps,0.0
22,wer,who,0.5
23,komm,come over,0.2
24,gibt,are,0.0
25,okay,ok,0.5
26,wissen,to know,0.2
27,müssen,have to,0.0
28,nie,never,0.3333333333333333
29,wirklich,really,0.3333333333333333
30,hey,hey,1.0
31,tut,does,0.0
32,einfach,easy,0.0
33,leben,life,0.3333333333333333
34,zeit,time,0.0
35,willst,want,0.4
36,kommen,come,0.25
37,heute,today,0.0
38,kommt,comes,0.25
39,ganz,quite,0.0
40,wäre,would,0.3333333333333333
41,weißt,know,0.0
42,ok,ok,1.0
43,sicher,secure,0.75
44,gesagt,said,0.25
45,frau,mrs,0.3333333333333333
46,wurde,became,0.0
47,leid,suffering,0.0
48,na,n / a,0.25
49,kannst,can,0.2
50,macht,might,0.75
51,zurück,return,0.2
52,lassen,to let,0.0
53,hallo,hello,1.0
54,gott,god,0.3333333333333333
55,hätte,would have,0.0
56,zwei,two,0.5
57,genau,exactly,0.0
58,lass,let,0.3333333333333333
59,klar,clear,0.6666666666666666
60,morgen,morning,0.6
61,leute,people,0.0
62,vater,father,0.5
63,schön,nice,0.2
64,glaube,believe,0.3333333333333333
65,mr.,mr.,1.0
66,ab,away,0.0
67,gerade,just,0.0
68,tag,day,0.0
69,gesehen,seen,0.5
70,reden,talk,0.0
71,wohl,well,0.6666666666666666
72,liebe,love,0.5
73,sagte,said,0.3333333333333333
74,jemand,someone,0.5
75,geld,money,0.0
76,mutter,mother,0.75
77,raus,out,0.0
78,gemacht,made,0.2
79,paar,pair,1.0
80,mach,do,0.0
81,passiert,happened,0.0
82,dachte,thought,0.4
83,besser,better,0.5
84,musst,must,0.75
85,wieso,how come,0.2
86,sir,sir,1.0
87,gehört,heard,0.4
88,möchte,would like to,0.125
89,hör,listen,0.0
90,her,here,1.0
91,sag,say,0.5
92,helfen,help,0.5
93,nacht,night,0.75
94,finden,find,0.75
95,gute,quality,0.25
96,lange,long,1.0
97,natürlich,naturally,0.5714285714285714
98,ach,oh,0.5
99,gar,at all,0.0
100,sei,be,0.0
101,geben,give,0.3333333333333333
102,seit,since,0.3333333333333333
103,gleich,same,0.0
104,sagt,says,0.3333333333333333
105,recht,law,0.0
106,richtig,correct,0.2
107,ordnung,order,0.4
108,hören,listen,0.25
109,sieht,sees,0.3333333333333333
110,davon,of that,0.0
111,dafür,therefore,0.2
112,geh,go,0.5
113,wegen,because,0.0
114,hause,home,0.5
115,sollten,should,0.4
116,mädchen,girl,0.0
117,sollen,must,0.0
118,abend,evening,0.25
119,haus,a house,0.6666666666666666
120,denke,think,0.5
121,viele,many,0.0
122,drei,three,0.3333333333333333
123,freund,friend,1.0
124,guten,good,0.3333333333333333
125,warte,wait,0.6666666666666666
126,machst,do,0.0
127,menschen,people,0.0
128,essen,meal,0.0
129,angst,fear,0.0
130,bleiben,stay,0.0
131,zusammen,together,0.0
132,welt,world,0.5
133,habt,have,0.3333333333333333
134,schnell,quickly,0.3333333333333333
135,tot,dead,0.0
136,getan,did,0.0
137,darf,may,0.0
138,erst,first,0.75
139,rein,pure,0.0
140,stimmt,right,0.2
141,nehmen,take,0.0
142,kinder,children,0.3333333333333333
143,glauben,believe,0.25
144,bringen,bring,0.8
145,ganze,whole,0.0
146,genug,enough,0.3333333333333333
147,scheiße,crap,0.25
148,brauchen,to need,0.0
149,moment,moment,1.0
150,junge,boy,0.0
151,steht,stands,0.4
152,musik,music,0.6666666666666666
153,arbeit,job,0.3333333333333333
154,seid,are,0.0
155,fragen,ask,0.0
156,herr,mr,0.3333333333333333
157,dabei,included,0.2
158,heißt,called,0.0
159,familie,family,0.75
160,warten,waiting,0.5
161,niemand,nobody,0.25
162,sofort,instantly,0.2857142857142857
163,bevor,before,0.6666666666666666
164,jahre,years,0.0
165,problem,problem,1.0
166,sohn,son,0.6666666666666666
167,wann,when,0.6666666666666666
168,brauche,need,0.0
169,fertig,finished,0.2
170,halt,just,0.3333333333333333
171,allein,alone,0.6666666666666666
172,beim,at the,0.0
173,sprechen,to speak,0.0
174,beide,both,0.3333333333333333
175,gefunden,found,0.6
176,sache,thing,0.0
177,hilfe,help,0.6666666666666666
178,verdammt,damn it,0.3333333333333333
179,ne,no,1.0
180,gern,gladly,0.2
181,konnte,could,0.0
182,darüber,about that,0.0
183,halten,keep,0.0
184,siehst,see,0.25
185,verstehe,understand,0.42857142857142855
186,jahren,years,0.25
187,kam,came,0.5
188,kind,child,0.25
189,wusste,knew,0.0
190,wahr,true,0.3333333333333333
191,bruder,brothers,0.5
192,daran,to it,0.0
193,denken,think,0.25
194,könnten,could,0.0
195,dank,thanks to,0.2857142857142857
196,lieber,rather,0.25
197,fall,case,0.0
198,sehe,see,0.5
199,egal,no matter,0.0
200,kennen,know,0.5
201,vergessen,forget,0.3333333333333333
202,frage,ask,0.0
203,mache,make,0.3333333333333333
