,spanish,french,Distances
0,si,oui,0.0
1,bien,bien,1.0
2,aquí,ici,0.0
3,ahora,à présent,0.125
4,así,alors,0.0
5,vamos,nous allons,0.14285714285714285
6,bueno,bon,1.0
7,sé,il,0.0
8,cómo,quoi,0.0
9,ser,être,0.3333333333333333
10,puedo,est-ce-que je peux,0.09090909090909091
11,quiero,je veux,0.0
12,hacer,fais,0.0
13,gracias,merci,0.5
14,vez,fois,0.0
15,sólo,seul,0.6666666666666666
16,creo,je pense,0.0
17,voy,j'y vais,0.16666666666666666
18,sabes,vous connaissez,0.2222222222222222
19,puede,il peut,0.25
20,usted,tu,0.3333333333333333
21,entonces,ensuite,0.2
22,hola,salut,0.3333333333333333
23,solo,seul,1.0
24,verdad,vérité,0.4
25,casa,maison,0.3333333333333333
26,tan,alors,0.0
27,quién,qui,0.3333333333333333
28,tiempo,météo,0.0
29,dos,deux,0.5
30,nunca,jamais,0.0
31,dónde,où,0.0
32,va,se rend,0.0
33,oh,oh,1.0
34,favor,favoriser,0.6
35,quieres,tu veux,0.0
36,siento,je me sens,0.2857142857142857
37,señor,monsieur,0.25
38,mejor,mieux,0.3333333333333333
39,hace,est-ce que,0.16666666666666666
40,decir,raconter,0.4
41,dios,dieu,0.5
42,puedes,tu peux,0.0
43,ver,regarder,0.2
44,hombre,hommes,0.5
45,vida,la vie,0.0
46,alguien,quelqu'un,0.4
47,cosas,choses,0.75
48,siempre,toujours,0.0
49,ahí,là,0.0
50,ir,aller,0.3333333333333333
51,años,années,0.25
52,día,jour,0.0
53,noche,nuit,0.3333333333333333
54,hecho,fait,0.0
55,acuerdo,accord,0.75
56,trabajo,travaillé,0.3333333333333333
57,parece,il semble,0.0
58,gente,personnes,0.16666666666666666
59,padre,papa,0.3333333333333333
60,mira,voir,0.5
61,mismo,même,0.6666666666666666
62,dijo,a dit,0.3333333333333333
63,nadie,personne,0.2
64,quiere,veut,0.0
65,podría,pourrait,0.5
66,hablar,parler,0.5
67,vas,tu vas,0.5
68,sr.,m.,0.3333333333333333
69,tal,tel,1.0
70,pasa,arrive,0.0
71,después,après,0.2
72,dinero,argent,0.25
73,mundo,monde,1.0
74,claro,bien sûr,0.16666666666666666
75,momento,moment,1.0
76,tener,avoir,0.3333333333333333
77,mañana,matin,0.6666666666666666
78,madre,mère,0.6666666666666666
79,vale,bien,0.0
80,lugar,place,0.0
81,haciendo,fabrication,0.16666666666666666
82,seguro,assurance,0.4
83,sabe,sait,0.5
84,podemos,pouvons,0.5
85,espera,attendez,0.0
86,nuevo,nouveau,1.0
87,sido,a été,0.0
88,cosa,des trucs,0.2857142857142857
89,hijo,fils,0.0
90,allí,là bas,0.2
91,menos,moins,1.0
92,tipo,type,0.6666666666666666
93,amigo,mec,0.5
94,gran,génial,0.5
95,mujer,femme,0.0
96,mamá,maman,0.6666666666666666
97,luego,alors,0.3333333333333333
98,papá,père,0.3333333333333333
99,días,jours,0.3333333333333333
100,dice,il dit,0.25
101,hoy,aujourd'hui,0.0
102,tres,trois,1.0
103,buena,bonne,0.6666666666666666
104,necesito,nécessaire,0.5
105,dije,a dit,0.3333333333333333
106,oye,entend,0.0
107,gusta,comme,0.0
108,quería,recherché,0.14285714285714285
109,haber,avoir,0.3333333333333333
110,parte,partie,1.0
111,todas,toutes,0.6666666666666666
112,crees,penses-tu,0.16666666666666666
113,buen,bien,1.0
114,conmigo,avec moi,0.25
115,nombre,nom,0.5
116,mierda,merde,1.0
117,mal,mauvais,0.3333333333333333
118,debe,devoir,0.3333333333333333
119,realmente,réellement,0.7142857142857143
120,aún,même,0.0
121,toda,tout,0.5
122,hacerlo,fais le,0.25
123,cada,chaque,0.3333333333333333
124,visto,vu,0.3333333333333333
125,importa,question,0.0
126,contigo,avec vous,0.2
127,razón,raison,0.5
128,alguna,quelque,0.0
129,saber,à savoir,0.4
130,hizo,fabriqué,0.0
131,veces,fois,0.3333333333333333
132,serio,sérieux,0.5
133,ven,viens,0.6666666666666666
134,idea,idée,0.5
135,eh,hé,0.5
136,tarde,après midi,0.2857142857142857
137,problema,problème,0.8333333333333334
138,hora,heure,1.0
