,spanish,english,Distances
0,si,yes,0.5
1,bien,right,0.0
2,aquí,here,0.0
3,ahora,now,0.0
4,así,so,0.5
5,vamos,we go,0.0
6,bueno,okay,0.0
7,sé,he,0.0
8,cómo,what,0.0
9,ser,be,0.0
10,puedo,can i,0.0
11,quiero,i want,0.0
12,hacer,do,0.0
13,gracias,thank you,0.0
14,vez,time,0.0
15,sólo,single,0.5
16,creo,i think,0.0
17,voy,i go,0.0
18,sabes,you know,0.0
19,puede,can,0.0
20,usted,you,0.0
21,entonces,then,0.2
22,hola,hello,0.6666666666666666
23,solo,only,0.3333333333333333
24,verdad,true,0.25
25,casa,house,0.5
26,tan,so,0.0
27,quién,who,0.0
28,tiempo,weather,0.25
29,dos,two,0.0
30,nunca,never,0.3333333333333333
31,dónde,where,0.0
32,va,goes,0.0
33,oh,oh,1.0
34,favor,favour,1.0
35,quieres,you want,0.0
36,siento,i feel,0.0
37,señor,mister,0.5
38,mejor,better,0.25
39,hace,does,0.0
40,decir,tell,0.0
41,dios,god,0.0
42,puedes,you may,0.0
43,ver,watch,0.0
44,hombre,men,0.25
45,vida,life,0.0
46,alguien,someone,0.3333333333333333
47,cosas,stuff,0.0
48,siempre,forever,0.25
49,ahí,there,0.3333333333333333
50,ir,to go,0.0
51,años,years,0.3333333333333333
52,día,day,0.5
53,noche,night,0.5
54,hecho,done,0.0
55,acuerdo,agreement,0.2
56,trabajo,worked,0.25
57,parece,it seems,0.0
58,gente,people,0.0
59,padre,dad,0.3333333333333333
60,mira,look,0.0
61,mismo,same,0.6666666666666666
62,dijo,said,0.0
63,nadie,no one,0.3333333333333333
64,quiere,wants,0.0
65,podría,could,0.0
66,hablar,speak,0.0
67,vas,you go,0.0
68,sr.,mr.,0.6666666666666666
69,tal,such,0.0
70,pasa,happens,0.4
71,después,after,0.0
72,dinero,money,0.3333333333333333
73,mundo,world,0.25
74,claro,sure,0.3333333333333333
75,momento,moment,1.0
76,tener,to have,0.25
77,mañana,morning,0.4
78,madre,mother,0.5
79,vale,okay,0.0
80,lugar,place,0.0
81,haciendo,making,0.25
82,seguro,sure,0.6666666666666666
83,sabe,knows,0.0
84,podemos,can,0.0
85,espera,wait,0.0
86,nuevo,new,0.5
87,sido,been,0.0
88,cosa,stuff,0.0
89,hijo,son,0.0
90,allí,over there,0.0
91,menos,less,0.3333333333333333
92,tipo,type,0.6666666666666666
93,amigo,dude,0.0
94,gran,great,0.6666666666666666
95,mujer,woman,0.0
96,mamá,breast,0.0
97,luego,later,0.3333333333333333
98,papá,father,0.0
99,días,days,0.6666666666666666
100,dice,he says,0.0
101,hoy,today,0.3333333333333333
102,tres,three,0.3333333333333333
103,buena,good,0.0
104,necesito,needed,0.25
105,dije,said,0.0
106,oye,hears,0.0
107,gusta,like,0.0
108,quería,wanted,0.0
109,haber,to have,0.0
110,parte,part,1.0
111,todas,all,0.0
112,crees,do you think,0.0
113,buen,good,0.0
114,conmigo,with me,0.0
115,nombre,name,0.5
116,mierda,shit,0.0
117,mal,wrong,0.0
118,debe,must,0.0
119,realmente,really,0.4
120,aún,even,0.5
121,toda,all,0.0
122,hacerlo,do it,0.0
123,cada,each,0.5
124,visto,viewed,0.3333333333333333
125,importa,matter,0.25
126,contigo,with you,0.0
127,razón,reason,0.5
128,alguna,some,0.0
129,saber,to know,0.0
130,hizo,made,0.0
131,veces,times,0.3333333333333333
132,serio,i laughed,0.0
133,ven,come,0.0
134,idea,idea,1.0
135,eh,hey,0.5
136,tarde,afternoon,0.4
137,problema,issue,0.0
138,hora,hour,1.0
139,cierto,certain,0.75
140,dicho,saying,0.0
141,demasiado,too,0.0
142,amor,love,0.0
143,ve,go,0.0
144,pasado,past,0.6666666666666666
145,familia,family,0.75
146,policía,policeman,0.6
147,debería,should,0.0
148,ustedes,your,0.0
149,chica,girl,0.0
150,chicos,boys,0.25
151,cuenta,bill,0.0
152,haces,you do,0.0
153,todavía,yet,0.0
154,salir,leave,0.3333333333333333
155,algún,some,0.0
156,vaya,wow,0.0
157,veo,i see,0.0
158,amigos,friends,0.2
159,hermano,brother,0.2
160,pensé,i thought,0.0
161,sabía,i knew,0.0
162,cabeza,head,0.0
163,ah,oh,1.0
164,cariño,sweetie,0.0
165,digo,say,0.0
166,van,go,0.0
167,hombres,mens,0.4
168,buenas,good,0.0
169,cualquier,any,0.0
170,forma,form,1.0
171,mientras,while,0.0
172,lado,side,0.5
173,debo,i shall,0.0
174,caso,case,1.0
175,pueden,they can,0.16666666666666666
176,pasó,i pass,0.5
177,primera,first,0.25
178,genial,cool,0.3333333333333333
179,chico,boy,0.0
180,supuesto,supposed,0.6
181,hice,i did,0.0
182,pues,well,0.0
183,adiós,bye,0.0
184,muchas,many,0.25
185,personas,people,0.2
186,señora,mrs,0.0
187,volver,return,0.0
188,quizá,maybe,0.0
189,camino,road,0.0
190,hablando,talking,0.2
191,manera,way,0.0
192,muerto,dead,0.0
193,persona,person,1.0
194,rápido,quick,0.0
195,cuál,which,0.0
196,ayuda,aid,0.5
197,historia,history,0.8
198,iba,i was going,0.0
199,supongo,i guess,0.0
200,nueva,new,0.5
201,entiendo,i get it,0.2
202,dentro,within,0.0
203,casi,almost,0.25
204,puerta,gate,0.3333333333333333
205,ves,you see,0.3333333333333333
206,pasar,spend,0.25
207,primero,first,0.25
208,significa,it means,0.0
209,semana,week,0.0
210,hacia,towards,0.0
211,quizás,maybe,0.0
212,espero,wait,0.0
213,juntos,together,0.2
214,año,year,0.0
215,niños,kids,0.3333333333333333
216,pronto,early,0.25
217,tío,uncle,0.0
218,suerte,luck,0.0
219,ciudad,city,0.3333333333333333
220,siquiera,even,0.0
221,feliz,happy,0.0
222,venir,to come,0.0
223,hija,daughter,0.2
224,gustaría,would like,0.0
225,minutos,minutes,1.0
226,cuánto,how many,0.16666666666666666
227,hey,hey,1.0
228,muerte,death,0.0
229,dejar,let,0.0
230,realidad,reality,0.5
231,deja,let,0.0
232,problemas,problems,1.0
233,vi,saw,0.0
234,da,gives,0.0
235,importante,important,1.0
236,dijiste,said,0.25
237,corazón,heart,0.2
238,miedo,fear,0.0
239,jefe,boss,0.0
240,agua,water,0.0
241,haré,i will do,0.0
242,justo,just,1.0
243,horas,hours,1.0
244,poder,can,0.0
245,buenos,good ones,0.4
246,esposa,wife,0.0
247,manos,hands,0.5
248,debes,you should,0.16666666666666666
249,viene,comes,0.0
250,venga,come on,0.0
251,ojos,eyes,0.5
252,adelante,ahead,0.0
253,encontrar,find,0.16666666666666666
254,mano,hand,0.3333333333333333
255,cinco,five,0.0
256,niño,little boy,0.0
257,ninguna,none,0.5
258,cara,expensive,0.0
259,cuidado,watch out,0.16666666666666666
260,bajo,bass,0.3333333333333333
261,cerca,close,0.3333333333333333
262,viejo,old,0.0
263,déjame,let me,0.25
264,noches,nights,0.6
265,bastante,quite,0.2
266,fin,finish,0.5
