spanish,german,index,alignment,spanish_eng,german_eng
conferencia,konferenz,0,0|0,conference,conference
partes,vertragsparteien,1,1|1,parts,contracting parties
convención,übereinkommens,2, 2|2,convention,convention
naciones,vereinten,3, 3|4,nations,united
unidas,nationen,4, 4|3,united,nations
delincuencia,grenzüberschreitende,5,5|7,delinquency,cross-border
organizada,organisierte,6, 6|6,organized,organized
transnacional,kriminalität,7,7|5,transnational,crime
decide,beschließt,8,# 8|8,decide,decides
partir,wirkung,9,9|10,depart,effect
tercer,ab,10, 10|11,third,away
período,dritten,11,,period,third
sesiones,tagung,12,12|12,sessions,meeting
elegir,ende,13,13|18,choose,end
final,tagung,14,14|13,final,meeting
período,präsidium,15,,period,presidium
sesiones,folgende,16,16|17,sessions,the following
mesa,tagung,17,,desk,meeting
período,wählen,18,,period,Select
sesiones,ermutigen,19,# 19|27,sessions,encourage
siguiente,aktiv,20,# 20|16,following,active
alentarla,vorbereitung,21,# 21|19,encourage her,preparation
desempeñe,beteiligen,22,,perform,participate
papel,ordentlichen,23,,paper,ordinary
activo,tagung,24, 24|20,active,meeting
preparación,sowie,25, 25|21,preparation,as
período,eventuellen,26,,period,eventual
ordinario,zwischensitzungen,27, 27|23,Ordinary,between sessions
sesiones,beschließt,28,28|24,sessions,decides
así,außerdem,29,,So,aside from that
posibles,regel,30,30|26,possible,rule
reuniones,geschäftsordnung,31,# 31|35,meetings,rules of procedure
períodos,wirkung,32,,periods,effect
sesiones,ab,33,33|35,sessions,away
decide,dritten,34,# 34|28,decide,third
enmendar,tagung,35,## 35|41,amend,meeting
artículo,folgt,36,,Article,follows
reglamento,entsprechend,37,,regulation,corresponding
consecuencia,ändern,38,38|32,consequence,change
efecto,regel,39,* 39|32,effect,rule
partir,wahl,40,,depart,choice
tercer,ende,41,* 41|34,third,end
período,tagung,42,,period,meeting
sesiones,präsident,43,,sessions,president
diga,acht,44,,say,eight
siguiente,stellvertretende,45,45|36,following,deputy
artículo,präsidenten,46,,Article,presidents
elección,berichterstatter,47,* 47|40,choice,rapporteur
final,vertretern,48,48|41,final,represent
cada,vertragsstaaten,49,,each,contracting states
período,gewählt,50,,period,chosen
sesiones,präsident,51,51|42,sessions,president
presidente,vizepräsidenten,52,52|46,President,vice president
ocho,gewählte,53,* 53|44,Eight,elected
vicepresidentes,berichterstatter,54,# 54|52,vice presidents,rapporteur
los,fungieren,55,,the,act
presidentes,amtsträger,56,56|51,presidents,official
relator,nachfolgenden,57, 57|54,rapporteur,subsequent
elegidos,tagung,58, 58|50,chosen,meeting
representantes,leiten,59,## 59|48,representatives,conduct
partes,sekretariat,60,,parts,office
presidente,vorbereitungen,61,,President,preparations
vicepresidentes,tagung,62,,vice presidents,meeting
relator,zwischensitzungen,63,* 63|47,rapporteur,between sessions
así,abgehalten,64,# 64|66,So,held
elegidos,wahl,65,65|50,chosen,choice
actuarán,sitzungsleiter,66,## 66|55,will act,chairperson
miembros,fünf,67,,members,five
mesa,regionalgruppen,68,,desk,regional groups
siguiente,zwei,69,69|57,following,two
sesión,amtsträger,70,,session,official
guiarán,vertreten,71,,will guide,represent
secretaría,gehört,72,,Secretary,heard
preparativos,vertretern,73,* 73|61,preparations,represent
sesión,staaten,74,,session,states
cualquier,vertragsparteien,75,,any,contracting parties
reuniones,übereinkommens,76,76|62,meetings,convention
períodos,sind,77,,periods,are
sesiones,mehrerer,78,,sessions,several
puedan,möglichst,79,,may,if possible
celebrarse,protokolle,80,,celebrate,protocols
elegir,eröffnung,81,81|65,choose,opening
miembros,tagung,82,,members,meeting
mesa,kraft,83,,desk,force
sesión,getreten,84,,session,kicked
cada,sind,85,,each,are
cinco,präsidium,86,86|67,five,presidium
grupos,gehören,87,"87,88|68",groups,belong
regionales,mindestens,88,,regional,at least
representado,zwei,89,### 89|73,represented,two
dos,vertreter,90, 90|69,two,representative
miembros,staaten,91,,members,states
mesa,an,92,,desk,at
cuales,vertragsparteien,93,,which,contracting parties
representantes,urkunden,94,# 94|90,representatives,certificates
partes,eröffnung,95,95|75,parts,opening
convención,tagung,96,** 96|76,convention,meeting
si,kraft,97,,Yes,force
posible,getreten,98,### 98|79,possible,kicked
protocolos,ämter,99,** 99|80,protocols,offices
entrado,präsidenten,100,,entered,presidents
vigor,berichterstatters,101,101|83,vigor,rapporteur
apertura,konferenz,102,102|81,opening,conference
período,unterliegen,103,,period,subject
sesiones,normalerweise,104,,sessions,normally
mesa,rotationswechsel,105,,desk,rotation change
incluirá,fünf,106,,will include,five
menos,regionalgruppen,107,107|88,less,regional groups
dos,namen,108,108|89,two,names
representantes,mitgliedstaaten,109,109|90,representatives,member states
partes,vereinten,110,110|93,parts,united
instrumentos,nationen,111,,instruments,nations
entrado,mitglieder,112,,entered,members
vigor,europäischen,113,113|97,vigor,European
apertura,union,114,114|95,opening,union
período,sechzigste,115,,period,sixtieth
sesioneslos,tagung,116,,sessions,meeting
cargos,tagesordnungspunkt,117,,charges,agenda item
presidente,vorgeschlagener,118,#### 118|100,President,proposed
relator,programmhaushalt,119,*** 119|101,rapporteur,program budget
conferencia,zweijahreszeitraum,120,*** 120|102,conference,biennium
normalmente,-,121,121|104,usually,
sujetos,vorgeschlagener,122,#### 122|103,subjects,proposed
rotación,programmhaushalt,123,#### 123|105,rotation,program budget
cinco,zweijahreszeitraum,124,124|106,five,biennium
grupos,-,125,"126,125|107",groups,
regionales,abschnitt,126,,regional,section
nombre,amt,127,#### 127|108,Name,government office
miembros,interne,128,"128,129|109",members,internal
naciones,aufsichtsdienste,129,129|111,nations,supervisory services
unidas,fünfzehnter,130,*** 130|110,united,fifteenth
miembros,bericht,131,131|112,members,report
unión,beratenden,132,*** 132|114,Union,advisory
europea,ausschusses,133,*** 133|113,european,committee
sexagésimo,verwaltungs-,134,** 134|157,sixtieth,administrative
período,haushaltsfragen,135,## 135|144,period,budgetary issues
sesiones,beratende,136,,sessions,advisory
tema,ausschuss,137,,theme,committee
programa,erinnert,138,# 138|143,Program,remind
proyecto,daran,139,139|131,draft,to it
presupuesto,zeitpunkt,140,"141,140|123",budget,time
programas,prüfung,141,,programs,test
bienio,vorgeschlagenen,142,** 142|124,biennium,proposed
-,programmhaushalts,143,,,program budget
proyecto,rechnungsperiode,144,,draft,accounting period
presupuesto,-,145,#### 145|119,budget,
programas,wurde,146,,programs,became
bienio,mitgeteilt,147,,biennium,communicated
-,vorschlag,148,,,proposal
sección,amtes,149,** 149|164,section,office
oficina,interne,150, 150|149,office,internal
servicios,aufsichtsdienste,151,"152,151|129",services,supervisory services
supervisión,aiad,152,,supervision,aiad
interna,grundlegend,153, 153|150,internal,fundamental
decimoquinto,überarbeitet,154,******** 154|130,fifteenth,revised
informe,neue,155,155|131,report,new
comisión,vorschlag,156,156|133,commission,proposal
consultiva,sechzigsten,157,** 157|136,advisory,sixtieth
asuntos,tagung,158,# 158|163,matters,meeting
administrativos,generalversammlung,159,** 159|134,administrative,general assembly
presupuesto,ende,160,,budget,end
comisión,vorgelegt,161,,commission,submitted
