french,russian,index,alignment,french_eng,russian_eng
profondément,глубоко,0,0|0,deeply,deep
convaincu,убежден,1,1|1,convinced,convinced
intérêt,общей,2,2|3,interest,general
commun,заинтересованности,3,3|2,common,interest
humanité,человечества,4,4|4,humanity,humanity
promouvoir,поощрении,5,5|5,promote,encouragement
étendre,расширении,6,6|6,to expand,enlargement
exploration,исследования,7,7|7,exploration,research
utilisation,использования,8,8|8,use,use
espace,космического,9,"9,10|10,9",space,space
extra-atmosphérique,пространства,10,,outer space,space
fins,мирных,11,11|12,ends,peaceful
pacifiques,целях,12,12|11,peaceful,purposes
poursuivre,постоянных,13,13|13,to chase,permanent
efforts,усилиях,14,14|14,efforts,efforts
faire,распространению,15,,to do,dissemination
bénéficier,государства,16,16|18,benefit,states
tous,получаемых,17,,all,received
états,выгод,18,18|16,states,benefits
avantages,также,19,19|18,advantages,also
découlent,важности,20,,arise,importance
ainsi,международного,21,,Thus,international
importance,сотрудничества,22,22|20,importance,cooperation
coopération,области,23,23|22,cooperation,areas
internationale,организация,24,24|21,international,organization
domaine,объединенных,25,25|23,domain,united
laquelle,наций,26,,which,nations
onu,должна,27,,UN,should
doit,продолжать,28,28|27,must,continue
continuer,выполнять,29,29|28,Continue,fulfill
servir,функции,30,,to serve,function
point,координатора,31,,point,coordinator
focal,вновь,32,,focal,again
réaffirmant,подтверждая,33,33|33,reaffirming,reaffirming
importance,важность,34,34|34,importance,importance
coopération,международного,35,35|36,cooperation,international
internationale,сотрудничества,36,36|35,international,cooperation
développement,развитии,37,37|37,development,development
état,верховенства,38,,state,supremacy
droit,права,39,39|39,law,rights
compris,включая,40,,understood,including
normes,соответствующие,41,41|42,standards,the corresponding
pertinentes,нормы,42,42|41,relevant,norms
droit,космического,43,43|44,law,space
spatial,права,44,44|43,spatial,rights
rôle,важную,45,45|46,role,important
important,роль,46,46|45,important,role
coopération,международном,47,47|48,cooperation,international
internationale,сотрудничестве,48,48|47,international,cooperation
exploration,исследовании,49,49|49,exploration,research
utilisation,использовании,50,50|50 ,use,using
espace,космического,51,"51,52|52,51",space,space
extra-atmosphérique,пространства,52,,outer space,space
fins,мирных,53,53|54,ends,peaceful
pacifiques,целях,54,54|53,peaceful,purposes
adhésion,также,55,,membership,also
plus,широкого,56,,more,broad
large,присоединения,57,,large,joining
possible,международным,58,,possible,international
traités,договорам,59,59|59,treated,treaties
internationaux,которые,60,60|58,international,which
favorisent,способствуют,61,,favor,contribute to
utilisations,мирное,62,62|63,uses,peaceful
pacifiques,использование,63,63|62,peaceful,usage
espace,космического,64,"64,65|65,64",space,space
extra-atmosphérique,пространства,65,,outer space,space
gravement,будучи,66,66|67,seriously,being
préoccupée,серьезно,67,67|68,preoccupied,Seriously
éventualité,обеспокоен,68,68|69,contingency,concerned about
dune,возможностью,69,,dune,opportunity
course,гонки,70,70|70,race,race
armements,вооружений,71,71|71,armaments,weapons
espace,космическом,72,72|72,space,space
reconnaissant,пространстве,73,,grateful,space
tous,признавая,74,,all,recognizing
états,государства,75,75|75,states,states
particulier,особенно,76,76|76,particular,especially
ceux,те,77,77|77,those,those
disposent,которые,78,78|79,have,which
dimportantes,обладают,79,,important,possess
capacités,крупным,80,,abilities,large
spatiales,космическим,81,81|81,space,space
devraient,потенциалом,82,82|83,should,potential
contribuer,должны,83,,to contribute,must
activement,активно,84,84|84,actively,actively
objectif,способствовать,85,85|87,goal,contribute
