spanish,russian,index,alignment,spanish_eng,russian_eng
conferencia,конференция,0,,conference,the conference
partes,сторон,1,,parts,parties
convención,конвенции,2, 2|2,convention,convention
naciones,организации,3, 3|5,nations,organization
unidas,объединенных,4, 4|4,united,united
delincuencia,наций,5,,delinquency,nations
organizada,против,6, 6|8,organized,against
transnacional,транснациональной,7, 7|7,transnational,transnational
decide,организованной,8,# 8|10,decide,organized
partir,преступности,9,,depart,crime
tercer,постановляет,10, 10|13,third,decides
período,начиная,11,,period,starting out
sesiones,своей,12,# 12|14,sessions,his
elegir,третьей,13,,choose,third
final,сессии,14,,final,session
período,избрать,15,,period,elect
sesiones,конце,16,# 16|18,sessions,the end
mesa,своей,17,,desk,his
período,сессии,18,,period,session
sesiones,свое,19,# 19|22,sessions,his
siguiente,бюро,20,,following,the Bureau
alentarla,следующей,21,,encourage her,next
desempeñe,сессии,22,,perform,session
papel,призвать,23,,paper,call on
activo,играть,24, 24|25,active,play
preparación,активную,25,,preparation,active
período,роль,26,,period,role
ordinario,подготовке,27,,Ordinary,preparing
sesiones,очередной,28,# 28|29,sessions,regular
así,сессии,29,# 29|30,So,session
posibles,также,30, 30|31,possible,also
reuniones,возможных,31, 31|33,meetings,possible
períodos,межсессионных,32,,periods,intersessional
sesiones,совещаний,33,,sessions,meetings
decide,также,34,# 34|35,decide,also
enmendar,постановляет,35,# 35|38,amend,decides
artículo,внести,36,,Article,make
reglamento,соответствующие,37,,regulation,the corresponding
consecuencia,поправки,38,,consequence,amendments
efecto,правило,39,,effect,the rule
partir,правил,40,,depart,rules
tercer,процедуры,41, 41|44,third,procedures
período,начиная,42,,period,starting out
sesiones,своей,43,# 43|45,sessions,his
diga,третьей,44,,say,third
siguiente,сессии,45, 45|46,following,session
artículo,следующим,46,,Article,following
elección,образом,47,,choice,way
final,правило,48,,final,the rule
cada,выборы,49, 49|51,each,elections
período,конце,50,,period,the end
sesiones,каждой,51,# 51|52,sessions,each
presidente,сессии,52,# 52|57,President,session
ocho,председатель,53, 53|54,Eight,chairman
vicepresidentes,восемь,54,,vice presidents,eight
-los,заместителей,55,############# 55|164,-the,deputies
presidentes,-,56,,presidents,
relator,президенты,57,,rapporteur,presidents
elegidos,докладчик,58,# 58|63,chosen,speaker
representantes,избираются,59, 59|61,representatives,elected
partes,числа,60,,parts,the numbers
presidente,представителей,61,,President,representatives
vicepresidentes,государств-участников,62,,vice presidents,participating States
relator,избранные,63,,rapporteur,the chosen
así,таким,64, 64|64,So,so
elegidos,образом,65,,chosen,way
actuarán,председатель,66,,will act,chairman
miembros,заместители,67,,members,alternates
mesa,председателя,68,,desk,chairman
siguiente,докладчик,69,,following,speaker
sesión,будут,70,## 70|84,session,will be
guiarán,выполнять,71,# 71|77,will guide,fulfill
secretaría,функции,72,,Secretary,function
preparativos,должностных,73,## 73|80,preparations,official
sesión,лиц,74, 74|76,session,persons
cualquier,следующей,75,* 75|82,any,next
reuniones,сессии,76,## 76|85,meetings,session
períodos,направлять,77,,periods,guide
sesiones,секретариат,78,# 78|81,sessions,secretariat
puedan,ходе,79,* 79|87,may,the course
celebrarse,подготовки,80,,celebrate,preparation
elegir,сессии,81,,choose,session
miembros,любой,82,,members,any
mesa,сессии,83,,desk,session
sesión,межсессионные,84, 84|83,session,intersessional
cada,встречи,85,## 85|93,each,meeting
cinco,которые,86,* 86|94,five,which
grupos,могут,87,* 87|96,groups,may
regionales,проводиться,88,* 88|95,regional,be carried out
representado,избрании,89,## 89|98,represented,election
dos,должностных,90,* 90|99,two,official
miembros,лиц,91,,members,persons
mesa,сессии,92,,desk,session
cuales,каждая,93,* 93|86,which,each one
representantes,пяти,94,##### 94|124,representatives,five
partes,региональных,95,,parts,regional
convención,групп,96,** 96|109,convention,groups
si,должна,97,,Yes,should
posible,представлена,98,,possible,presented
protocolos,двумя,99,** 99|114,protocols,two
entrado,должностными,100,##### 100|130,entered,official
vigor,лицами,101,,vigor,by persons
apertura,которых,102,,opening,which
período,должен,103,,period,should
sesiones,числа,104,## 104|92,sessions,the numbers
mesa,представителей,105,,desk,representatives
incluirá,государств,106,,will include,states
menos,являющихся,107,,less,being
dos,участниками,108,,two,participants
representantes,конвенции,109, 109|105,representatives,convention
partes,одного,110,,parts,one
instrumentos,нескольких,111,,instruments,several
entrado,и,112,# 112|115,entered,and
vigor,возможно,113,,vigor,Maybe
apertura,протоколов,114, 114|117,opening,protocols
período,вступивших,115,******** 115|194,period,who entered
sesioneslos,силу,116,# 116|118,sessions,force
cargos,открытию,117,,charges,opening
presidente,сессии,118,,President,session
relator,состав,119,,rapporteur,composition
conferencia,бюро,120,#### 120|138,conference,the Bureau
normalmente,входят,121,*** 121|139,usually,are included
sujetos,крайней,122,,subjects,extreme
rotación,мере,123,*** 123|141,rotation,least
cinco,представителя,124,*** 124|142,five,representative
grupos,государств,125,#### 125|144,groups,states
regionales,которые,126,*** 126|143,regional,which
nombre,являются,127,*** 127|145,Name,are
miembros,участниками,128,#### 128|151,members,participants
naciones,документов,129,*** 129|149,nations,documents
unidas,вступивших,130,*** 130|148,united,who entered
miembros,силу,131,,members,force
unión,моменту,132,*** 132|155,Union,moment
europea,открытия,133,*** 133|154,european,discoveries
sexagésimo,сессии,134,*** 134|152,sixtieth,session
período,должности,135,**** 135|163,period,positions
sesiones,председателя,136,# 136|134,sessions,chairman
tema,докладчика,137,,theme,speaker
programa,конференции,138,,Program,conferences
proyecto,обычно,139,,draft,usually
presupuesto,подлежат,140,****** 140|191,budget,subject to
programas,ротации,141,****** 141|192,programs,rotation
bienio,пятью,142,,biennium,five
-,региональными,143,,,regional
proyecto,группами,144,,draft,in groups
presupuesto,имени,145,##### 145|183,budget,name
programas,государств-членов,146,*** 146|168,programs,Member States
bienio,организации,147,,biennium,organization
-,объединенных,148,,,united
sección,наций,149,,section,nations
oficina,которые,150,,office,which
servicios,члены,151,,services,members of
supervisión,шестидесятой,152,,supervision,sixtieth
interna,сессии,153,****** 153|203,internal,session
decimoquinto,европейского,154,*** 154|178,fifteenth,European
informe,союза,155,,report,union
comisión,пункт,156,,commission,paragraph
consultiva,повестки,157,*** 157|180,advisory,agenda
asuntos,дня,158,,matters,of the day
administrativos,предлагаемый,159,*** 159|182,administrative,the proposed
presupuesto,бюджет,160, 160|160,budget,budget
comisión,программам,161,,commission,programs
recuerda,двухгодичный,162,,remember,biennial
que,период,163,,that,period
momento,–,164,*** 164|132,moment,-
examen,годов,165,,exam,years
proyecto,предлагаемый,166,,draft,the proposed
presupuesto,бюджет,167, 167|167,budget,budget
programas,программам,168, 168|161,programs,programs
bienio,двухгодичный,169,##### 169|197,biennium,biennial
-,период,170,,,period
um,–,171,#### 171|129,um,-
informó,годов,172,## 172|179,reported,years
revisión,раздел,173,,revision,chapter
sustancial,управление,174,,substantial,control
propuesta,служб,175,,proposal,services
oficina,внутреннего,176,,office,internal
servicios,надзора,177, 177|175,services,supervision
supervisión,пятнадцатый,178, 178|177,supervision,fifteenth
interna,доклад,179, 179|176,internal,report
ossi,консультативного,180,,ossi,advisory
nueva,комитета,181,,new,committee
propuesta,административным,182,,proposal,administrative
presentaría,бюджетным,183,,would present,budgetary
sexagésimo,вопросам,184,,sixtieth,questions
