spanish,french,index,alignment,spanish_eng,french_eng
profundamente,profondément,0,,deeply,deeply
convencido,convaincu,1, 1|1,convinced,convinced
interés,intérêt,2, 2|2,interest,interest
común,commun,3, 3|3,common,common
humanidad,humanité,4, 4|4,humanity,humanity
promover,promouvoir,5, 5|5,promote,promote
ampliar,étendre,6,,enlarge,to expand
exploración,exploration,7, 7|7,exploration,exploration
utilización,utilisation,8,,utilization,use
espacio,espace,9, 9|9,space,space
ultraterrestre,extra-atmosphérique,10,,extraterrestrial,outer space
fines,fins,11,,purposes,ends
pacíficos,pacifiques,12, 12|12,peaceful,peaceful
esfuerzos,poursuivre,13, 13|14,efforts,to chase
continuos,efforts,14,,continuous,efforts
extender,faire,15,,to extend,to do
beneficios,bénéficier,16, 16|16,Benefits,benefit
ello,tous,17,,it,all
derivan,états,18,,they derive,states
importancia,avantages,19, 19|22,importance,advantages
cooperación,découlent,20, 20|23,cooperation,arise
internacional,ainsi,21, 21|24,international,Thus
campo,importance,22,,countryside,importance
naciones,coopération,23,,nations,cooperation
unidas,internationale,24, 24|27,united,international
deben,domaine,25, 25|28,must,domain
seguir,laquelle,26, 26|29,continue,which
proporcionando,onu,27,,providing,UN
punto,doit,28, 28|31,point,must
focal,continuer,29, 29|32,focal,Continue
reafirmando,servir,30, 30|33,reaffirming,to serve
importancia,point,31, 31|34,importance,point
cooperación,focal,32, 32|35,cooperation,focal
internacional,réaffirmant,33, 33|36,international,reaffirming
desarrollo,importance,34,,developing,importance
derecho,coopération,35,,right,cooperation
incluidas,internationale,36,,included,international
normas,développement,37,,rules,development
pertinentes,état,38, 38|42,relevant,state
derecho,droit,39,,right,law
espacial,compris,40,# 40|52,space,understood
importante,normes,41,* 41|46,important,standards
función,pertinentes,42,,function,relevant
cooperación,droit,43, 43|47,cooperation,law
internacional,spatial,44, 44|48,international,spatial
exploración,rôle,45, 45|49,exploration,role
utilización,important,46,,utilization,important
espacio,coopération,47, 47|51,space,cooperation
ultraterrestre,internationale,48,,extraterrestrial,international
fines,exploration,49,,purposes,exploration
pacíficos,utilisation,50, 50|54,peaceful,use
adhesión,espace,51,,accession,space
amplia,extra-atmosphérique,52,,wide,outer space
posible,fins,53,* 53|58,possible,ends
tratados,pacifiques,54,,treaties,peaceful
internacionales,adhésion,55,* 55|60,international,membership
promueven,plus,56,,promote,more
usos,large,57,,applications,large
pacíficos,possible,58,* 58|63,peaceful,possible
espacio,traités,59,# 59|65,space,treated
exterior,internationaux,60,,Exterior,international
profundamente,favorisent,61,,deeply,favor
preocupado,utilisations,62,,worried,uses
posibilidad,pacifiques,63,,possibility,peaceful
carrera,espace,64,,career,space
armamentos,extra-atmosphérique,65,* 65|71,armaments,outer space
espacio,gravement,66, 66|64,space,seriously
ultraterrestre,préoccupée,67,,extraterrestrial,preoccupied
reconociendo,éventualité,68,,acknowledging,contingency
estados,dune,69,# 69|75,state,dune
particular,course,70,* 70|76,particular,race
gran,armements,71,,big,armaments
capacidad,espace,72,,capacity,space
espacial,reconnaissant,73, 73|72,space,grateful
deben,tous,74,,must,all
contribuir,états,75,# 75|83,contribute,states
activamente,particulier,76,* 76|84,actively,particular
objetivo,ceux,77,,objective,those
prevenir,disposent,78,* 78|87,to prevent,have
carrera,dimportantes,79,,career,important
armamentos,capacités,80,* 80|89,armaments,abilities
espacio,spatiales,81, 81|81,space,space
ultraterrestre,devraient,82,,extraterrestrial,should
condición,contribuer,83,* 83|91,condition,to contribute
esencial,activement,84,* 84|92,essential,actively
promoción,objectif,85,* 85|93,promotion,goal
cooperación,consistant,86,* 86|94,cooperation,consistent
internacional,empêcher,87,* 87|95,international,to prevent
exploración,course,88,* 88|97,exploration,race
utilización,armements,89,,utilization,armaments
espacio,espace,90, 90|90,space,space
ultraterrestre,condition,91,,extraterrestrial,condition
fines,essentielle,92,,purposes,essential
pacíficos,promotion,93,* 93|101,peaceful,promotion
considerando,coopération,94,* 94|102,considering,cooperation
desechos,internationale,95,,waste,international
espaciales,matière,96,,spatial,matter
problema,dexploration,97,,trouble,exploration
preocupa,dutilisation,98,,worries,of use
todas,espace,99,* 99|74,all,space
naciones,fins,100,* 100|108,nations,ends
observando,pacifiques,101,,watching,peaceful
progresos,considérant,102,* 102|110,progress,considering
logrados,débris,103,,achieved,debris
desarrollo,spatiaux,104,,developing,space
ulterior,problème,105,,subsequent,problem
exploración,préoccupe,106,* 106|114,exploration,concerned
aplicaciones,toutes,107,* 107|115,Applications,all
espaciales,nations,108,,spatial,nations
fines,notant,109,,purposes,noting
pacíficos,progrès,110,* 110|118,peaceful,progress
así,accomplis,111,,So,accomplished
varios,poursuite,112,,several,pursuit
