french,german,index,alignment,french_eng,german_eng
respect,achtung,0,0|0,respect,Attention
buts,charta,1, 1|5,goals,charter
principes,vereinten,2, 2|6,principles,united
énoncés,nationen,3,,statements,nations
charte,enthaltenen,4,4|1,charter,contained
nations,ziele,5, 5|3,nations,goals
unies,grundsätze,6,6|2,united,principles
réaliser,erzielung,7,7|7,to achieve,achievement
coopération,internationalen,8, 8|9,cooperation,international
internationale,zusammenarbeit,9, 9|8,international,cooperation
promouvant,förderung,10,10|10,promoting,advancement
encourageant,förderung,11,11|11,encouraging,advancement
respect,achtung,12,12|12,respect,Attention
droits,menschenrechte,13,"13,14|13",rights,human rights
homme,grundfreiheiten,14,,man,fundamental freedoms
libertés,sowie,15,"15,16|14",freedoms,as
fondamentales,lösung,16,,fundamental,solution
résolvant,internationaler,17,17|16,solving,international
problèmes,probleme,18, 18|18,problems,problems
internationaux,humanitären,19, 19|17,international,humanitarian
caractère,charakters,20, 20|20,character,character
humanitaire,generalversammlung,21,21|19,humanitarian,general assembly
assemblée,daran,22,"22,23|21",Assembly,to it
générale,erinnernd,23,,general,reminiscent
rappelant,gemäß,24,24|23,reminding,according to
que,artikel,25,,than,items
conformément,charta,26,26|24,in accordance,charter
article,vereinten,27,27|25,item,united
charte,nationen,28, 28|26,charter,nations
nations,mitgliedstaaten,29, 29|28,nations,member states
unies,verpflichtet,30, 30|27,united,Committed
tous,haben,31,,all,to have
états,zusammenarbeit,32,"32,33|29",states,cooperation
membres,organisation,33,,members,organization
engagés,gemeinsame,34,,engaged,common
prendre,getrennte,35,,to take,separate
mesures,maßnahmen,36, 36|36,measures,measures
conjointes,verwirklichung,37,37|34,spouses,realization
séparées,artikel,38,# 38|35,separated,items
coopération,genannten,39, 39|32,cooperation,mentioned
organisation,ziele,40, 40|33,organization,goals
réalisation,ergreifen,41,41|37,production,seize
objectifs,einschließlich,42, 42|40,Goals,including
énoncés,universellen,43,,statements,universal
article,achtung,44,44|38,item,Attention
compris,einhaltung,45,,understood,observance
respect,menschenrechte,46,46|44,respect,human rights
universel,grundfreiheiten,47, 47|43,universal,fundamental freedoms
respect,unterschied,48,48|44,respect,difference
droits,rasse,49,"49,50|46",rights,race
homme,geschlechts,50,,man,gender
libertés,sprache,51,"51,52|47",freedoms,language
fondamentales,religion,52,,fundamental,religion
tous,ferner,53,,all,further
sans,hinweis,54,,without,Note
distinction,präambel,55,55|48,distinction,preamble
race,charta,56,* 56|49,race,charter
