english,spanish,index,alignment,english_eng,spanish_eng
respect,respeto,0,0|0,respect,I respect
purposes,propósitos,1, 1|1,purposes,purposes
principles,principios,2,2|2,principles,beginning
contained,contenidos,3,3|3,contained,contents
charter,carta,4,4|4,charter,letter
united,naciones,5, 5|6,united,nations
nations,unidas,6, 6|5,nations,united
achieve,lograr,7, 7|7,achieve,achieve
international,cooperación,8, 8|9,international,cooperation
cooperation,internacional,9, 9|8,cooperation,international
promoting,promoción,10,10|10,promoting,promotion
encouraging,fomento,11,11|11,encouraging,promotion
respect,respeto,12,# 12|12,respect,I respect
human,derechos,13,# 13|14,human,Rights
rights,humanos,14, 14|13,rights,humans
fundamental,libertades,15, 15|16,fundamental,freedoms
freedoms,fundamentales,16, 16|15,freedoms,fundamental
solving,solución,17,17|17,solving,solution
international,problemas,18, 18|19,international,problems
problems,internacionales,19, 19|18,problems,international
humanitarian,carácter,20, 20|21,humanitarian,character
character,humanitario,21, 21|20,character,humanitarian
general,asamblea,22, 22|23,general,Assembly
assembly,general,23, 23|22,assembly,general
recalling,recordando,24,24|24,recalling,remembering
accordance,que,25, 25|26,accordance,that
article,conformidad,26, 26|27,article,accordance
charter,artículo,27,27|28,charter,Article
united,carta,28, 28|30,united,letter
nations,naciones,29, 29|29,nations,nations
member,unidas,30,30|31,member,united
states,miembros,31,,states,members
pledged,comprometido,32,32|32,pledged,committed
take,tomar,33, 33|33,take,take
joint,medidas,34, 34|35,joint,measures
separate,conjuntas,35,# 35|36,separate,joint
action,separadas,36,,action,separated
cooperation,cooperación,37, 37|37,cooperation,cooperation
organization,organización,38, 38|38,organization,organization
achievement,logro,39, 39|39,achievement,achievement
purposes,propósitos,40, 40|40,purposes,purposes
set,establecidos,41,41|41,set,established
forth,artículo,42,,forth,Article
article,incluido,43, 43|42,article,included
including,respeto,44,,including,I respect
universal,universal,45, 45|45,universal,universal
respect,observancia,46,# 46|44,respect,observance
observance,derechos,47, 47|46,observance,Rights
human,humanos,48,# 48|48,human,humans
rights,libertades,49, 49|47,rights,freedoms
fundamental,fundamentales,50, 50|50,fundamental,fundamental
freedoms,distinción,51, 51|49,freedoms,distinction
without,raza,52,,without,race
distinction,sexo,53, 53|51,distinction,sex
race,idioma,54, 54|52,race,idiom
sex,religión,55, 55|53,sex,religion
language,recordando,56,56|54,language,remembering
religion,preámbulo,57, 57|55,religion,preamble
recalling,carta,58,61|58,recalling,letter
also,particular,59,,also,particular
preamble,determinación,60, 60|57,preamble,determination
charter,reafirmar,61,,charter,reaffirm
particular,fe,62, 62|59,particular,faith
determination,derechos,63, 63|60,determination,Rights
reaffirm,humanos,64, 64|61,reaffirm,humans
faith,fundamentales,65, 65|62,faith,fundamental
fundamental,dignidad,66, 66|65,fundamental,dignity
human,valor,67,# 67|64,human,value
rights,persona,68, 68|63,rights,person
dignity,humana,69, 69|66,dignity,human
worth,igualdad,70,,worth,equality
human,derechos,71, 71|69,human,Rights
person,hombres,72, 72|68,person,mens
equal,mujeres,73,# 73|70,equal,women
rights,naciones,74, 74|71,rights,nations
men,grandes,75,# 75|72,men,big
women,pequeñas,76, 76|73,women,little
nations,reafirmando,77, 77|74,nations,reaffirming
large,promoción,78,,large,promotion
small,protección,79,,small,protection
reaffirming,derechos,80, 80|77,reaffirming,Rights
promotion,humanos,81, 81|78,promotion,humans
protection,libertades,82, 82|79,protection,freedoms
human,fundamentales,83,# 83|81,human,fundamental
rights,debe,84, 84|80,rights,has to
fundamental,ser,85, 85|83,fundamental,be
freedoms,considerada,86, 86|82,freedoms,considered
must,objetivo,87,,must,objective
considered,prioritario,88, 88|86,considered,priority
priority,naciones,89, 89|88,priority,nations
objective,unidas,90, 90|87,objective,united
united,acuerdo,91, 91|90,united,agreement
nations,propósitos,92, 92|89,nations,purposes
accordance,principios,93,,accordance,beginning
purposes,particular,94, 94|92,purposes,particular
principles,propósito,95,95|93,principles,purpose
particular,cooperación,96, 96|94,particular,cooperation
purpose,internacional,97, 97|95,purpose,international
international,que,98, 98|97,international,that
cooperation,marco,99, 99|96,cooperation,frame
within,propósitos,100,,within,purposes
framework,principios,101,# 101|99,framework,beginning
purposes,promoción,102, 102|100,purposes,promotion
principles,protección,103,103|101,principles,protection
promotion,derechos,104, 104|102,promotion,Rights
protection,humanos,105, 105|103,protection,humans
human,preocupación,106,# 106|105,human,worry
rights,legítima,107, 107|104,rights,legitimate
legitimate,comunidad,108, 108|107,legitimate,community
concern,internacional,109,109|106,concern,international
international,considerando,110, 110|109,international,considering
community,importantes,111, 111|108,community,important
considering,cambios,112, 112|110,considering,changes
major,produciendo,113,,major,producing
changes,escena,114, 114|112,changes,scene
taking,internacional,115,,taking,international
place,aspiraciones,116,,place,aspirations
international,pueblos,117, 117|115,international,towns
scene,orden,118, 118|114,scene,order
aspirations,internacional,119, 119|116,aspirations,international
peoples,basado,120,,peoples,based
international,principios,121, 121|119,international,beginning
order,consagrados,122, 122|118,order,consecrated
based,carta,123, 123|120,based,letter
principles,incluida,124,124|121,principles,included
enshrined,promoción,125,,enshrined,promotion
charter,fomento,126,,charter,promotion
including,respeto,127,,including,I respect
promoting,derechos,128,130|127,promoting,Rights
encouraging,humanos,129,131|126,encouraging,humans
respect,libertades,130,# 130|127,respect,freedoms
human,fundamentales,131,# 131|129,human,fundamental
rights,respeto,132, 132|128,rights,I respect
fundamental,principio,133, 133|131,fundamental,beginning
freedoms,igualdad,134, 134|130,freedoms,equality
respect,derechos,135,# 135|132,respect,Rights
principle,autodeterminación,136,,principle,self determination
equal,pueblos,137,# 137|134,equal,towns
rights,paz,138, 138|135,rights,peace
self-determination,democracia,139,,self-determination,democracy
peoples,justicia,140,,peoples,Justice
peace,igualdad,141, 141|138,peace,equality
democracy,derecho,142, 142|139,democracy,right
justice,pluralismo,143, 143|140,justice,pluralism
equality,desarrollo,144, 144|141,equality,developing
rule,mejores,145,,rule,top
law,niveles,146,,law,levels
pluralism,vida,147, 147|143,pluralism,life
development,solidaridad,148,,development,solidarity
better,reconociendo,149,,better,acknowledging
standards,comunidad,150,,standards,community
living,internacional,151,,living,international
solidarity,debe,152, 152|148,solidarity,has to
recognizing,idear,153,,recognizing,devise
international,formas,154, 154|151,international,shapes
community,medios,155, 155|150,community,media
devise,eliminar,156, 156|153,devise,remove
ways,corrientes,157,,ways,streams
means,hacer,158,,means,do
remove,frente,159, 159|156,remove,front
current,desafíos,160,,current,challenges
obstacles,plena,161,,obstacles,full
meet,realización,162,,meet,realization
challenges,derechos,163, 163|160,challenges,Rights
full,humanos,164, 164|161,full,humans
realization,prevenir,165, 165|162,realization,to prevent
human,continuación,166,# 166|164,human,continuation
rights,violaciones,167, 167|163,rights,violations
prevent,derechos,168,# 168|165,prevent,Rights
continuation,humanos,169, 169|166,continuation,humans
human,resultantes,170,# 170|169,human,resulting
rights,mundo,171, 171|168,rights,world
violations,así,172, 172|167,violations,So
resulting,seguir,173, 173|170,resulting,continue
therefrom,prestando,174,,therefrom,lending
throughout,atención,175,,throughout,attention
world,importancia,176, 176|171,world,importance
well,cooperación,177,,well,cooperation
continue,entendimiento,178, 178|173,continue,understanding
pay,diálogo,179,,pay,dialogue
attention,mutuos,180, 180|175,attention,mutual
importance,garantizar,181, 181|176,importance,to guarantee
mutual,promoción,182, 182|180,mutual,promotion
cooperation,protección,183, 183|177,cooperation,protection
understanding,derechos,184, 184|178,understanding,Rights
dialogue,humanos,185, 185|179,dialogue,humans
ensuring,reafirmando,186,,ensuring,reaffirming
promotion,fortalecimiento,187, 187|182,promotion,strengthening
protection,cooperación,188, 188|183,protection,cooperation
human,internacional,189,# 189|185,human,international
rights,esfera,190, 190|184,rights,sphere
reaffirming,derechos,191, 191|186,reaffirming,Rights
enhancement,humanos,192,,enhancement,humans
international,fundamental,193, 193|189,international,fundamental
cooperation,pleno,194, 194|188,cooperation,full
field,logro,195,,field,achievement
human,propósitos,196,# 196|192,human,purposes
rights,naciones,197, 197|191,rights,nations
essential,unidas,198,,essential,united
