spanish,french,index,alignment,spanish_eng,french_eng
conferencia,conférence,0,0|0,conference,conference
partes,parties,1, 1|1,parts,parts
convención,convention,2, 2|2,convention,convention
naciones,nations,3, 3|3,nations,nations
unidas,unies,4, 4|4,united,united
delincuencia,contre,5,5|6,delinquency,versus
organizada,criminalité,6, 6|8,organized,criminality
transnacional,transnationale,7, 7|7,transnational,transnational
decide,organisée,8,# 8|9,decide,organized
partir,décide,9,,depart,decided
tercer,compter,10, 10|11,third,to count
período,troisième,11,,period,third
sesiones,session,12,# 12|12,sessions,session
elegir,élire,13,13|13,choose,elect
final,fin,14,14|14,final,end
período,session,15,,period,session
sesiones,bureau,16,# 16|15,sessions,office
mesa,session,17,,desk,session
período,suivante,18,,period,next
sesiones,encourager,19,# 19|17,sessions,to encourage
siguiente,jouer,20,20|18,following,to play
alentarla,rôle,21,21|19,encourage her,role
desempeñe,actif,22,22|20,perform,active
papel,préparation,23,,paper,preperation
activo,session,24, 24|22,active,session
preparación,ordinaire,25,27|23,preparation,ordinary
período,ainsi,26,,period,Thus
ordinario,lors,27, 27|25,Ordinary,during
sesiones,éventuelles,28,# 28|24,sessions,possible
así,réunions,29,,So,meetings
posibles,intersessions,30, 30|28,possible,intersessional
reuniones,décide,31, 31|29,meetings,decided
períodos,également,32,,periods,also
sesiones,modifier,33,# 33|40,sessions,to modify
decide,article,34,# 34|31,decide,item
enmendar,règlement,35,## 35|46,amend,regulation
artículo,intérieur,36,36|34,Article,interior
reglamento,conséquence,37, 37|35,regulation,result
consecuencia,effet,38,38|38,consequence,effect
efecto,troisième,39, 39|38,effect,third
partir,session,40,,depart,session
tercer,lire,41, 41|39,third,read
período,comme,42,,period,like
sesiones,suit,43,# 43|48,sessions,follows
diga,article,44,,say,item
siguiente,élection,45,47|43,following,election
artículo,fin,46,46|44,Article,end
elección,chaque,47,47|45,choice,each
final,session,48,48|46,final,session
cada,président,49, 49|47,each,President
período,huit,50,,period,eight
sesiones,vice,51,,sessions,vice
presidente,-,52, 52|49,President,
ocho,les,53, 53|50,Eight,the
vicepresidentes,présidents,54,# 54|51,vice presidents,presidents
los,rapporteur,55, 55|53,the,protractor
presidentes,élus,56, 56|54,presidents,elected
relator,parmi,57,57|55,rapporteur,among
elegidos,représentants,58,58|56,chosen,representatives
representantes,états,59, 59|58,representatives,states
partes,parties,60, 60|60,parts,parts
presidente,président,61, 61|61,President,President
vicepresidentes,vice-présidents,62,62|62,vice presidents,vice-presidents
relator,rapporteur,63,63|63,rapporteur,protractor
así,ainsi,64,,So,Thus
elegidos,élus,65,65|65,chosen,elected
actuarán,font,66,,will act,make
miembros,fonction,67,,members,function
mesa,bureau,68,,desk,office
siguiente,session,69,69|70,following,session
sesión,suivante,70, 70|69,session,next
guiarán,guident,71,# 71|71,will guide,guide
secretaría,secrétariat,72,72|72,Secretary,secretariat
preparativos,préparation,73,73|73,preparations,preperation
sesión,cette,74, 74|75,session,this
cualquier,session,75,,any,session
reuniones,réunions,76, 76|76,meetings,meetings
períodos,intersessions,77,,periods,intersessional
sesiones,peuvent,78,78|75,sessions,can
puedan,avoir,79,,may,to have
celebrarse,lieu,80,,celebrate,place
elegir,lors,81,81|82,choose,during
miembros,élection,82, 82|91,members,election
mesa,bureau,83,,desk,office
sesión,session,84, 84|84,session,session
cada,chacun,85, 85|85,each,each
cinco,cinq,86, 86|86,five,five
grupos,groupes,87, 87|87,groups,groups
regionales,régionaux,88, 88|88,regional,regional
representado,représenté,89, 89|89,represented,represented
dos,deux,90,,two,of them
miembros,membres,91,91|91,members,members
mesa,bureau,92,,desk,office
cuales,dont,93,# 93|93,which,of which
representantes,parmi,94, 94|95,representatives,among
partes,représentants,95, 95|97,parts,representatives
convención,etats,96, 96|98,convention,states
si,parties,97,,Yes,parts
posible,convention,98, 98|101,possible,convention
protocolos,plusieurs,99, 99|103,protocols,various
entrado,si,100, 100|104,entered,if
vigor,possible,101, 101|105,vigor,possible
apertura,tous,102, 102|106,opening,all
período,protocoles,103,,period,protocols
sesiones,entrés,104,# 104|107,sessions,entered
mesa,vigueur,105,,desk,vigor
incluirá,ouverture,106,,will include,opening
menos,session,107, 107|110,less,session
dos,bureau,108,,two,office
representantes,comprend,109, 109|112,representatives,understand
partes,moins,110, 110|114,parts,less
instrumentos,deux,111, 111|116,instruments,of them
entrado,représentants,112, 112|117,entered,representatives
vigor,etats,113, 113|118,vigor,states
apertura,parties,114, 114|119,opening,parts
período,tous,115,,period,all
sesioneslos,instruments,116,# 116|120,sessions,instruments
cargos,entrés,117,,charges,entered
presidente,vigueur,118, 118|122,President,vigor
relator,ouverture,119,119|123,rapporteur,opening
conferencia,session,120, 120|124,conference,session
normalmente,bureaux,121,# 121|102,usually,offices
sujetos,président,122,,subjects,President
rotación,rapporteur,123, 123|127,rotation,protractor
cinco,conférence,124, 124|129,five,conference
grupos,normalement,125, 125|130,groups,normally
regionales,soumis,126, 126|131,regional,submitted
nombre,rotation,127, 127|132,Name,rotation
miembros,entre,128,* 128|137,members,Between
naciones,cinq,129, 129|135,nations,five
unidas,groupes,130, 130|136,united,groups
miembros,régionaux,131, 131|134,members,regional
unión,nom,132,* 132|138,Union,name
europea,états,133,* 133|139,european,states
sexagésimo,membres,134,* 134|140,sixtieth,members
período,nations,135,,period,nations
sesiones,unies,136,# 136|141,sessions,united
tema,membres,137,,theme,members
programa,union,138,,Program,union
proyecto,européenne,139,,draft,european
presupuesto,soixantième,140,* 140|153,budget,sixtieth
programas,session,141,# 141|148,programs,session
bienio,point,142,,biennium,point
-,ordre,143,,,order
proyecto,jour,144,,draft,day
presupuesto,projet,145, 145|146,budget,project
programas,budget,146,## 146|155,programs,budget
bienio,-,147,,biennium,
-,programme,148,,,program
sección,exercice,149,,section,exercise
oficina,biennal,150,## 150|121,office,biennial
servicios,-,151,* 151|161,services,
supervisión,projet,152,,supervision,project
interna,budget,153,* 153|163,internal,budget
decimoquinto,-,154,* 154|164,fifteenth,
informe,programme,155,* 155|165,report,program
comisión,exercice,156,,commission,exercise
consultiva,biennal,157,* 157|167,advisory,biennial
asuntos,-,158,,matters,
administrativos,chapitre,159,* 159|169,administrative,chapter
presupuesto,bureau,160,## 160|177,budget,office
comisión,services,161,,commission,services
recuerda,contrôle,162,* 162|172,remember,control
que,interne,163,### 163|184,that,internal
momento,quinzième,164,* 164|174,moment,fifteenth
examen,rapport,165,* 165|175,exam,report
proyecto,comité,166,,draft,committee
presupuesto,consultatif,167,# 167|170,budget,advisory
programas,questions,168,,programs,Questions
bienio,administratives,169,,biennium,administrative
-,budgétaires,170,,,budgetary
um,comité,171,,um,committee
informó,rappelle,172,,reported,remember
revisión,quau,173,* 173|185,revision,quau
sustancial,moment,174,* 174|186,substantial,moment
propuesta,examen,175,** 175|195,proposal,exam
oficina,projet,176,* 176|160,office,project
servicios,budget-programme,177,* 177|189,services,program budget
supervisión,exercice,178,,supervision,exercise
interna,biennal,179,* 179|191,internal,biennial
ossi,-,180,,ossi,
nueva,euh,181,## 181|194,new,uh
propuesta,a,182, 182|187,proposal,To
presentaría,informé,183,,would present,informed
