english,spanish,index,alignment,english_eng,spanish_eng
deeply,profundamente,0,0|0,deeply,deeply
convinced,convencido,1, 1|1,convinced,convinced
common,interés,2, 2|3,common,interest
interest,común,3, 3|2,interest,common
mankind,humanidad,4,4|4,mankind,humanity
promoting,promover,5,5|5,promoting,promote
expanding,ampliar,6,6|6,expanding,enlarge
exploration,exploración,7, 7|7,exploration,exploration
use,utilización,8,8|8,use,utilization
outer,espacio,9,9|10,outer,space
space,ultraterrestre,10, 10|9,space,extraterrestrial
peaceful,fines,11, 11|12,peaceful,purposes
purposes,pacíficos,12, 12|11,purposes,peaceful
continuing,esfuerzos,13,13|14,continuing,efforts
efforts,continuos,14, 14|13,efforts,continuous
extend,extender,15, 15|15,extend,to extend
states,beneficios,16,,states,Benefits
benefits,ello,17, 17|16,benefits,it
derived,derivan,18,18|18,derived,they derive
therefrom,importancia,19,,therefrom,importance
also,cooperación,20,,also,cooperation
importance,internacional,21, 21|19,importance,international
international,campo,22, 22|21,international,countryside
cooperation,naciones,23, 23|20,cooperation,nations
field,unidas,24,24|22,field,united
united,deben,25, 25|17,united,must
nations,seguir,26, 26|23,nations,continue
continue,proporcionando,27, 27|26,continue,providing
provide,punto,28,28|27,provide,point
focal,focal,29, 29|29,focal,focal
point,reafirmando,30, 30|28,point,reaffirming
reaffirming,importancia,31, 31|30,reaffirming,importance
importance,cooperación,32, 32|31,importance,cooperation
international,internacional,33, 33|33,international,international
cooperation,desarrollo,34, 34|32,cooperation,developing
developing,derecho,35, 35|34,developing,right
rule,incluidas,36, 36|37,rule,included
law,normas,37,,law,rules
including,pertinentes,38,38|36,including,relevant
relevant,derecho,39, 39|38,relevant,right
norms,espacial,40,,norms,space
space,importante,41, 41|40,space,important
law,función,42,,law,function
important,cooperación,43, 43|41,important,cooperation
role,internacional,44,,role,international
international,exploración,45, 45|44,international,exploration
cooperation,utilización,46, 46|43,cooperation,utilization
exploration,espacio,47, 47|45,exploration,space
use,ultraterrestre,48,48|46,use,extraterrestrial
outer,fines,49,49|48,outer,purposes
space,pacíficos,50, 50|47,space,peaceful
peaceful,adhesión,51, 51|50,peaceful,accession
purposes,amplia,52, 52|49,purposes,wide
widest,posible,53, 53|52,widest,possible
possible,tratados,54, 54|53,possible,treaties
adherence,internacionales,55,55|51,adherence,international
international,promueven,56, 56|55,international,promote
treaties,usos,57, 57|54,treaties,applications
promote,pacíficos,58, 58|56,promote,peaceful
peaceful,espacio,59, 59|58,peaceful,space
uses,exterior,60,60|57,uses,Exterior
outer,profundamente,61,61|60,outer,deeply
space,preocupado,62, 62|59,space,worried
seriously,posibilidad,63,63|61,seriously,possibility
concerned,carrera,64,64|62,concerned,career
possibility,armamentos,65, 65|63,possibility,armaments
arms,espacio,66,66|65,arms,space
race,ultraterrestre,67,67|64,race,extraterrestrial
outer,reconociendo,68,68|67,outer,acknowledging
space,estados,69, 69|66,space,state
recognizing,particular,70,70|68,recognizing,particular
states,gran,71, 71|69,states,big
particular,capacidad,72, 72|70,particular,capacity
major,espacial,73,73|71,major,space
space,deben,74, 74|73,space,must
capabilities,contribuir,75,75|72,capabilities,contribute
contribute,activamente,76, 76|75,contribute,actively
actively,objetivo,77, 77|76,actively,objective
goal,prevenir,78,78|77,goal,to prevent
preventing,carrera,79,79|78,preventing,career
arms,armamentos,80,80|80,arms,armaments
race,espacio,81,81|79,race,space
outer,ultraterrestre,82,82|82,outer,extraterrestrial
space,condición,83, 83|81,space,condition
essential,esencial,84, 84|84,essential,essential
condition,promoción,85, 85|83,condition,promotion
promotion,cooperación,86, 86|85,promotion,cooperation
international,internacional,87, 87|87,international,international
cooperation,exploración,88, 88|86,cooperation,exploration
exploration,utilización,89, 89|88,exploration,utilization
use,espacio,90,90|89,use,space
outer,ultraterrestre,91,91|91,outer,extraterrestrial
space,fines,92, 92|90,space,purposes
peaceful,pacíficos,93, 93|93,peaceful,peaceful
purposes,considerando,94, 94|92,purposes,considering
considering,desechos,95, 95|94,considering,waste
space,espaciales,96,96|96,space,spatial
debris,problema,97,97|95,debris,trouble
issue,preocupa,98,98|97,issue,worries
concern,todas,99,99|98,concern,all
