,spanish,german,Distances
0,si,ja,0.0
1,bien,rechts,0.0
2,aquí,hier,0.0
3,ahora,jetzt,0.0
4,así,so,0.5
5,vamos,wir gehen,0.0
6,bueno,okay,0.0
7,sé,er,0.0
8,cómo,was,0.0
9,ser,sein,0.5
10,puedo,kann ich,0.0
11,quiero,ich will,0.0
12,hacer,tun,0.0
13,gracias,vielen dank,0.0
14,vez,zeit,0.0
15,sólo,single,0.5
16,creo,ich finde,0.16666666666666666
17,voy,ich gehe,0.0
18,sabes,du weißt,0.0
19,puede,kann,0.0
20,usted,sie,0.3333333333333333
21,entonces,dann,0.2
22,hola,hallo,0.6666666666666666
23,solo,nur,0.0
24,verdad,stimmt,0.0
25,casa,haus,0.5
26,tan,also,0.0
27,quién,wer,0.0
28,tiempo,wetter,0.25
29,dos,zwei,0.0
30,nunca,noch nie,0.2
31,dónde,wo,0.0
32,va,geht,0.0
33,oh,oh,1.0
34,favor,favorisieren,0.5
35,quieres,sie wollen,0.0
36,siento,ich fühle,0.0
37,señor,herr,0.3333333333333333
38,mejor,besser,0.25
39,hace,tut,0.0
40,decir,erzählen,0.0
41,dios,gott,0.0
42,puedes,du könntest,0.1111111111111111
43,ver,uhr,0.5
44,hombre,männer,0.2
45,vida,leben,0.0
46,alguien,jemand,0.25
47,cosas,sachen,0.25
48,siempre,bis in alle ewigkeit,0.08333333333333333
49,ahí,dort,0.0
50,ir,gehen,0.0
51,años,jahre,0.0
52,día,tag,0.0
53,noche,nacht,0.75
54,hecho,erledigt,0.0
55,acuerdo,zustimmung,0.0
56,trabajo,hat funktioniert,0.1
57,parece,es scheint,0.14285714285714285
58,gente,personen,0.2
59,padre,papa,0.3333333333333333
60,mira,sehen,0.0
61,mismo,gleich,0.0
62,dijo,sagte,0.0
63,nadie,niemand,0.5
64,quiere,will,0.0
65,podría,könnte,0.0
66,hablar,sprechen,0.0
67,vas,du gehst,0.16666666666666666
68,sr.,herr.,0.5
69,tal,eine solche,0.16666666666666666
70,pasa,das passiert,0.25
71,después,nach,0.0
72,dinero,geld,0.0
73,mundo,welt,0.0
74,claro,sicher,0.5
75,momento,moment,1.0
76,tener,haben,0.0
77,mañana,morgen,0.5
78,madre,mutter,0.5
79,vale,okay,0.0
80,lugar,platz,0.25
81,haciendo,herstellung,0.25
82,seguro,sicher,0.5
83,sabe,weiß,0.0
84,podemos,kann,0.0
85,espera,warten,0.0
86,nuevo,neu,0.5
87,sido,gewesen,0.25
88,cosa,sachen,0.25
89,hijo,sohn,0.3333333333333333
90,allí,da drüben,0.0
91,menos,weniger,0.25
92,tipo,typ,0.6666666666666666
93,amigo,alter,0.0
94,gran,großartig,0.3333333333333333
95,mujer,frau,0.3333333333333333
96,mamá,brust,0.0
97,luego,später,0.0
98,papá,vater,0.0
99,días,tage,0.0
100,dice,er sagt,0.0
101,hoy,heute,0.5
102,tres,drei,0.3333333333333333
103,buena,gut,0.0
104,necesito,erforderlich,0.0
105,dije,sagte,0.0
106,oye,hört,0.0
107,gusta,wie,0.0
108,quería,gesucht,0.0
109,haber,haben,0.6666666666666666
110,parte,teil,0.0
111,todas,alle,0.0
112,crees,denkst du,0.14285714285714285
113,buen,gut,0.0
114,conmigo,mit mir,0.2
115,nombre,name,0.5
116,mierda,scheisse,0.0
117,mal,falsch,0.2
118,debe,muss,0.0
119,realmente,wirklich,0.16666666666666666
120,aún,eben,0.5
121,toda,alle,0.0
122,hacerlo,tu es,0.0
123,cada,jeder,0.3333333333333333
124,visto,angesehen,0.2
125,importa,angelegenheit,0.14285714285714285
126,contigo,mit dir,0.0
127,razón,grund,0.0
128,alguna,etwas,0.0
129,saber,wissen,0.25
130,hizo,gemacht,0.2
131,veces,mal,0.0
132,serio,ich lachte,0.0
133,ven,kommen sie,0.16666666666666666
134,idea,idee,1.0
135,eh,hey,0.5
136,tarde,nachmittag,0.14285714285714285
137,problema,ausgabe,0.2
138,hora,stunde,0.0
139,cierto,sicher,0.25
140,dicho,sprichwort,0.25
141,demasiado,zu,0.0
142,amor,liebe,0.0
143,ve,gehen,0.0
144,pasado,vorbei an,0.0
145,familia,familie,1.0
146,policía,polizist,0.4
147,debería,sollte,0.0
148,ustedes,dein,0.25
149,chica,mädchen,0.3333333333333333
150,chicos,jungs,0.25
151,cuenta,rechnung,0.3333333333333333
152,haces,sie machen,0.16666666666666666
153,todavía,noch,0.0
154,salir,verlassen,0.16666666666666666
155,algún,etwas,0.0
156,vaya,beeindruckend,0.0
157,veo,aha,0.0
158,amigos,freunde,0.0
159,hermano,bruder,0.25
160,pensé,ich dachte,0.0
161,sabía,ich wusste,0.14285714285714285
162,cabeza,kopf,0.0
163,ah,oh,1.0
164,cariño,schätzchen,0.1111111111111111
165,digo,sagen,0.3333333333333333
166,van,gehen,0.3333333333333333
167,hombres,herren,0.4
168,buenas,gut,0.0
169,cualquier,irgendein,0.0
170,forma,bilden,0.0
171,mientras,während,0.16666666666666666
172,lado,seite,0.0
173,debo,ich sollte,0.0
174,caso,fall,0.0
175,pueden,sie können,0.14285714285714285
176,pasó,ich passe,0.3333333333333333
177,primera,erste,0.25
178,genial,kalt,0.0
179,chico,junge,0.0
180,supuesto,soll,0.25
181,hice,ich tat,0.2
182,pues,gut,0.0
183,adiós,wiedersehen,0.3333333333333333
184,muchas,viele,0.0
185,personas,personen,0.8
186,señora,frau,0.3333333333333333
187,volver,rückkehr,0.14285714285714285
188,quizá,kann sein,0.0
189,camino,straße,0.0
190,hablando,reden,0.2
191,manera,weg,0.0
192,muerto,tot,0.3333333333333333
193,persona,person,1.0
194,rápido,schnell,0.0
195,cuál,die,0.0
196,ayuda,hilfe,0.0
197,historia,geschichte,0.14285714285714285
198,iba,ich wollte,0.0
199,supongo,ich vermute,0.0
200,nueva,neu,0.5
201,entiendo,ich verstehe es,0.1
202,dentro,innerhalb,0.16666666666666666
203,casi,fast,0.3333333333333333
204,puerta,tor,0.3333333333333333
205,ves,du siehst,0.16666666666666666
206,pasar,verbringen,0.14285714285714285
207,primero,erste,0.25
208,significa,es bedeutet,0.16666666666666666
209,semana,woche,0.0
210,hacia,gegenüber,0.0
211,quizás,kann sein,0.16666666666666666
212,espero,warten,0.0
213,juntos,zusammen,0.0
214,año,jahr,0.0
215,niños,kinder,0.25
216,pronto,frühzeitig,0.2857142857142857
217,tío,onkel,0.0
218,suerte,glück,0.0
219,ciudad,stadt,0.25
220,siquiera,eben,0.0
221,feliz,glücklich,0.125
222,venir,kommen,0.0
223,hija,tochter,0.2
224,gustaría,möchte,0.0
225,minutos,protokoll,0.16666666666666666
226,cuánto,wie viele,0.0
227,hey,hey,1.0
228,muerte,tod,0.0
229,dejar,lassen,0.0
230,realidad,wirklichkeit,0.25
231,deja,lassen,0.0
232,problemas,probleme,0.8333333333333334
233,vi,gesehen,0.0
234,da,gibt,0.0
235,importante,wichtig,0.16666666666666666
236,dijiste,sagte,0.25
237,corazón,herz,0.4
238,miedo,furcht,0.0
239,jefe,chef,0.3333333333333333
240,agua,wasser,0.0
241,haré,ich werde tun,0.2222222222222222
242,justo,nur,0.0
243,horas,std.,0.0
244,poder,kann,0.0
245,buenos,die guten,0.0
246,esposa,ehefrau,0.0
247,manos,hände,0.25
