,french,english,Distances
0,a,has,0.0
1,ça,that,0.0
2,bien,good,0.0
3,si,if,0.0
4,non,nope,0.5
5,tout,everything,0.14285714285714285
6,plus,more,0.0
7,fait,fact,0.6666666666666666
8,oui,yes,0.0
9,va,go,0.0
10,faire,to do,0.0
11,quoi,what,0.0
12,comme,as,0.0
13,sais,know,0.0
14,veux,want,0.0
15,être,be,0.0
16,ici,here,0.0
17,dit,said,0.0
18,pourquoi,why,0.0
19,où,or,0.0
20,rien,nothing,0.2
21,là,the,0.0
22,cette,this,0.0
23,peux,can,0.0
24,quand,when,0.0
25,dire,say,0.0
26,alors,so,0.3333333333333333
27,vais,go,0.0
28,comment,how? 'or' what,0.09090909090909091
29,chose,thing,0.25
30,bon,well,0.0
31,merci,thank you,0.0
32,juste,correct,0.2
33,très,very,0.25
34,jamais,never,0.0
35,avoir,to have,0.0
36,vraiment,really,0.2
37,aussi,also,0.5
38,voir,to see,0.0
39,oh,oh,1.0
40,maintenant,now,0.16666666666666666
41,tous,all,0.0
42,peut,may,0.0
43,deux,of them,0.0
44,allez,go,0.0
45,autre,other,0.6666666666666666
46,fais,do,0.0
47,peu,little,0.0
48,quelque,some,0.0
49,temps,weather,0.0
50,toujours,still,0.0
51,encore,again,0.0
52,besoin,need,0.0
53,accord,deal,0.0
54,faut,should,0.0
55,dois,must,0.3333333333333333
56,vie,life,0.0
57,aller,to go,0.0
58,fois,time,0.0
59,vu,seen,0.0
60,sans,without,0.0
61,donc,so,0.0
62,monde,world,0.25
63,avant,before,0.0
64,sûr,safe,0.3333333333333333
65,parce,by,0.0
66,trop,too much,0.2
67,parler,speak,0.0
68,père,dad,0.0
69,personne,nobody,0.0
70,crois,believe,0.0
71,après,after,0.0
72,ouais,yeah,0.0
73,dieu,god,0.5
74,pense,think,0.25
75,aime,love,0.0
76,homme,male,0.3333333333333333
77,viens,come,0.0
78,femme,women,0.3333333333333333
79,ok,okay,0.5
80,vrai,true,0.5
81,ans,year,0.0
82,veut,wanna,0.0
83,doit,must,0.3333333333333333
84,mal,evil,0.5
85,chez,at the house of,0.1111111111111111
86,depuis,from,0.0
87,déjà,already,0.0
88,beaucoup,a lot,0.0
89,mort,dead,0.0
90,bonne,good,0.0
91,mieux,better,0.0
92,mère,mother,0.5
93,vas,go,0.0
94,fille,daughter,0.0
95,dis,say,0.0
96,ca,that,0.0
97,gens,people,0.0
98,quel,what,0.0
99,vois,see,0.5
100,désolé,sorry,0.0
101,voilà,here,0.0
102,petit,small,0.0
103,maison,home,0.0
104,soir,evening,0.0
105,cela,that,0.0
106,autres,others,0.75
107,toute,all,0.0
108,passé,past,0.5
109,jour,day,0.0
110,prendre,to take,0.0
111,monsieur,sir,0.5
112,savoir,to know,0.0
113,argent,money,0.25
114,choses,things,0.4
115,salut,hi,0.0
116,nom,name,1.0
117,cet,this,0.0
118,nuit,night,0.5
119,bonjour,good morning,0.125
120,raison,raison,1.0
121,moins,less,0.3333333333333333
122,arrive,arrived,0.75
123,maman,mom,0.6666666666666666
124,reste,rest,1.0
125,voulais,wanted,0.0
126,air,air,1.0
127,seul,only,0.3333333333333333
128,moment,moment,1.0
129,aider,to help,0.0
130,papa,father,0.0
131,entre,between,0.25
132,passe,pass,1.0
133,problème,problem,0.8333333333333334
