,french,german,Distances
0,c',gegen',0.25
1,a,hat,0.0
2,l',ich',0.3333333333333333
3,j',ich,0.0
4,ça,das,0.0
5,d',von,0.0
6,qu',das,0.0
7,n',nicht',0.4
8,bien,gut,0.0
9,si,wenn,0.0
10,non,nö,0.5
11,t',sie,0.0
12,tout,alles,0.0
13,plus,mehr,0.0
14,m',mich,0.3333333333333333
15,fait,tun,0.0
16,s',wenn,0.0
17,oui,jawohl,0.0
18,va,gehen,0.0
19,faire,machen,0.0
20,quoi,was,0.0
21,comme,wie,0.0
22,sais,kennt,0.0
23,être,sein,0.0
24,veux,wollen,0.0
25,ici,hier,0.0
26,est-ce,ist es,0.5
27,dit,sagte,0.3333333333333333
28,pourquoi,warum,0.3333333333333333
29,où,wo,0.0
30,là,das,0.0
31,rien,nichts,0.0
32,cette,dies,0.0
33,quand,wenn,0.3333333333333333
34,peux,kann,0.0
35,dire,sagen,0.0
36,vais,gehen,0.0
37,alors,dann,0.0
38,comment,wie? 'oder' was,0.0
39,chose,ding,0.0
40,bon,brunnen,0.4
41,merci,danke,0.0
42,juste,nur,0.0
43,très,sehr,0.0
44,jamais,noch nie,0.0
45,aussi,zu,0.0
46,avoir,haben,0.0
47,vraiment,ja wirklich,0.125
48,voir,sehen,0.0
49,oh,oh,1.0
50,maintenant,jetzt,0.3333333333333333
51,tous,alle,0.0
52,peut,kann,0.0
53,deux,von ihnen,0.0
54,allez,aufleuchten,0.16666666666666666
55,autre,sonstiges,0.16666666666666666
56,peu,wenig,0.0
57,temps,zeit,0.0
58,quelque,etwas,0.0
59,fais,tun,0.0
60,toujours,still,0.0
61,encore,wieder,0.3333333333333333
62,besoin,brauchen,0.4
63,accord,ok,0.0
64,faut,sollte,0.25
65,dois,muss,0.3333333333333333
66,vie,leben,0.0
67,peut-être,kann sein,0.0
68,aller,gehen,0.0
69,fois,zeit,0.0
70,vu,gesehen,0.0
71,donc,also,0.0
72,sans,ohne,0.3333333333333333
73,monde,welt,0.0
74,parce,durch,0.5
75,avant,vor,0.3333333333333333
76,sûr,sicher,0.5
77,trop,zu,0.0
78,quelqu',jemand,0.0
79,parler,sich unterhalten,0.18181818181818182
80,personne,niemand,0.2
81,père,papa,0.3333333333333333
82,crois,glauben,0.0
83,après,nach,0.0
84,dieu,gott,0.0
85,ouais,ja,0.0
86,pense,denken,0.25
87,aime,liebe,0.0
88,homme,mann,0.0
89,viens,kommen sie,0.3333333333333333
90,vrai,stimmt,0.0
91,femme,frauen,0.3333333333333333
92,ok,ok,1.0
93,doit,muss,0.0
94,veut,will,0.0
95,ans,jahr,0.0
96,m.,herr.,0.25
97,mal,falsch,0.2
98,chez,im haus von,0.14285714285714285
99,déjà,schon,0.0
100,depuis,aus,0.3333333333333333
101,beaucoup,viel,0.0
102,bonne,gut,0.0
103,mort,tot,0.3333333333333333
104,mieux,besser,0.0
105,vas,gehen,0.0
106,mère,mutter,0.5
107,dis,sagen,0.0
108,fille,tochter,0.0
109,gens,personen,0.2
110,quel,was,0.0
111,vois,sehen,0.0
112,désolé,verzeihung,0.0
113,ca,das,0.0
114,voilà,also,0.3333333333333333
115,petit,wenig,0.0
116,maison,heimat,0.0
117,cela,das,0.0
118,autres,andere,0.0
119,toute,alle,0.0
120,soir,abend,0.0
121,passé,vorbei an,0.0
122,prendre,nehmen,0.0
123,jour,tag,0.0
124,monsieur,herr,0.25
125,savoir,wissen,0.25
126,choses,dinge,0.0
127,salut,hallo,0.3333333333333333
128,cet,dies,0.0
129,nom,name,1.0
130,argent,silber-,0.0
131,bonjour,hallo,0.0
132,nuit,nacht,0.5
133,raison,grund,0.25
134,moins,weniger,0.25
135,arrive,angekommen,0.0
136,maman,mama,0.6666666666666666
137,reste,sich ausruhen,0.125
138,moment,moment,1.0
139,voulais,gesucht,0.0
140,seul,nur,0.0
141,aider,helfen,0.0
142,air,luft,0.0
143,entre,zwischen,0.0
144,papa,vater,0.0
145,passe,passieren,0.6
146,problème,problem,0.8333333333333334
147,ah,ah,1.0
148,peur,furcht,0.2
149,regarde,sah,0.0
150,voulez,wollen,0.25
151,gars,leute,0.0
152,trouvé,gefunden,0.0
153,fils,sohn,0.0
154,attends,festhalten,0.14285714285714285
155,savez,kennt,0.0
156,jusqu',hoch,0.0
157,trouver,finden,0.0
158,trois,drei,0.3333333333333333
159,assez,genügend,0.0
160,famille,familie,0.75
161,dû,aus,0.0
162,eh,hey,0.5
163,toutes,alle,0.0
164,plaît,bitte,0.25
165,pourrait,könnte,0.2
166,travail,arbeit,0.25
167,pris,vergriffen,0.14285714285714285
168,pu,könnte,0.0
169,tête,kopf,0.0
170,quelle,was,0.0
171,sait,weiß,0.0
172,appelle,anruf,0.0
173,quelques,etwas,0.25
174,faites,erledigt,0.0
175,partir,verlassen,0.16666666666666666
176,vite,schnell,0.0
177,arrête,gestoppt,0.16666666666666666
178,seule,nur,0.0
179,voiture,wagen,0.0
180,enfants,kinder,0.2
181,tuer,töten,0.25
182,merde,scheisse,0.0
