,english,spanish,Distances
0,know,saber,0.0
1,like,me gusta,0.0
2,get,obtener,0.25
3,go,vamos,0.0
4,right,correcto,0.4
5,one,una,1.0
6,come,venir,0.0
7,oh,oh,1.0
8,well,bien,0.0
9,want,desear,0.0
10,got,obtuvo,0.3333333333333333
11,yeah,sí,0.0
12,think,pensar,0.0
13,see,ver,0.0
14,good,bueno,0.0
15,let,dejar,0.0
16,yes,sí,0.0
17,going,yendo,0.3333333333333333
18,l,yo,0.0
19,time,tiempo,0.6666666666666666
20,back,espalda,0.0
21,okay,okey,1.0
22,look,mira,0.0
23,us,a nosotros,0.16666666666666666
24,take,tomar,0.3333333333333333
25,would,haría,0.0
26,tell,decir,0.0
27,man,hombre,0.25
28,say,decir,0.0
29,really,de verdad,0.0
30,gonna,ir a,0.0
31,hey,oye,0.5
32,could,pudo,0.3333333333333333
33,something,alguna cosa,0.0
34,need,necesitar,0.2
35,way,camino,0.0
36,make,hacer,0.0
37,never,nunca,0.3333333333333333
38,people,gente,0.0
39,little,poco,0.0
40,please,por favor,0.16666666666666666
41,love,amor,0.0
42,give,dar,0.0
43,sorry,perdón,0.2
44,said,dijo,0.0
45,mean,significar,0.16666666666666666
46,two,dos,0.0
47,thank,gracias,0.0
48,even,incluso,0.0
49,much,mucho,1.0
50,sure,por supuesto,0.14285714285714285
51,thing,cosa,0.0
52,help,ayuda,0.0
53,first,primero,0.25
54,anything,cualquier cosa,0.0
55,still,todavía,0.0
56,sir,señor,0.6666666666666666
57,life,vida,0.0
58,nothing,nada,0.2
59,find,encontrar,0.16666666666666666
60,god,dios,0.0
61,day,día,0.5
62,work,trabajar,0.2
63,must,deber,0.0
64,stop,deténgase,0.16666666666666666
65,maybe,quizás,0.0
66,call,llamar,0.25
67,wait,espere,0.0
68,away,lejos,0.0
69,talk,hablar,0.25
70,night,noche,0.5
71,home,hogar,0.3333333333333333
72,uh,oh,1.0
73,thought,pensamiento,0.16666666666666666
74,put,poner,0.3333333333333333
75,great,estupendo,0.0
76,last,ultimo,0.3333333333333333
77,better,mejor,0.25
78,everything,todo,0.14285714285714285
79,told,dicho,0.0
80,new,nuevo,0.5
81,always,siempre,0.0
82,things,cosas,0.2
83,long,largo,0.6666666666666666
84,keep,mantener,0.0
85,leave,abandonar,0.0
86,years,años,0.3333333333333333
87,money,dinero,0.3333333333333333
88,around,alrededor,0.4
89,name,nombre,0.5
90,father,padre,0.25
91,guy,tipo,0.0
92,place,lugar,0.0
93,feel,sentir,0.0
94,ever,alguna vez,0.16666666666666666
95,guys,tipo,0.0
96,old,antiguo,0.0
97,made,hecha,0.0
98,big,grande,0.0
99,nice,bonito,0.3333333333333333
100,girl,chica,0.0
101,hello,hola,0.6666666666666666
102,believe,creer,0.0
103,done,hecho,0.0
104,ok,ok,1.0
105,lot,lote,1.0
106,fine,multa,0.0
107,someone,alguien,0.3333333333333333
108,thanks,gracias,0.2
109,house,casa,0.5
110,wanted,querido,0.25
111,coming,viniendo,0.25
112,kind,tipo,0.0
113,every,cada,0.0
114,stay,quédate,0.0
115,left,izquierda,0.0
116,mother,madre,0.5
117,enough,suficiente,0.0
118,may,mayo,1.0
119,course,curso,1.0
120,dad,papá,0.0
121,happened,sucedió,0.0
122,wrong,equivocado,0.0
