french,german,index,alignment,french_eng,german_eng
profondément,zutiefst,0,0|0,deeply,deeply
convaincu,überzeugt,1,1|1,convinced,convinced
intérêt,gemeinsamen,2,2|3,interest,common
commun,interesse,3,3|2,common,interest
humanité,menschheit,4,4|4,humanity,mankind
promouvoir,förderung,5,5|5,promote,advancement
étendre,ausweitung,6,6|6,to expand,expansion
exploration,erforschung,7,7|7,exploration,exploration
utilisation,nutzung,8,8|8,use,use
espace,weltraums,9,9|9,space,space
extra-atmosphérique,friedliche,10,10|9,outer space,peaceful
fins,zwecke,11,11|11,ends,purposes
pacifiques,anhaltenden,12,12|10,peaceful,persistent
poursuivre,bemühungen,13,13|11,to chase,efforts
efforts,daraus,14,14|13,efforts,from it
faire,resultierenden,15,,to do,resulting
bénéficier,vorteile,16,16|16,benefit,advantages
tous,staaten,17,,all,states
états,auszuweiten,18,18|17,states,to expand
avantages,sowie,19,19|16,advantages,as
découlent,bedeutung,20,,arise,meaning
ainsi,internationalen,21,,Thus,international
importance,zusammenarbeit,22,22|20,importance,cooperation
coopération,gebiet,23,23|22,cooperation,area
internationale,vereinten,24,24|21,international,united
domaine,nationen,25,25|23,domain,nations
laquelle,sollten,26,,which,should
onu,weiterhin,27,,UN,Farther
doit,anlaufstelle,28,28|26,must,contact point
continuer,sein,29,,Continue,be
servir,bekräftigung,30,,to serve,affirmation
point,bedeutung,31,,point,meaning
focal,internationalen,32,,focal,international
réaffirmant,zusammenarbeit,33,33|30,reaffirming,cooperation
importance,entwicklung,34,34|31,importance,development
coopération,rechtsstaatlichkeit,35,35|33,cooperation,rule of law
internationale,einschließlich,36,36|32,international,including
développement,einschlägigen,37,37|34,development,relevant
état,normen,38,,state,standards
droit,weltraumrechts,39,,law,space law
compris,wichtigen,40,,understood,important
normes,rolle,41,41|38,standards,role
pertinentes,internationalen,42,42|37,relevant,international
droit,zusammenarbeit,43,,law,cooperation
spatial,erforschung,44,44|46,spatial,exploration
rôle,nutzung,45,45|41,role,use
important,weltraums,46,46|40,important,space
coopération,friedliche,47,47|43,cooperation,peaceful
internationale,zwecke,48,48|42,international,purposes
exploration,sowie,49,49|44,exploration,as
utilisation,größtmöglichen,50,50|45,use,greatest possible
espace,einhaltung,51,51|46,space,observance
extra-atmosphérique,internationaler,52,,outer space,international
fins,verträge,53,53|48,ends,contracts
pacifiques,friedliche,54,54|47,peaceful,peaceful
adhésion,nutzung,55,,membership,use
plus,weltraums,56,"56,57,58|50",more,space
large,ernsthaft,57,,large,serious
possible,besorgt,58,,possible,concerned
traités,möglichkeit,59,,treated,opportunity
internationaux,wettrüstens,60,60|52,international,rude
favorisent,weltraum,61,,favor,space
utilisations,erkenntnis,62,62|55,uses,Understanding
pacifiques,staaten,63,,peaceful,states
espace,insbesondere,64,65|61,space,in particular
extra-atmosphérique,diejenigen,65,,outer space,those
gravement,großen,66,66|57,seriously,huge
préoccupée,weltraumkapazitäten,67,67|58,preoccupied,space capacities
éventualité,aktiv,68,68|59,contingency,active
dune,ziel,69,,dune,target
course,beitragen,70,70|60,race,contribute
armements,sollten,71,71|60,armaments,should
espace,wettrüsten,72,72|61,space,arms race
reconnaissant,weltraum,73,,grateful,space
tous,wesentliche,74,,all,essential
états,voraussetzung,75,75|63,states,pre-condition
particulier,förderung,76,76|64,particular,advancement
ceux,internationalen,77,77|65,those,international
disposent,zusammenarbeit,78,,have,cooperation
dimportantes,erforschung,79,,important,exploration
capacités,nutzung,80,80|67,abilities,use
spatiales,weltraums,81,81|67,space,space
devraient,friedliche,82,82|71,should,peaceful
contribuer,zwecke,83,83|70,to contribute,purposes
activement,verhindern,84,84|68,actively,impede
objectif,angesichts,85,85|69,goal,given
consistant,tatsache,86,,consistent,fact
empêcher,weltraummüll,87,,to prevent,space debris
course,nationen,88,88|72,race,nations
armements,problem,89,89|72,armaments,problem
espace,darstellt,90,90|73,space,represents
