english,russian,index,alignment,english_eng,russian_eng
conference,конференция,0,0|0,conference,the conference
parties,сторон,1, 1|1,parties,parties
united,конвенции,2, 2|4,united,convention
nations,организации,3, 3|5,nations,organization
convention,объединенных,4, 4|2,convention,united
transnational,наций,5, 5|7,transnational,nations
organized,против,6, 6|8,organized,against
crime,транснациональной,7, 7|9,crime,transnational
decides,организованной,8, 8|10,decides,organized
effect,преступности,9,,effect,crime
third,постановляет,10, 10|13,third,decides
session,начиная,11, 11|14,session,starting out
elect,своей,12, 12|15,elect,his
end,третьей,13,# 13|16,end,third
session,сессии,14, 14|18,session,session
bureau,избрать,15,## 15|20,bureau,elect
subsequent,конце,16,18|21,subsequent,the end
session,своей,17,17|18,session,his
encourage,сессии,18,,encourage,session
play,свое,19, 19|24,play,his
active,бюро,20, 20|25,active,the Bureau
role,следующей,21, 21|26,role,next
preparation,сессии,22,22|27,preparation,session
regular,призвать,23, 23|28,regular,call on
session,играть,24, 24|22,session,play
well,активную,25,,well,active
possible,роль,26, 26|31,possible,role
intersessional,подготовке,27,# 27|29,intersessional,preparing
meetings,очередной,28, 28|33,meetings,regular
also,сессии,29, 29|30,also,session
decides,также,30, 30|35,decides,also
amend,возможных,31,31|38,amend,possible
rule,межсессионных,32,32|39,rule,intersessional
rules,совещаний,33, 33|40,rules,meetings
procedure,также,34,# 34|41,procedure,also
accordingly,постановляет,35,35|37,accordingly,decides
effect,внести,36,,effect,make
third,соответствующие,37, 37|44,third,the corresponding
session,поправки,38,# 38|32,session,amendments
read,правило,39,,read,the rule
follows,правил,40,40|46,follows,rules
rule,процедуры,41,# 41|39,rule,procedures
election,начиная,42,## 42|49,election,starting out
end,своей,43,# 43|38,end,his
session,третьей,44, 44|45,session,third
president,сессии,45,45|53,president,session
eight,следующим,46,* 46|54,eight,following
vice-presidents,образом,47,,vice-presidents,way
rapporteur,правило,48,,rapporteur,the rule
shall,выборы,49,,shall,elections
elected,конце,50,50|59,elected,the end
among,каждой,51,,among,each
representatives,сессии,52,* 52|61,representatives,session
states,председатель,53,## 53|62,states,chairman
parties,восемь,54,,parties,eight
president,заместителей,55,# 55|57,president,deputies
vice-presidents,-,56,,vice-presidents,
rapporteur,президенты,57,,rapporteur,presidents
elected,докладчик,58, 58|59,elected,speaker
shall,избираются,59,,shall,elected
serve,числа,60,60|72,serve,the numbers
officers,представителей,61,,officers,representatives
subsequent,государств-участников,62,62|75,subsequent,participating States
session,избранные,63,* 63|52,session,the chosen
guide,таким,64,** 64|77,guide,so
secretariat,образом,65,** 65|78,secretariat,way
preparations,председатель,66,### 66|80,preparations,chairman
session,заместители,67,** 67|81,session,alternates
intersessional,председателя,68,### 68|83,intersessional,chairman
meetings,докладчик,69,### 69|85,meetings,speaker
may,будут,70,*** 70|87,may,will be
held,выполнять,71,71|88,held,fulfill
electing,функции,72,72|89,electing,function
officers,должностных,73,"73|90,91",officers,official
session,лиц,74, 74|76,session,persons
five,следующей,75,*** 75|94,five,next
regional,сессии,76,*** 76|95,regional,session
groups,направлять,77,*** 77|96,groups,guide
shall,секретариат,78,,shall,secretariat
represented,ходе,79,#### 79|98,represented,the course
two,подготовки,80,80|99,two,preparation
officers,сессии,81,"81|100,101",officers,session
one,любой,82,**** 82|110,one,any
shall,сессии,83,,shall,session
among,межсессионные,84,,among,intersessional
representatives,встречи,85,##### 85|124,representatives,meeting
states,которые,86,86|106,states,which
parties,могут,87,,parties,may
convention,проводиться,88,*** 88|109,convention,be carried out
one,избрании,89,# 89|93,one,election
possible,должностных,90,,possible,official
protocols,лиц,91,*** 91|114,protocols,persons
entered,сессии,92,92|115,entered,session
force,каждая,93,93|116,force,each one
opening,пяти,94,94|117,opening,five
session,региональных,95,95|118,session,regional
bureau,групп,96,96|120,bureau,groups
shall,должна,97,,shall,should
include,представлена,98,98|121,include,presented
least,двумя,99,*** 99|123,least,two
two,должностными,100,,two,official
representatives,лицами,101,101|124,representatives,by persons
states,которых,102,102|125,states,which
parties,должен,103,103|128,parties,should
instruments,числа,104,,instruments,the numbers
entered,представителей,105,## 105|115,entered,representatives
force,государств,106,106|131,force,states
opening,являющихся,107,,opening,being
session,участниками,108,108|134,session,participants
offices,конвенции,109,109|135,offices,convention
president,одного,110,110|136,president,one
rapporteur,нескольких,111,,rapporteur,several
conference,и,112,##### 112|138,conference,and
shall,возможно,113,,shall,Maybe
normally,протоколов,114,,normally,protocols
subject,вступивших,115,##### 115|140,subject,who entered
rotation,силу,116,**** 116|141,rotation,force
among,открытию,117,,among,opening
five,сессии,118,**** 118|142,five,session
regional,состав,119,**** 119|143,regional,composition
groups,бюро,120,##### 120|144,groups,the Bureau
behalf,входят,121,,behalf,are included
states,крайней,122,"122,123|146",states,extreme
members,мере,123,,members,least
united,представителя,124,**** 124|148,united,representative
nations,государств,125,**** 125|149,nations,states
members,которые,126,,members,which
european,являются,127,**** 127|154,european,are
union,участниками,128,**** 128|155,union,participants
sixtieth,документов,129,**** 129|152,sixtieth,documents
session,вступивших,130, 130|134,session,who entered
