,english,french,Distances
0,know,connaître,0.16666666666666666
1,like,comme,0.0
2,get,obtenir,0.25
3,go,aller,0.0
4,right,droit,0.25
5,one,une,1.0
6,come,viens,0.0
7,oh,oh,1.0
8,well,bien,0.0
9,want,vouloir,0.0
10,got,a obtenu,0.25
11,yeah,oui,0.0
12,think,pense,0.25
13,see,voir,0.0
14,good,bien,0.0
15,let,laisser,0.25
16,yes,oui,0.0
17,going,aller,0.0
18,l,je,0.0
19,time,temps,0.5
20,back,retour,0.0
21,okay,d'accord,0.0
22,look,regarder,0.0
23,us,nous,0.5
24,take,prendre,0.0
25,would,aurait,0.0
26,tell,raconter,0.0
27,man,homme,0.3333333333333333
28,say,dire,0.0
29,really,vraiment,0.2
30,gonna,va,0.0
31,hey,hey,1.0
32,could,pourrait,0.0
33,something,quelque chose,0.0
34,need,besoin,0.0
35,way,façon,0.0
36,make,fabriquer,0.0
37,never,jamais,0.0
38,people,personnes,0.16666666666666666
39,little,peu,0.0
40,please,s'il te plaît,0.2
41,love,aimer,0.0
42,give,donner,0.0
43,sorry,excusez-moi,0.16666666666666666
44,said,a dit,0.3333333333333333
45,mean,moyenne,0.5
46,two,deux,0.0
47,thank,remercier,0.0
48,even,même,0.0
49,much,beaucoup,0.3333333333333333
50,sure,bien sur,0.4
51,thing,chose,0.25
52,help,aider,0.0
53,first,première,0.2
54,anything,n'importe quoi,0.125
55,still,toujours,0.0
56,sir,monsieur,0.5
57,life,la vie,0.3333333333333333
58,nothing,rien,0.2
59,find,trouver,0.0
60,god,dieu,0.5
61,day,journée,0.0
62,work,travailler,0.16666666666666666
63,must,devoir,0.0
64,stop,arrêt,0.0
65,maybe,peut être,0.0
66,call,appel,0.3333333333333333
67,wait,attendez,0.2
68,away,une façon,0.0
69,talk,parler,0.25
70,night,nuit,0.5
71,home,domicile,0.25
72,uh,euh,1.0
73,thought,pensait,0.2
74,put,mettre,0.25
75,great,génial,0.25
76,last,dernière,0.0
77,better,meilleur,0.25
78,everything,tout,0.14285714285714285
79,told,raconté,0.0
80,new,nouveau,0.5
81,always,toujours,0.25
82,things,des choses,0.14285714285714285
83,long,long,1.0
84,keep,donjon,0.0
85,leave,pars,0.0
86,years,années,0.25
87,money,de l'argent,0.125
88,around,autour de,0.5
89,name,nom,1.0
90,father,père,0.25
91,guy,mec,0.0
92,place,lieu,0.3333333333333333
93,feel,ressentir,0.0
94,ever,déjà,0.0
95,guys,les mecs,0.16666666666666666
96,old,vieille,0.3333333333333333
97,made,fabriqué,0.0
98,big,gros,0.0
99,nice,joli,0.0
100,girl,fille,0.3333333333333333
101,hello,salut,0.3333333333333333
102,believe,croire,0.0
103,done,fini,0.5
104,ok,d'accord,0.0
105,lot,parcelle,0.2
106,fine,bien,0.5
107,someone,quelqu'un,0.2
108,thanks,merci,0.0
109,house,loger,0.0
110,wanted,recherché,0.0
111,coming,à venir,0.2
112,kind,type,0.0
113,every,tous,0.0
114,stay,rester,0.5
115,left,la gauche,0.2
116,mother,mère,0.5
117,enough,suffisant,0.0
118,may,mai,0.5
119,course,cours,1.0
120,dad,papa,0.0
121,happened,passé,0.2
122,wrong,mauvais,0.0
123,listen,ecoutez,0.25
124,bad,mal,0.0
125,came,est venu,0.0
126,understand,comprendre,0.14285714285714285
127,three,trois,0.3333333333333333
128,today,aujourd'hui,0.2
129,world,monde,0.25
130,another,une autre,0.5
131,hear,écouter,0.25
132,remember,rappelles toi,0.125
133,might,pourrait,0.25
134,ask,demandez,0.0
135,kill,tuer,0.0
136,show,afficher,0.2
137,else,autre,0.0
138,talking,en parlant,0.14285714285714285
139,found,trouvé,0.0
140,care,se soucier,0.4
141,son,fils,0.0
142,car,auto,0.0
143,next,suivant,0.25
144,getting,obtenir,0.4
145,try,essayer,0.25
146,looking,en regardant,0.125
147,woman,femme,0.3333333333333333
148,dead,morte,0.0
149,hi,salut,0.0
150,went,est allé,0.0
151,many,de nombreux,0.14285714285714285
152,friend,ami,0.0
153,mind,dérange,0.2
154,hell,enfer,0.0
155,mom,maman,0.6666666666666666
156,boy,garçon,0.0
157,best,meilleur,0.0
158,morning,matin,0.4
159,together,ensemble,0.0
160,saw,vu,0.0
161,trying,en essayant,0.2857142857142857
162,job,travail,0.0
163,without,sans pour autant,0.2
164,real,réel,0.6666666666666666
165,baby,bébé,0.5
166,family,famille,0.75
167,room,chambre,0.2
168,move,mouvement,0.4
169,already,déjà,0.0
170,live,habitent,0.0
171,seen,vu,0.0
172,miss,mademoiselle,0.3333333333333333
173,shit,merde,0.0
174,actually,réellement,0.2857142857142857
175,heard,entendu,0.25
176,brother,frère,0.4
177,head,tête,0.0
178,ready,prêt,0.25
179,happy,joyeux,0.0
180,huh,hein,0.5
181,hold,tenir,0.0
182,called,appelé,0.25
183,used,utilisé,0.25
184,knew,connaissait,0.16666666666666666
185,men,hommes,0.25
186,idea,idée,0.5
187,wife,épouse,0.0
188,yet,encore,0.0
189,took,pris,0.0
190,fuck,merde,0.0
191,also,aussi,0.5
192,pretty,jolie,0.0
193,days,jours,0.3333333333333333
194,since,puisque,0.0
195,whole,ensemble,0.2
196,tomorrow,demain,0.2
197,start,démarrer,0.16666666666666666
198,use,utiliser,0.25
199,door,porte,0.3333333333333333
200,bit,bit,1.0
201,matter,question,0.25
202,bring,apporter,0.2
203,meet,rencontrer,0.14285714285714285
204,tonight,ce soir,0.0
205,guess,deviner,0.0
206,run,cours,0.3333333333333333
207,alone,seule,0.0
208,everyone,tout le monde,0.125
209,school,école,0.5
210,gone,disparu,0.0
211,hard,dur,0.3333333333333333
212,wanna,veux,0.0
213,play,joue,0.0
214,problem,problème,0.8333333333333334
215,end,fin,0.0
216,saying,en disant,0.16666666666666666
217,open,ouvert,0.0
218,friends,copains,0.4
219,fucking,putain de,0.0
220,ago,depuis,0.0
221,killed,tué,0.0
222,looks,regards,0.2
223,gotta,dois,0.0
224,ah,ah,1.0
225,anyone,personne,0.2
226,phone,téléphoner,0.375
227,hope,espoir,0.3333333333333333
228,lost,perdu,0.0
229,excuse,excuse,1.0
230,face,visage,0.0
231,um,euh,0.0
232,die,mourir,0.0
233,turn,tourner,0.75
234,police,police,1.0
235,heart,cœur,0.0
236,wants,veut,0.25
237,says,dit,0.0
238,true,vrai,0.5
239,worry,inquiétude,0.0
240,soon,bientôt,0.2
241,business,entreprise,0.16666666666666666
242,case,cas,1.0
243,later,plus tard,0.42857142857142855
244,watch,regardez,0.0
245,year,an,0.0
246,hand,main,0.3333333333333333
247,beautiful,magnifique,0.2
248,doctor,docteur,1.0
249,eat,manger,0.0
250,sit,asseoir,0.3333333333333333
251,probably,probablement,0.625
252,thinking,pensée,0.16666666666666666
253,late,en retard,0.16666666666666666
254,forget,oubliez,0.0
255,young,jeune,0.3333333333333333
256,second,seconde,1.0
257,kids,des gamins,0.14285714285714285
258,kid,enfant,0.0
259,pay,payer,0.6666666666666666
260,crazy,fou,0.0
261,water,l'eau,0.0
262,death,la mort,0.0
263,working,travail,0.2
264,stuff,truc,0.25
265,minute,minute,1.0
266,part,partie,1.0
267,person,la personne,0.5714285714285714
268,everybody,tout le monde,0.0
269,damn,mince,0.3333333333333333
270,drink,boire,0.25
271,gave,a donné,0.0
272,change,monnaie,0.25
273,exactly,exactement,0.5
274,happen,se produire,0.16666666666666666
275,shut,fermer,0.0
276,five,cinq,0.0
277,knows,sait,0.0
278,eyes,les yeux,0.2
279,hit,succès,0.0
280,far,loin,0.0
281,easy,facile,0.0
282,whatever,quoi qu'il en soit,0.0
283,hands,mains,0.5
284,taking,prise,0.0
285,times,fois,0.3333333333333333
286,check,chèque,0.5
287,minutes,minutes,1.0
288,music,musique,0.6666666666666666
289,inside,à l'intérieur,0.1111111111111111
290,sleep,sommeil,0.25
291,means,moyens,0.75
292,somebody,quelqu'un,0.0
293,mine,mien,1.0
294,deal,accord,0.0
295,different,différent,0.8571428571428571
296,asked,demandé,0.2
297,makes,fait du,0.0
298,point,indiquer,0.0
299,afraid,peur,0.3333333333333333
300,body,corps,0.0
301,anyway,de toute façon,0.0
302,dear,chère,0.25
303,four,quatre,0.3333333333333333
304,shall,devoir,0.0
305,chance,chance,1.0
306,close,proche,0.0
307,making,fabrication,0.0
308,waiting,attendre,0.4
309,party,faire la fête,0.125
310,daughter,fille,0.0
311,comes,vient,0.0
312,word,mot,0.0
313,fun,amusement,0.2
314,number,numéro,0.75
315,married,marié,0.5
316,hurt,blesser,0.0
317,story,histoire,0.5
318,set,positionner,0.3333333333333333
319,wish,souhaiter,0.25
320,least,moins,0.0
321,quite,assez,0.0
322,important,important,1.0
323,girls,filles,0.5
324,husband,mari,0.0
325,fire,feu,0.5
326,nobody,personne,0.0
327,fight,lutte,0.25
328,children,enfants,0.0
329,rest,le repos,0.2
330,moment,moment,1.0
331,week,la semaine,0.0
