french,german,index,alignment,french_eng,german_eng
conférence,konferenz,0,0|0,conference,conference
parties,vertragsparteien,1,1|1,parts,contracting parties
convention,übereinkommens,2, 2|2,convention,convention
nations,vereinten,3, 3|4,nations,united
unies,nationen,4, 4|3,united,nations
contre,grenzüberschreitende,5,,versus,cross-border
criminalité,organisierte,6,6|7,criminality,organized
transnationale,kriminalität,7,7|5,transnational,crime
organisée,beschließt,8,8|6,organized,decides
décide,wirkung,9,,decided,effect
compter,ab,10,,to count,away
troisième,dritten,11, 11|11,third,third
session,tagung,12,12|12,session,meeting
élire,ende,13,# 13|18,elect,end
fin,tagung,14, 14|13,end,meeting
session,präsidium,15,15|14,session,presidium
bureau,folgende,16,,office,the following
session,tagung,17,17|17,session,meeting
suivante,wählen,18,18|16,next,Select
encourager,ermutigen,19,# 19|19,to encourage,encourage
jouer,aktiv,20,,to play,active
rôle,vorbereitung,21,,role,preparation
actif,beteiligen,22, 22|20,active,participate
préparation,ordentlichen,23,23|21,preperation,ordinary
session,tagung,24,# 24|27,session,meeting
ordinaire,sowie,25, 25|23,ordinary,as
ainsi,eventuellen,26,,Thus,eventual
lors,zwischensitzungen,27,,during,between sessions
éventuelles,beschließt,28,28|26,possible,decides
réunions,außerdem,29,# 29|24,meetings,aside from that
intersessions,regel,30,30|27,intersessional,rule
décide,geschäftsordnung,31,31|28,decided,rules of procedure
également,wirkung,32,,also,effect
modifier,ab,33,,to modify,away
article,dritten,34,,item,third
règlement,tagung,35,,regulation,meeting
intérieur,folgt,36,,interior,follows
conséquence,entsprechend,37,37|32,result,corresponding
effet,ändern,38,* 38|32,effect,change
troisième,regel,39, 39|34,third,rule
session,wahl,40,40|35,session,choice
lire,ende,41,,read,end
comme,tagung,42,,like,meeting
suit,präsident,43,* 43|36,follows,president
article,acht,44,,item,eight
élection,stellvertretende,45,,election,deputy
fin,#NAME?,46, 46|41,end,
chaque,berichterstatter,47,,each,rapporteur
session,vertretern,48,48|42,session,represent
président,vertragsstaaten,49,# 49|46,President,contracting states
huit,gewählt,50, 50|44,eight,chosen
vice,präsident,51,# 51|52,vice,president
-,vizepräsidenten,52,,,vice president
,gewählte,53,,,elected
présidents,berichterstatter,54,# 54|51,presidents,rapporteur
rapporteur,fungieren,55,55|54,protractor,act
élus,amtsträger,56, 56|53,elected,official
parmi,nachfolgenden,57,,among,subsequent
représentants,tagung,58,# 58|48,representatives,meeting
états,leiten,59,# 59|49,states,conduct
parties,sekretariat,60,,parts,office
président,vorbereitungen,61,* 61|43,President,preparations
vice-présidents,tagung,62,62|52,vice-presidents,meeting
rapporteur,zwischensitzungen,63,63|54,protractor,between sessions
ainsi,abgehalten,64,,Thus,held
élus,wahl,65,,elected,choice
font,sitzungsleiter,66,,make,chairperson
fonction,fünf,67,,function,five
bureau,regionalgruppen,68,* 68|60,office,regional groups
session,zwei,69,# 69|63,session,two
suivante,amtsträger,70,70|57,next,official
guident,vertreten,71,,guide,represent
secrétariat,gehört,72,,secretariat,heard
préparation,vertretern,73,73|61,preperation,represent
cette,staaten,74,,this,states
session,vertragsparteien,75,65|58,session,contracting parties
réunions,übereinkommens,76,76|62,meetings,convention
intersessions,sind,77,77|63,intersessional,are
peuvent,mehrerer,78,,can,several
avoir,möglichst,79,,to have,if possible
lieu,protokolle,80,,place,protocols
lors,eröffnung,81,,during,opening
élection,tagung,82,82|65,election,meeting
bureau,kraft,83,,office,force
session,getreten,84,,session,kicked
chacun,sind,85,,each,are
cinq,präsidium,86,86|67,five,presidium
groupes,gehören,87,"88,87|68",groups,belong
régionaux,mindestens,88,,regional,at least
représenté,zwei,89,### 89|71,represented,two
deux,vertreter,90,,of them,representative
membres,staaten,91,,members,states
bureau,an,92,,office,at
dont,vertragsparteien,93,,of which,contracting parties
parmi,urkunden,94,,among,certificates
représentants,eröffnung,95,95|73,representatives,opening
etats,tagung,96,96|74,states,meeting
parties,kraft,97,97|75,parts,force
convention,getreten,98,** 98|76,convention,kicked
plusieurs,ämter,99,99|78,various,offices
si,präsidenten,100,"100,101|79",if,presidents
possible,berichterstatters,101,,possible,rapporteur
tous,konferenz,102,,all,conference
protocoles,unterliegen,103,** 103|80,protocols,subject
entrés,normalerweise,104,,entered,normally
vigueur,rotationswechsel,105,105|83,vigor,rotation change
ouverture,fünf,106,106|81,opening,five
session,regionalgruppen,107,107|82,session,regional groups
bureau,namen,108,,office,names
comprend,mitgliedstaaten,109,,understand,member states
moins,vereinten,110,110|88,less,united
deux,nationen,111,,of them,nations
représentants,mitglieder,112,112|90,representatives,members
etats,europäischen,113,113|91,states,European
parties,union,114,114|93,parts,union
tous,sechzigste,115,,all,sixtieth
instruments,tagung,116,,instruments,meeting
entrés,tagesordnungspunkt,117,,entered,agenda item
vigueur,vorgeschlagener,118,118|97,vigor,proposed
ouverture,programmhaushalt,119,119|95,opening,program budget
session,zweijahreszeitraum,120,120|96,session,biennium
bureaux,-,121,,offices,
président,vorgeschlagener,122,#### 122|100,President,proposed
rapporteur,programmhaushalt,123,123|101,protractor,program budget
conférence,zweijahreszeitraum,124,*** 124|102,conference,biennium
normalement,-,125,125|104,normally,
soumis,abschnitt,126,,submitted,section
rotation,amt,127,#### 127|105,rotation,government office
entre,interne,128,,Between,internal
cinq,aufsichtsdienste,129,129|106,five,supervisory services
groupes,fünfzehnter,130,"131,130|107",groups,fifteenth
régionaux,bericht,131,,regional,report
nom,beratenden,132,#### 132|108,name,advisory
états,ausschusses,133,"134,133|109",states,committee
membres,verwaltungs-,134,,members,administrative
nations,haushaltsfragen,135,**** 135|111,nations,budgetary issues
unies,beratende,136,**** 136|110,united,advisory
membres,ausschuss,137,137|112,members,committee
union,erinnert,138,**** 138|114,union,remind
européenne,daran,139,**** 139|113,european,to it
soixantième,zeitpunkt,140,** 140|157,sixtieth,time
session,prüfung,141,141|116,session,test
point,vorgeschlagenen,142,142|117,point,proposed
ordre,programmhaushalts,143,,order,program budget
jour,rechnungsperiode,144,,day,accounting period
projet,-,145,145|122,project,
budget,wurde,146,"146,145|123",budget,became
-,mitgeteilt,147,,,communicated
programme,vorschlag,148,,program,proposal
exercice,amtes,149,,exercise,office
biennal,interne,150,150|124,biennial,internal
-,aufsichtsdienste,151,,,supervisory services
projet,aiad,152,,project,aiad
budget,grundlegend,153,"155,153|143",budget,fundamental
-,überarbeitet,154,,,revised
programme,neue,155,,program,new
exercice,vorschlag,156,,exercise,proposal
biennal,sechzigsten,157,,biennial,sixtieth
-,tagung,158,,,meeting
chapitre,generalversammlung,159,,chapter,general assembly
bureau,ende,160,* 160|149,office,end
services,vorgelegt,161,## 161|151,services,submitted
contrôle,siehe,162,,control,please refer
interne,a,163,# 163|163,internal,a
quinzième,abs,164,********** 164|130,fifteenth,Section
rapport,dementsprechend,165,********** 165|131,report,accordingly
comité,ausschuss,166, 166|166,committee,committee
consultatif,zeitpunkt,167,********** 167|132,advisory,time
questions,ersten,168,,Questions,first
administratives,schätzungen,169,********** 169|134,administrative,estimates
budgétaires,befasst,170,,budgetary,deals
comité,bereit,171,********** 171|133,committee,ready
rappelle,erklärt,172,172|138,remember,explained
quau,schätzungen,173,,quau,estimates
moment,aufzunehmen,174,,moment,to record
examen,sobald,175,175|141,exam,as soon as
projet,vorliegen,176,176|142,project,are present
budget-programme,,177,********* 177|119,program budget,
exercice,,178,,exercise,
biennal,,179,,biennial,
-,,180,,,
euh,,181,,uh,
a,,182,,To,
informé,,183,,informed,
quil,,184,,that he,
révision,,185,,revision,
substantielle,,186,,substantial,
proposition,,187,,proposal,
bureau,,188,,office,
services,,189,,services,
contrôle,,190,,control,
interne,,191,,internal,
bsci,,192,,bsci,
cette,,193,,this,
nouvelle,,194,,news,
proposition,,195,,proposal,
soumise,,196,,submissive,
cours,,197,,Classes,
soixantième,,198,,sixtieth,
session,,199,,session,
assemblée,,200,,Assembly,
générale,,201,,general,
avant,,202,,before,
fin,,203,,end,
voir,,204,,see,
a,,205,,To,
paras,,206,,paras,
conséquence,,207,,result,
comité,,208,,committee,
na,,209,,n / A,
examiné,,210,,examined,
estimations,,211,,estimates,
initiales,,212,,initials,
moment,,213,,moment,
-,,214,,,
là,,215,,the,
a,,216,,To,
plutôt,,217,,rather,
indiqué,,218,,indicated,
quil,,219,,that he,
prêt,,220,,ready,
examiner,,221,,examine,
estimations,,222,,estimates,
dès,,223,,from,
quelles,,224,,what,
disponibles,,225,,available,
