,french,spanish,Distances
0,a,posee,0.0
1,ça,ese,0.0
2,bien,bien,1.0
3,si,si,1.0
4,non,no,0.5
5,tout,todo,0.5
6,plus,más,0.3333333333333333
7,fait,hecho,0.0
8,oui,sí,0.0
9,va,vamos,0.3333333333333333
10,faire,hacer,0.3333333333333333
11,quoi,qué,0.5
12,comme,como,0.6666666666666666
13,sais,saber,0.3333333333333333
14,veux,querer,0.0
15,être,estar,0.6666666666666666
16,ici,aquí,0.0
17,dit,dicho,0.3333333333333333
18,pourquoi,por qué,0.6
19,où,o,0.0
20,rien,ninguna cosa,0.14285714285714285
21,là,la,0.5
22,cette,este,0.3333333333333333
23,peux,puedo,0.5
24,quand,cuando,0.6666666666666666
25,dire,decir,0.6666666666666666
26,alors,entonces,0.2
27,vais,voy a,0.3333333333333333
28,comment,¿cómo? 'o' ¿qué?,0.15384615384615385
29,chose,cosa,0.6666666666666666
30,bon,bien,1.0
31,merci,gracias,0.5
32,juste,correcto,0.2
33,très,muy,0.0
34,jamais,nunca,0.0
35,avoir,haber,0.3333333333333333
36,vraiment,de verdad,0.16666666666666666
37,aussi,también,0.0
38,voir,ver,1.0
39,oh,vaya,0.0
40,maintenant,ahora,0.0
41,tous,todos,0.6666666666666666
42,peut,puede,0.5
43,deux,de ellos,0.2
44,allez,vamos,0.0
45,autre,otro,1.0
46,fais,hacer,0.0
47,peu,pequeño,0.3333333333333333
48,quelque,algunos,0.0
49,temps,tiempo,0.75
50,toujours,quieto,0.0
51,encore,otra vez,0.0
52,besoin,necesidad,0.2
53,accord,negociar,0.25
54,faut,debería,0.0
55,dois,debo,0.5
56,vie,la vida,0.25
57,aller,ir,0.3333333333333333
58,fois,tiempo,0.0
59,vu,visto,0.3333333333333333
60,sans,sin que,0.5
61,donc,entonces,0.4
62,monde,mundo,1.0
63,avant,antes de,0.2
64,sûr,seguro,0.6666666666666666
65,parce,por,0.6666666666666666
66,trop,demasiado,0.0
67,parler,hablar,0.5
68,père,padre,0.6666666666666666
69,personne,nadie,0.2
70,crois,creer,0.6666666666666666
71,après,después,0.2
72,ouais,sí,0.5
73,dieu,dios,0.5
74,pense,pensar,0.75
75,aime,amar,0.5
76,homme,hombre,0.5
77,viens,ven,0.6666666666666666
78,femme,mujeres,0.0
79,ok,de acuerdo,0.0
80,vrai,real,0.0
81,ans,años,0.5
82,veut,querer,0.0
83,doit,deber,0.3333333333333333
84,mal,mal,1.0
85,chez,en la casa de,0.125
86,depuis,desde,0.3333333333333333
87,déjà,ya,0.0
88,beaucoup,un monton,0.0
89,mort,muerto,1.0
90,bonne,buena,0.6666666666666666
91,mieux,mejor,0.3333333333333333
92,mère,madre,0.6666666666666666
93,vas,vamos,0.6666666666666666
94,fille,hija,0.0
95,dis,decir,0.3333333333333333
96,ca,ese,0.0
97,gens,gente,0.6666666666666666
98,quel,qué,0.5
99,vois,ver,0.5
100,désolé,lo siento,0.2
101,voilà,listo,0.0
102,petit,pequeño,0.3333333333333333
103,maison,casa,0.3333333333333333
104,soir,anochecer,0.2
105,cela,ese,0.0
106,autres,otros,1.0
107,toute,toda,0.5
108,passé,pasado,0.5
109,jour,día,0.0
110,prendre,tomar,0.2
111,monsieur,señor,0.25
112,savoir,saber,0.6666666666666666
113,argent,dinero,0.25
114,choses,cosas,0.75
115,salut,hola,0.3333333333333333
116,nom,apellido,0.0
117,cet,este,0.5
118,nuit,noche,0.3333333333333333
119,bonjour,buenos dias,0.3333333333333333
120,raison,razón,0.5
121,moins,menos,1.0
122,arrive,llegado,0.0
123,maman,mamá,0.6666666666666666
124,reste,descanso,0.2
125,voulais,querido,0.0
126,air,aire,1.0
