spanish,german,index,alignment,spanish_eng,german_eng
profundamente,zutiefst,0,,deeply,deeply
convencido,überzeugt,1, 1|1,convinced,convinced
interés,gemeinsamen,2, 2|3,interest,common
común,interesse,3, 3|2,common,interest
humanidad,menschheit,4,,humanity,mankind
promover,förderung,5,,promote,advancement
ampliar,ausweitung,6,,enlarge,expansion
exploración,erforschung,7, 7|7,exploration,exploration
utilización,nutzung,8,,utilization,use
espacio,weltraums,9, 9|9,space,space
ultraterrestre,friedliche,10,,extraterrestrial,peaceful
fines,zwecke,11, 11|11,purposes,purposes
pacíficos,anhaltenden,12, 12|10,peaceful,persistent
esfuerzos,bemühungen,13, 13|13,efforts,efforts
continuos,daraus,14,,continuous,from it
extender,resultierenden,15,,to extend,resulting
beneficios,vorteile,16,# 16|29,Benefits,advantages
ello,staaten,17, 17|14,it,states
derivan,auszuweiten,18,,they derive,to expand
importancia,sowie,19,,importance,as
cooperación,bedeutung,20, 20|22,cooperation,meaning
internacional,internationalen,21, 21|21,international,international
campo,zusammenarbeit,22,,countryside,cooperation
naciones,gebiet,23, 23|25,nations,area
unidas,vereinten,24, 24|24,united,united
deben,nationen,25,,must,nations
seguir,sollten,26,,continue,should
proporcionando,weiterhin,27,,providing,Farther
punto,anlaufstelle,28, 28|28,point,contact point
focal,sein,29,,focal,be
reafirmando,bekräftigung,30,,reaffirming,affirmation
importancia,bedeutung,31,,importance,meaning
cooperación,internationalen,32, 32|33,cooperation,international
internacional,zusammenarbeit,33, 33|32,international,cooperation
desarrollo,entwicklung,34,,developing,development
derecho,rechtsstaatlichkeit,35,,right,rule of law
incluidas,einschließlich,36,,included,including
normas,einschlägigen,37,,rules,relevant
pertinentes,normen,38, 38|37,relevant,standards
derecho,weltraumrechts,39,,right,space law
espacial,wichtigen,40, 40|39,space,important
importante,rolle,41, 41|40,important,role
función,internationalen,42,,function,international
cooperación,zusammenarbeit,43, 43|43,cooperation,cooperation
internacional,erforschung,44, 44|42,international,exploration
exploración,nutzung,45, 45|44,exploration,use
utilización,weltraums,46,,utilization,space
espacio,friedliche,47, 47|46,space,peaceful
ultraterrestre,zwecke,48,,extraterrestrial,purposes
fines,sowie,49, 49|48,purposes,as
pacíficos,größtmöglichen,50, 50|47,peaceful,greatest possible
adhesión,einhaltung,51,,accession,observance
amplia,internationaler,52,,wide,international
posible,verträge,53, 53|50,possible,contracts
tratados,friedliche,54,,treaties,peaceful
internacionales,nutzung,55, 55|52,international,use
promueven,weltraums,56,,promote,space
usos,ernsthaft,57,,applications,serious
pacíficos,besorgt,58, 58|54,peaceful,concerned
espacio,möglichkeit,59, 59|56,space,opportunity
exterior,wettrüstens,60,,Exterior,rude
profundamente,weltraum,61,,deeply,space
preocupado,erkenntnis,62,,worried,Understanding
posibilidad,staaten,63,,possibility,states
carrera,insbesondere,64,,career,in particular
armamentos,diejenigen,65,,armaments,those
espacio,großen,66, 66|61,space,huge
ultraterrestre,weltraumkapazitäten,67,,extraterrestrial,space capacities
reconociendo,aktiv,68,,acknowledging,active
estados,ziel,69,# 69|63,state,target
particular,beitragen,70,# 70|64,particular,contribute
gran,sollten,71,,big,should
capacidad,wettrüsten,72,,capacity,arms race
espacial,weltraum,73, 73|73,space,space
deben,wesentliche,74,,must,essential
contribuir,voraussetzung,75, 75|70,contribute,pre-condition
activamente,förderung,76,# 76|68,actively,advancement
objetivo,internationalen,77,,objective,international
prevenir,zusammenarbeit,78,,to prevent,cooperation
carrera,erforschung,79,,career,exploration
armamentos,nutzung,80,,armaments,use
espacio,weltraums,81, 81|81,space,space
ultraterrestre,friedliche,82,,extraterrestrial,peaceful
condición,zwecke,83,# 83|75,condition,purposes
esencial,verhindern,84,* 84|74,essential,impede
promoción,angesichts,85,,promotion,given
cooperación,tatsache,86,* 86|78,cooperation,fact
internacional,weltraummüll,87,* 87|77,international,space debris
exploración,nationen,88,* 88|79,exploration,nations
utilización,problem,89,,utilization,problem
espacio,darstellt,90, 90|87,space,represents
ultraterrestre,hinweis,91,,extraterrestrial,Note
fines,fortschritte,92,* 92|83,purposes,progress
pacíficos,weiterentwicklung,93, 93|94,peaceful,further development
considerando,friedlichen,94,,considering,peaceful
desechos,erforschung,95, 95|98,waste,exploration
espaciales,anwendung,96,,spatial,use
problema,weltraums,97,,trouble,space
preocupa,sowie,98,,worries,as
todas,verschiedenen,99,,all,different
naciones,nationalen,100,* 100|88,nations,national
observando,kooperativen,101,,watching,cooperative
progresos,weltraumprojekten,102,* 102|92,progress,space projects
logrados,erzielt,103, 103|103,achieved,achieved
desarrollo,wurden,104,,developing,became
ulterior,internationalen,105,,subsequent,international
exploración,zusammenarbeit,106,* 106|95,exploration,cooperation
aplicaciones,beitragen,107,,Applications,contribute
espaciales,bedeutung,108,,spatial,meaning
fines,weiteren,109,,purposes,further
pacíficos,internationalen,110,** 110|133,peaceful,international
así,zusammenarbeit,111, 111|115,So,cooperation
varios,bereich,112,,several,area
proyectos,überzeugt,113,# 113|102,Projects,convinced
espaciales,bedeutung,114,,spatial,meaning
nacionales,resolution,115, 115|110,national,resolution
cooperación,"""the",116, 116|111,cooperation,"""the"
contribuyen,space,117, 117|121,contribute,space
cooperación,millennium,118,* 118|106,cooperation,millennium
internacional,vienna,119,* 119|105,international,Vienna
