french,german,index,alignment,french_eng,german_eng
conférence,konferenz,0,,conference,conference
parties,vertragsparteien,1,,parts,contracting parties
convention,übereinkommens,2, 2|2,convention,convention
nations,vereinten,3, 3|4,nations,united
unies,nationen,4, 4|3,united,nations
contre,grenzüberschreitende,5,,versus,cross-border
criminalité,organisierte,6,,criminality,organized
transnationale,kriminalität,7,,transnational,crime
organisée,beschließt,8,,organized,decides
décide,wirkung,9,,decided,effect
compter,ab,10,,to count,away
troisième,dritten,11, 11|11,third,third
session,tagung,12,,session,meeting
élire,ende,13,# 13|18,elect,end
fin,tagung,14, 14|13,end,meeting
session,präsidium,15,,session,presidium
bureau,folgende,16,,office,the following
session,tagung,17,,session,meeting
suivante,wählen,18,,next,Select
encourager,ermutigen,19,# 19|19,to encourage,encourage
jouer,aktiv,20,,to play,active
rôle,vorbereitung,21,,role,preparation
actif,beteiligen,22, 22|20,active,participate
préparation,ordentlichen,23,,preperation,ordinary
session,tagung,24,# 24|27,session,meeting
ordinaire,sowie,25, 25|23,ordinary,as
ainsi,eventuellen,26,,Thus,eventual
lors,zwischensitzungen,27,,during,between sessions
éventuelles,beschließt,28,,possible,decides
réunions,außerdem,29,# 29|24,meetings,aside from that
intersessions,regel,30,,intersessional,rule
décide,geschäftsordnung,31,,decided,rules of procedure
également,wirkung,32,,also,effect
modifier,ab,33,,to modify,away
article,dritten,34,,item,third
règlement,tagung,35,,regulation,meeting
intérieur,folgt,36,,interior,follows
conséquence,entsprechend,37,,result,corresponding
effet,ändern,38,* 38|32,effect,change
troisième,regel,39, 39|34,third,rule
session,wahl,40,,session,choice
lire,ende,41,############## 41|171,read,end
comme,tagung,42,,like,meeting
suit,präsident,43,* 43|36,follows,president
article,acht,44,####### 44|117,item,eight
élection,stellvertretende,45,,election,deputy
fin,-präsidenten,46, 46|41,end,-presidents
chaque,berichterstatter,47,,each,rapporteur
session,vertretern,48,,session,represent
président,vertragsstaaten,49,# 49|46,President,contracting states
huit,gewählt,50, 50|44,eight,chosen
vice,präsident,51,# 51|52,vice,president
-,vizepräsidenten,52,,,vice president
-les,gewählte,53,,-the,elected
présidents,berichterstatter,54,# 54|51,presidents,rapporteur
rapporteur,fungieren,55,# 55|55,protractor,act
élus,amtsträger,56, 56|53,elected,official
parmi,nachfolgenden,57,,among,subsequent
représentants,tagung,58,# 58|48,representatives,meeting
états,leiten,59,# 59|49,states,conduct
parties,sekretariat,60,,parts,office
président,vorbereitungen,61,* 61|43,President,preparations
vice-présidents,tagung,62,,vice-presidents,meeting
rapporteur,zwischensitzungen,63,,protractor,between sessions
ainsi,abgehalten,64,,Thus,held
élus,wahl,65,,elected,choice
font,sitzungsleiter,66,,make,chairperson
fonction,fünf,67,,function,five
bureau,regionalgruppen,68,* 68|60,office,regional groups
session,zwei,69,# 69|63,session,two
suivante,amtsträger,70,,next,official
guident,vertreten,71,,guide,represent
secrétariat,gehört,72,,secretariat,heard
préparation,vertretern,73,### 73|92,preperation,represent
cette,staaten,74,,this,states
session,vertragsparteien,75,,session,contracting parties
réunions,übereinkommens,76,## 76|82,meetings,convention
intersessions,sind,77,,intersessional,are
peuvent,mehrerer,78,,can,several
avoir,möglichst,79,,to have,if possible
lieu,protokolle,80,,place,protocols
lors,eröffnung,81,,during,opening
élection,tagung,82,,election,meeting
bureau,kraft,83,,office,force
session,getreten,84,,session,kicked
chacun,sind,85,,each,are
cinq,präsidium,86,** 86|106,five,presidium
groupes,gehören,87,### 87|68,groups,belong
régionaux,mindestens,88,### 88|107,regional,at least
représenté,zwei,89,### 89|71,represented,two
deux,vertreter,90,,of them,representative
membres,staaten,91,** 91|112,members,states
