english,french,index,alignment,english_eng,french_eng
respect,respect,0,0|0,respect,respect
purposes,buts,1,1|1,purposes,goals
principles,principes,2, 2|2,principles,principles
contained,énoncés,3,,contained,statements
charter,charte,4, 4|4,charter,charter
united,nations,5, 5|6,united,nations
nations,unies,6, 6|5,nations,united
achieve,réaliser,7,# 7|7,achieve,to achieve
international,coopération,8, 8|9,international,cooperation
cooperation,internationale,9, 9|8,cooperation,international
promoting,promouvant,10, 10|10,promoting,promoting
encouraging,encourageant,11, 11|11,encouraging,encouraging
respect,respect,12, 12|12,respect,respect
human,droits,13,# 13|14,human,rights
rights,homme,14, 14|13,rights,man
fundamental,libertés,15, 15|16,fundamental,freedoms
freedoms,fondamentales,16, 16|15,freedoms,fundamental
solving,résolvant,17, 17|17,solving,solving
international,problèmes,18, 18|19,international,problems
problems,internationaux,19, 19|18,problems,international
humanitarian,caractère,20, 20|21,humanitarian,character
character,humanitaire,21, 21|20,character,humanitarian
general,assemblée,22, 22|23,general,Assembly
assembly,générale,23, 23|22,assembly,general
recalling,rappelant,24,24|23,recalling,reminding
accordance,que,25,# 25|26,accordance,than
article,conformément,26,26|27,article,in accordance
charter,article,27, 27|28,charter,item
united,charte,28, 28|30,united,charter
nations,nations,29, 29|29,nations,nations
member,unies,30,# 30|33,member,united
states,tous,31, 31|32,states,all
pledged,états,32,32|34,pledged,states
take,membres,33,# 33|35,take,members
joint,engagés,34,,joint,engaged
separate,prendre,35,# 35|38,separate,to take
action,mesures,36,36|36,action,measures
cooperation,conjointes,37, 37|39,cooperation,spouses
organization,séparées,38, 38|40,organization,separated
achievement,coopération,39,,achievement,cooperation
purposes,organisation,40,,purposes,organization
set,réalisation,41,,set,production
forth,objectifs,42,40|42,forth,Goals
article,énoncés,43,43|44,article,statements
including,article,44,,including,item
universal,compris,45, 45|47,universal,understood
respect,respect,46, 46|46,respect,respect
observance,universel,47,,observance,universal
human,respect,48,# 48|50,human,respect
rights,droits,49, 49|49,rights,rights
fundamental,homme,50, 50|52,fundamental,man
freedoms,libertés,51, 51|51,freedoms,freedoms
without,fondamentales,52, 52|54,without,fundamental
distinction,tous,53, 53|55,distinction,all
race,sans,54, 54|56,race,without
sex,distinction,55, 55|57,sex,distinction
language,race,56,56|58,language,race
religion,sexe,57, 57|59,religion,sex
recalling,langue,58,60|62,recalling,tongue
also,religion,59, 59|61,also,religion
preamble,rappelant,60, 60|62,preamble,reminding
charter,également,61, 61|63,charter,also
particular,préambule,62, 62|64,particular,preamble
