english,russian,index,alignment,english_eng,russian_eng
respect,уважение,0,0|0,respect,respect
purposes,целей,1,1|1,purposes,goals
principles,принципов,2, 2|2,principles,principles
contained,содержащихся,3, 3|3,contained,contained
charter,уставе,4,4|4,charter,bylaws
united,организации,5, 5|6,united,organization
nations,объединенных,6, 6|7,nations,united
achieve,наций,7,# 7|8,achieve,nations
international,достижения,8, 8|9,international,achievements
cooperation,международного,9, 9|10,cooperation,international
promoting,сотрудничества,10,10|11,promoting,cooperation
encouraging,поощрении,11,11|12,encouraging,encouragement
respect,поощрении,12, 12|13,respect,encouragement
human,уважения,13, 13|15,human,respect
rights,прав,14,# 14|14,rights,right
fundamental,человека,15,15|16,fundamental,human
freedoms,основных,16, 16|17,freedoms,major
solving,свобод,17,,solving,freedoms
international,решении,18, 18|19,international,the decision
problems,международных,19, 19|20,problems,international
humanitarian,проблем,20, 20|21,humanitarian,problems
character,гуманитарного,21, 21|22,character,humanitarian
general,характера,22, 22|23,general,character
assembly,генеральная,23, 23|24,assembly,general
recalling,ассамблея,24, 24|25,recalling,Assembly
accordance,напоминая,25,,accordance,recalling
article,соответствии,26, 26|27,article,conformity
charter,статьей,27, 27|28,charter,article
united,устава,28, 28|30,united,charter
nations,организации,29, 29|31,nations,organization
member,объединенных,30,"30,31|32",member,united
states,наций,31,,states,nations
pledged,государства-члены,32, 32|33,pledged,member states
take,обязались,33,# 33|34,take,pledged
joint,предпринимать,34, 34|35,joint,to undertake
separate,совместные,35, 35|36,separate,joint
action,отдельные,36,# 36|37,action,separate
cooperation,действия,37, 37|38,cooperation,actions
organization,сотрудничестве,38, 38|29,organization,cooperation
achievement,организацией,39,# 39|40,achievement,organization
purposes,достижения,40,40|41,purposes,achievements
set,целей,41,41|42,set,goals
forth,изложенных,42,,forth,outlined
article,статье,43, 43|43,article,article
including,включая,44, 44|44,including,including
universal,всеобщее,45,,universal,general
respect,уважение,46, 46|46,respect,respect
observance,соблюдение,47, 47|47,observance,observance
human,прав,48, 48|49,human,right
rights,человека,49,# 49|48,rights,human
fundamental,основных,50,50|50,fundamental,major
freedoms,свобод,51, 51|51,freedoms,freedoms
without,всех,52,,without,of all
distinction,различия,53,53|53,distinction,differences
race,расы,54, 54|54,race,race
sex,пола,55, 55|55,sex,sex
language,языка,56, 56|56,language,language
religion,религии,57,# 57|57,religion,religions
recalling,напоминая,58, 58|58,recalling,recalling
also,также,59, 59|59,also,also
preamble,преамбуле,60, 60|60,preamble,preamble
charter,уставу,61, 61|61,charter,charter
particular,частности,62, 62|62,particular,particular
determination,решимости,63, 63|63,determination,determination
reaffirm,подтвердить,64,,reaffirm,confirm
faith,веру,65, 65|65,faith,faith
fundamental,основные,66,66|66,fundamental,the main
human,права,67, 67|68,human,rights
rights,человека,68, 68|67,rights,human
dignity,достоинство,69, 69|69,dignity,dignity
worth,ценность,70,70|70,worth,value
human,человеческой,71, 71|71,human,human
person,личности,72,# 72|72,person,personality
equal,равные,73, 73|73,equal,equal
rights,права,74, 74|74,rights,rights
men,мужчин,75,75|75,men,men
women,женщин,76,76|76,women,women
nations,больших,77, 77|79,nations,large
large,малых,78, 78|77,large,small
small,наций,79, 79|78,small,nations
reaffirming,вновь,80,80|81,reaffirming,again
promotion,подтверждая,81,81|82,promotion,reaffirming
protection,поощрение,82, 82|83,protection,encouragement
human,защита,83, 83|85,human,protection
rights,прав,84,# 84|84,rights,right
fundamental,человека,85,85|86,fundamental,human
freedoms,основных,86, 86|87,freedoms,major
must,свобод,87, 87|88,must,freedoms
considered,должны,88,# 88|89,considered,must
priority,рассматриваться,89, 89|90,priority,be considered
objective,приоритетная,90,90|91,objective,priority
united,цель,91, 91|93,united,goal
nations,организации,92, 92|94,nations,organization
accordance,объединенных,93,,accordance,united
purposes,наций,94,94|91,purposes,nations
principles,соответствии,95, 95|97,principles,conformity
particular,целями,96, 96|98,particular,goals
purpose,принципами,97,97|96,purpose,principles
international,частности,98, 98|100,international,particular
cooperation,целью,99, 99|101,cooperation,aim
within,международного,100,,within,international
framework,сотрудничества,101,# 101|102,framework,cooperation
purposes,рамках,102,102|104,purposes,the framework
principles,этих,103, 103|105,principles,of these
promotion,целей,104,104|106,promotion,goals
protection,принципов,105, 105|107,protection,principles
human,поощрение,106, 106|109,human,encouragement
rights,защита,107,# 107|108,rights,protection
legitimate,прав,108,,legitimate,right
concern,человека,109, 109|112,concern,human
international,являются,110, 110|113,international,are
community,законной,111, 111|114,community,legal
considering,заботой,112,,considering,concern
major,международного,113,* 113|86,major,international
changes,сообщества,114, 114|118,changes,community
taking,принимая,115, 115|115,taking,taking
place,внимание,116,,place,Attention
international,основные,117, 117|120,international,the main
scene,изменения,118,118|114,scene,changes
aspirations,происходящие,119, 119|122,aspirations,occurring
peoples,международной,120, 120|123,peoples,international
international,арене,121, 121|124,international,arena
order,стремления,122, 122|125,order,aspirations
based,народов,123,123|126,based,peoples
principles,международному,124, 124|127,principles,international
enshrined,порядку,125,,enshrined,order
charter,основанному,126,,charter,founded
including,принципах,127, 127|130,including,principles
promoting,закрепленных,128,128|131,promoting,fixed
encouraging,уставе,129,129|132,encouraging,bylaws
respect,включая,130, 130|133,respect,including
human,поощрение,131, 131|135,human,encouragement
rights,поощрение,132,# 132|134,rights,encouragement
fundamental,уважения,133,133|136,fundamental,respect
freedoms,прав,134, 134|137,freedoms,right
respect,человека,135, 135|138,respect,human
principle,основных,136, 136|139,principle,major
equal,свобод,137,# 137|140,equal,freedoms
rights,уважения,138,,rights,respect
self-determination,принципа,139, 139|141,self-determination,principle
peoples,равноправия,140, 140|142,peoples,equal rights
peace,самоопределение,141, 141|143,peace,self-determination
democracy,народов,142, 142|144,democracy,peoples
justice,мир,143, 143|145,justice,peace
equality,демократия,144, 144|146,equality,democracy
rule,справедливость,145,,rule,Justice
law,равенство,146,# 146|129,law,equality
pluralism,верховенство,147, 147|149,pluralism,supremacy
development,закона,148, 148|150,development,the law
better,плюрализм,149,,better,pluralism
standards,развитие,150,,standards,development
living,повышение,151,,living,the rise
solidarity,уровня,152, 152|154,solidarity,level
recognizing,жизни,153, 153|155,recognizing,life
international,солидарность,154, 154|156,international,solidarity
community,признавая,155, 155|157,community,recognizing
devise,международное,156,,devise,international
ways,сообщество,157,,ways,community
means,должно,158,,means,must
remove,разработать,159,,remove,to develop
current,пути,160, 160|163,current,the way
obstacles,средства,161,,obstacles,funds
meet,устранения,162,,meet,eliminating
challenges,текущих,163,,challenges,current
full,заболеваний,164,,full,diseases
realization,решения,165,,realization,solutions
human,проблем,166, 166|171,human,problems
rights,пути,167,# 167|170,rights,the way
prevent,полной,168,# 168|172,prevent,complete
continuation,реализации,169, 169|173,continuation,implementation
human,прав,170, 170|176,human,right
rights,человека,171,# 171|175,rights,human
violations,предотвращения,172, 172|174,violations,preventing
resulting,продолжения,173,,resulting,continuation
therefrom,нарушений,174,,therefrom,violations
throughout,прав,175,,throughout,right
world,человека,176,# 176|180,world,human
well,связанных,177,,well,related
continue,этим,178, 178|182,continue,by this
pay,всем,179,,pay,to all
attention,мире,180, 180|184,attention,the world
importance,также,181, 181|185,importance,also
mutual,продолжать,182, 182|186,mutual,continue
cooperation,обращать,183, 183|187,cooperation,to convert
understanding,внимание,184, 184|188,understanding,Attention
dialogue,важность,185, 185|189,dialogue,importance
ensuring,взаимного,186,,ensuring,mutual
promotion,сотрудничества,187,,promotion,cooperation
protection,понимания,188, 188|192,protection,understanding
human,диалога,189, 189|194,human,dialogue
rights,обеспечении,190,# 190|193,rights,securing
reaffirming,поощрения,191,* 191|196,reaffirming,encouragement
enhancement,защиты,192,,enhancement,protection
international,прав,193,* 193|198,international,right
cooperation,человека,194,* 194|199,cooperation,human
field,вновь,195,,field,again
human,подтверждая,196,,human,reaffirming
rights,укрепление,197,# 197|201,rights,strengthening
essential,международного,198,,essential,international
full,сотрудничества,199,,full,cooperation
achievement,области,200,## 200|207,achievement,areas
purposes,прав,201,,purposes,right
united,человека,202,* 202|210,united,human
nations,имеет,203,* 203|211,nations,It has
human,важное,204, 204|202,human,important
rights,значение,205,,rights,meaning
fundamental,полного,206,,fundamental,complete
freedoms,достижения,207,** 207|224,freedoms,achievements
birthright,целей,208,,birthright,goals
human,организации,209, 209|213,human,organization
beings,объединенных,210,,beings,united
protection,наций,211,* 211|220,protection,nations
promotion,права,212,,promotion,rights
rights,человека,213, 213|212,rights,human
freedoms,основные,214,# 214|215,freedoms,the main
first,свободы,215,,first,freedom
responsibility,являются,216,,responsibility,are
governments,неотъемлемым,217,** 217|228,governments,integral
reaffirming,правом,218,,reaffirming,right
also,людей,219,** 219|181,also,of people
human,защита,220,** 220|243,human,protection
rights,поощрение,221,# 221|218,rights,encouragement
universal,таких,222,* 222|234,universal,such
indivisible,прав,223,* 223|235,indivisible,right
interdependent,свобод,224,* 224|236,interdependent,freedoms
interrelated,будучи,225,,interrelated,being
international,первоочередной,226,* 226|238,international,priority
community,обязанностью,227,* 227|239,community,duty
must,правительств,228,* 228|240,must,governments
treat,вновь,229,,treat,again
human,подтверждая,230, 230|233,human,reaffirming
rights,также,231, 231|232,rights,also
globally,права,232,,globally,rights
fair,человека,233,** 233|246,fair,human
equal,универсальны,234,** 234|247,equal,universal
manner,неделимы,235,,manner,indivisible
footing,взаимозависимы,236,,footing,interdependent
emphasis,взаимосвязаны,237,,emphasis,interconnected
reaffirming,международное,238,* 238|230,reaffirming,international
various,сообщество,239,,various,community
articles,должно,240,,articles,must
charter,относиться,241,,charter,relate
setting,правам,242,,setting,rights
respective,человека,243,,respective,human
powers,глобальном,244,,powers,global
functions,масштабе,245,,functions,scale
general,справедливым,246,,general,fair
assembly,равным,247,,assembly,equal
security,образом,248,,security,way
council,одинаковой,249,,council,the same
economic,основе,250,,economic,basis
social,одинаковым,251,,social,the same
council,вниманием,252,,council,attention
paramount,вновь,253,,paramount,again
framework,подтверждая,254,,framework,reaffirming
achievement,далее,255,,achievement,Further
purposes,различные,256,,purposes,various
united,статьи,257,,united,articles
nations,устава,258,,nations,charter
