english,french,index,alignment,english_eng,french_eng
conference,conférence,0,0|0,conference,conference
parties,parties,1,1|1,parties,parts
united,convention,2, 2|4,united,convention
nations,nations,3, 3|3,nations,nations
convention,unies,4, 4|2,convention,united
transnational,contre,5, 5|7,transnational,versus
organized,criminalité,6, 6|8,organized,criminality
crime,transnationale,7,7|6,crime,transnational
decides,organisée,8,8|9,decides,organized
effect,décide,9,,effect,decided
third,compter,10, 10|11,third,to count
session,troisième,11, 11|12,session,third
elect,session,12, 12|13,elect,session
end,élire,13, 13|14,end,elect
session,fin,14, 14|15,session,end
bureau,session,15,15|16,bureau,session
subsequent,bureau,16,16|18,subsequent,office
session,session,17, 17|17,session,session
encourage,suivante,18,# 18|19,encourage,next
play,encourager,19,# 19|20,play,to encourage
active,jouer,20, 20|22,active,to play
role,rôle,21, 21|21,role,role
preparation,actif,22,22|23,preparation,active
regular,préparation,23,23|24,regular,preperation
session,session,24, 24|24,session,session
well,ordinaire,25,,well,ordinary
possible,ainsi,26, 26|28,possible,Thus
intersessional,lors,27, 27|30,intersessional,during
meetings,éventuelles,28, 28|29,meetings,possible
also,réunions,29, 29|32,also,meetings
decides,intersessions,30,30|31,decides,intersessional
amend,décide,31,31|33,amend,decided
rule,également,32,,rule,also
rules,modifier,33,,rules,to modify
procedure,article,34,,procedure,item
accordingly,règlement,35,,accordingly,regulation
effect,intérieur,36, 36|38,effect,interior
third,conséquence,37, 37|39,third,result
session,effet,38, 38|40,session,effect
read,troisième,39, 39|41,read,third
follows,session,40, 40|43,follows,session
rule,lire,41,,rule,read
election,comme,42, 42|45,election,like
end,suit,43, 43|46,end,follows
session,article,44, 44|48,session,item
president,élection,45, 45|49,president,election
eight,fin,46, 46|50,eight,end
vice-presidents,chaque,47,# 47|51,vice-presidents,each
rapporteur,session,48,48|55,rapporteur,session
shall,président,49,,shall,President
elected,huit,50, 50|56,elected,eight
among,vice,51, 51|57,among,vice
representatives,-,52, 52|58,representatives,
states,les,53, 53|59,states,the
parties,présidents,54,54|60,parties,presidents
