french,russian,index,alignment,french_eng,russian_eng
respect,уважение,0,0|0,respect,respect
buts,целей,1, 1|1,goals,goals
principes,принципов,2, 2|2,principles,principles
énoncés,содержащихся,3,,statements,contained
charte,уставе,4,4|4,charter,bylaws
nations,организации,5, 5|7,nations,organization
unies,объединенных,6, 6|6,united,united
réaliser,наций,7,7|8,to achieve,nations
coopération,достижения,8, 8|10,cooperation,achievements
internationale,международного,9, 9|9,international,international
promouvant,сотрудничества,10,10|11,promoting,cooperation
encourageant,поощрении,11,11|12,encouraging,encouragement
respect,поощрении,12, 12|13,respect,encouragement
droits,уважения,13,# 13|14,rights,respect
homme,прав,14,# 14|15,man,right
libertés,человека,15, 15|17,freedoms,human
fondamentales,основных,16,16|16,fundamental,major
résolvant,свобод,17,,solving,freedoms
problèmes,решении,18, 18|20,problems,the decision
internationaux,международных,19, 19|19,international,international
caractère,проблем,20, 20|22,character,problems
humanitaire,гуманитарного,21, 21|21,humanitarian,humanitarian
assemblée,характера,22, 22|24,Assembly,character
générale,генеральная,23, 23|23,general,general
rappelant,ассамблея,24,24|25,reminding,Assembly
que,напоминая,25,,than,recalling
conformément,соответствии,26,26|26,in accordance,conformity
article,статьей,27,27|27,item,article
charte,устава,28, 28|28,charter,charter
nations,организации,29, 29|31,nations,organization
unies,объединенных,30, 30|30,united,united
tous,наций,31,,all,nations
états,государства-члены,32,"32,33|32",states,member states
membres,обязались,33,,members,pledged
engagés,предпринимать,34,34|33,engaged,to undertake
prendre,совместные,35,35|34,to take,joint
mesures,отдельные,36,36|37,measures,separate
conjointes,действия,37,37|35,spouses,actions
séparées,сотрудничестве,38,# 38|36,separated,cooperation
coopération,организацией,39, 39|38,cooperation,organization
organisation,достижения,40, 40|39,organization,achievements
réalisation,целей,41,,production,goals
objectifs,изложенных,42, 42|41,Goals,outlined
énoncés,статье,43,,statements,article
article,включая,44,44|43,item,including
compris,всеобщее,45,45|44,understood,general
respect,уважение,46, 46|46,respect,respect
universel,соблюдение,47,47|45,universal,observance
respect,прав,48,,respect,right
droits,человека,49,# 49|48,rights,human
homme,основных,50,# 50|49,man,major
libertés,свобод,51, 51|51,freedoms,freedoms
fondamentales,всех,52,52|50,fundamental,of all
tous,различия,53,,all,differences
sans,расы,54,,without,race
distinction,пола,55,55|53,distinction,sex
race,языка,56, 56|54,race,language
sexe,религии,57, 57|55,sex,religions
langue,напоминая,58,58|56,tongue,recalling
religion,также,59,# 59|57,religion,also
rappelant,преамбуле,60,60|58,reminding,preamble
également,уставу,61, 61|59,also,charter
préambule,частности,62, 62|60,preamble,particular
