,german,french,Distances
0,ja,oui,0.0
1,nein,non,1.0
2,hast,ont,0.3333333333333333
3,schon,magnifique,0.0
4,gut,bon,0.0
5,mal,fois,0.0
6,weiß,blanc,0.0
7,s,s,1.0
8,geht,se rend,0.0
9,oh,oh,1.0
10,mehr,suite,0.0
11,immer,toujours,0.25
12,bitte,de rien,0.0
13,warum,pourquoi,0.3333333333333333
14,los,allez,0.3333333333333333
15,sagen,dire,0.0
16,mann,mari,0.3333333333333333
17,okay,d'accord,0.0
18,gehen,marcher,0.2
19,tun,faire,0.0
20,danke,merci,0.0
21,sehen,voir,0.0
22,wer,qui,0.0
23,komm,venir,0.0
24,vielleicht,peut-être,0.0
25,gibt,donne,0.0
26,wissen,à savoir,0.2
27,müssen,devoir,0.0
28,wirklich,vraiment,0.16666666666666666
29,nie,jamais,0.0
30,hey,hey,1.0
31,einfach,facile,0.5
32,leben,la vie,0.3333333333333333
33,tut,est-ce que,0.16666666666666666
34,willst,vouloir,0.2
35,kommen,viens,0.0
36,zeit,temps,0.0
37,kommt,vient,0.25
38,heute,aujourd'hui,0.0
39,weißt,connaître,0.16666666666666666
40,frau,mme,0.0
41,gesagt,mentionné,0.0
42,wäre,aurait,0.0
43,ganz,assez,0.3333333333333333
44,wurde,devenu,0.0
45,sicher,sécurise,0.4
46,kannst,pouvez,0.0
47,zurück,revenir,0.2
48,leid,souffrance,0.0
49,lassen,laisser,0.75
50,macht,pourrait,0.25
51,na,n / a,0.25
52,gott,dieu,0.0
53,hallo,bonjour,0.0
54,zwei,deux,0.0
55,lass,laisser,0.75
56,hätte,eu,0.0
57,genau,je suis d'accord,0.0
58,vater,père,0.3333333333333333
59,morgen,demain,0.25
60,leute,personnes,0.0
61,klar,dégager,0.2
62,ok,d'accord,0.0
63,ab,une façon,0.0
64,tag,jour,0.0
65,gerade,seulement,0.0
66,gesehen,vu,0.0
67,schön,joli,0.0
68,glaube,croyez,0.0
69,liebe,amour,0.0
70,geld,de l'argent,0.125
71,reden,parler,0.25
72,jemand,quelqu'un,0.0
73,mach,faire,0.0
74,raus,dehors,0.5
75,sagte,a dit,0.3333333333333333
76,gemacht,fabriqué,0.0
77,mutter,mère,0.5
78,paar,paire,1.0
79,sir,monsieur,0.5
80,passiert,arrive,0.2
81,musst,doit,0.25
82,wohl,bien,0.0
83,möchte,aimerais,0.2
84,besser,mieux,0.0
85,dachte,pensée,0.0
86,her,ici,0.0
87,hör,ecoutez,0.0
88,gehört,entendu,0.0
89,sag,dire,0.0
90,nacht,nuit,0.5
91,wieso,comment venir,0.0
92,finden,trouver,0.0
93,helfen,aider,0.0
94,lange,longue,1.0
95,gute,qualité,0.25
96,ordnung,commande,0.2
97,geben,donner,0.25
98,natürlich,naturellement,0.375
99,sei,être,0.0
100,gar,du tout,0.0
101,geh,aller,0.0
102,richtig,corriger,0.2
103,sagt,dit,0.3333333333333333
104,denke,pense,0.3333333333333333
105,seit,puisque,0.3333333333333333
106,gleich,même,0.0
107,hören,ecoutez,0.0
108,ach,oh,0.5
109,mädchen,fille,0.0
110,davon,à partir de ce,0.1
111,sieht,voit,0.3333333333333333
112,recht,droit,0.25
113,dafür,donc,0.25
114,wegen,car,0.0
115,hause,domicile,0.0
116,warte,attendez,0.0
117,drei,trois,0.3333333333333333
118,abend,soirée,0.0
119,freund,ami,0.0
120,guten,bon,0.3333333333333333
121,sollen,doit,0.0
122,sollten,devrait,0.2
123,haus,une maison,0.2
124,menschen,personnes,0.16666666666666666
125,viele,beaucoup,0.0
126,bleiben,rester,0.0
127,machst,faire,0.0
128,musik,musique,0.6666666666666666
129,angst,craindre,0.0
130,schnell,vite,0.0
131,tot,morte,0.3333333333333333
132,welt,monde,0.0
133,zusammen,ensemble,0.4
134,habt,avoir,0.0
135,scheiße,et mince,0.0
136,nehmen,prendre,0.0
137,herr,m,0.0
138,getan,a fait,0.0
139,rein,pur,0.0
140,bringen,apporter,0.0
141,ganze,ensemble,0.0
142,essen,repas,0.0
143,kinder,enfants,0.2
144,glauben,croire,0.0
145,genug,suffisant,0.16666666666666666
146,darf,mai,0.0
147,junge,garçon,0.0
148,stimmt,à droite,0.2
149,brauchen,avoir besoin,0.3333333333333333
150,moment,moment,1.0
151,erst,première,0.2
152,seid,sont,0.3333333333333333
153,niemand,personne,0.2
154,arbeit,travail,0.25
155,steht,des stands,0.25
156,warten,attendre,0.2
157,dabei,inclus,0.0
158,fragen,demandez,0.0
159,sofort,tout de suite,0.14285714285714285
160,jahre,années,0.0
161,halt,seulement,0.4
162,verdammt,bon sang,0.0
163,bevor,avant que,0.0
164,sohn,fils,0.0
165,familie,famille,0.75
166,heißt,appelé,0.0
167,sprechen,parler,0.3333333333333333
168,gefunden,trouvé,0.0
169,sache,chose,0.3333333333333333
170,problem,problème,0.8333333333333334
171,fertig,prêt,0.25
172,allein,seul,0.3333333333333333
173,wann,lorsque,0.0
174,brauche,avoir besoin,0.16666666666666666
