english,german,index,alignment,english_eng,german_eng
respect,achtung,0,0|0,respect,Attention
purposes,charta,1,,purposes,charter
principles,vereinten,2, 2|6,principles,united
contained,nationen,3, 3|4,contained,nations
charter,enthaltenen,4,4|1,charter,contained
united,ziele,5,,united,goals
nations,grundsätze,6,,nations,principles
achieve,erzielung,7,# 7|7,achieve,achievement
international,internationalen,8, 8|8,international,international
cooperation,zusammenarbeit,9, 9|9,cooperation,cooperation
promoting,förderung,10,10|10,promoting,advancement
encouraging,förderung,11,11|11,encouraging,advancement
respect,achtung,12,12|12,respect,Attention
human,menschenrechte,13,"13,14|13",human,human rights
rights,grundfreiheiten,14,,rights,fundamental freedoms
fundamental,sowie,15,"15,16|14",fundamental,as
freedoms,lösung,16,,freedoms,solution
solving,internationaler,17,17|16,solving,international
international,probleme,18, 18|17,international,problems
problems,humanitären,19, 19|18,problems,humanitarian
humanitarian,charakters,20, 20|19,humanitarian,character
character,generalversammlung,21, 21|20,character,general assembly
general,daran,22,"22,23|20",general,to it
assembly,erinnernd,23,,assembly,reminiscent
recalling,gemäß,24,24|23,recalling,according to
accordance,artikel,25,25|24,accordance,items
article,charta,26,26|25,article,charter
charter,vereinten,27, 27|26,charter,united
united,nationen,28, 28|27,united,nations
nations,mitgliedstaaten,29, 29|28,nations,member states
member,verpflichtet,30,"30,31|29",member,Committed
states,haben,31,,states,to have
pledged,zusammenarbeit,32,32|30,pledged,cooperation
take,organisation,33,,take,organization
joint,gemeinsame,34,34|34,joint,common
separate,getrennte,35, 35|35,separate,separate
action,maßnahmen,36,36|36,action,measures
cooperation,verwirklichung,37, 37|32,cooperation,realization
organization,artikel,38, 38|33,organization,items
achievement,genannten,39,,achievement,mentioned
purposes,ziele,40,40|40,purposes,goals
set,ergreifen,41,,set,seize
forth,einschließlich,42,,forth,including
article,universellen,43,43|38,article,universal
including,achtung,44, 44|42,including,Attention
universal,einhaltung,45, 45|43,universal,observance
respect,menschenrechte,46,46|44,respect,human rights
observance,grundfreiheiten,47, 47|45,observance,fundamental freedoms
human,unterschied,48,"48,49|46",human,difference
rights,rasse,49,,rights,race
fundamental,geschlechts,50,"50,51|47",fundamental,gender
freedoms,sprache,51,,freedoms,language
without,religion,52,,without,religion
distinction,ferner,53,55|50,distinction,further
race,hinweis,54, 54|49,race,Note
sex,präambel,55,55|50,sex,preamble
language,charta,56, 56|51,language,charter
religion,insbesondere,57, 57|52,religion,in particular
recalling,entschlossenheit,58,,recalling,determination
also,glauben,59,,also,believe
preamble,grundlegenden,60, 60|55,preamble,basic
charter,menschenrechte,61, 61|56,charter,human rights
particular,wert,62,# 62|57,particular,value
determination,menschlichen,63, 63|58,determination,human
reaffirm,person,64,,reaffirm,person
faith,gleichberechtigung,65,65|59,faith,equal rights
fundamental,männern,66,# 66|66,fundamental,men
human,frauen,67,"67,68|61",human,women
rights,sowie,68,,rights,as
dignity,großen,69,,dignity,huge
worth,kleinen,70,70|62,worth,small
human,nationen,71,,human,nations
person,bekräftigen,72, 72|64,person,affirm
equal,bekräftigend,73,"73,74|65",equal,affirming
rights,förderung,74,,rights,advancement
men,schutz,75,75|66,men,protection
women,menschenrechte,76,76|67,women,human rights
nations,grundfreiheiten,77, 77|71,nations,fundamental freedoms
large,einklang,78,,large,unison
small,zielen,79, 79|70,small,aim
reaffirming,grundsätzen,80,# 80|73,reaffirming,principles
promotion,insbesondere,81,81|74,promotion,in particular
protection,zweck,82,* 82|75,protection,purpose
human,internationalen,83,"83,84|76",human,international
rights,zusammenarbeit,84,,rights,cooperation
fundamental,vorrangiges,85,"86,86|77",fundamental,priority
freedoms,ziel,86,,freedoms,target
must,vereinten,87,,must,united
considered,nationen,88,,considered,nations
priority,anzusehen,89, 89|85,priority,to watch
objective,sind,90,90|82,objective,are
united,rahmen,91, 91|87,united,frame
nations,ziele,92, 92|88,nations,goals
accordance,grundsätze,93,,accordance,principles
purposes,förderung,94,## 94|82,purposes,advancement
principles,schutz,95, 95|93,principles,protection
particular,menschenrechte,96,## 96|81,particular,human rights
purpose,legitimes,97,97|92,purpose,legitimate
international,anliegen,98, 98|99,international,issue
cooperation,internationalen,99,* 99|84,cooperation,international
within,gemeinschaft,100,,within,community
framework,anbetracht,101,## 101|91,framework,considering
purposes,großen,102,,purposes,huge
principles,veränderungen,103,* 103|113,principles,changes
promotion,internationalen,104,104|94,promotion,international
protection,bühne,105,* 105|95,protection,stage
human,bestrebungen,106,"106,107|96",human,aspirations
rights,völker,107,,rights,people
legitimate,internationalen,108,* 108|97,legitimate,international
concern,ordnung,109,109|98,concern,order
international,grundlage,110, 110|108,international,basis
community,charta,111,* 111|100,community,charter
considering,verankerten,112,* 112|101,considering,anchored
major,grundsätze,113,113|102,major,principles
changes,einschließlich,114,* 114|103,changes,including
taking,förderung,115,,taking,advancement
place,ermutigung,116,,place,encouragement
international,achtung,117,* 117|104,international,Attention
scene,menschenrechte,118,,scene,human rights
aspirations,grundfreiheiten,119,* 119|106,aspirations,fundamental freedoms
peoples,achtung,120,# 120|124,peoples,Attention
international,grundsatzes,121,** 121|136,international,principle
order,gleichberechtigung,122,* 122|109,order,equal rights
based,selbstbestimmung,123,,based,self-determination
principles,völker,124,# 124|121,principles,people
enshrined,frieden,125,,enshrined,peace
charter,demokratie,126,** 126|111,charter,democracy
including,gerechtigkeit,127,* 127|114,including,Justice
promoting,gleichheit,128,128|115,promoting,equality
encouraging,rechtsstaatlichkeit,129,129|116,encouraging,rule of law
respect,pluralismus,130,,respect,pluralism
human,entwicklung,131,"131,132|118",human,development
rights,besserer,132,,rights,better
fundamental,lebensstandard,133,,fundamental,standard of living
freedoms,solidarität,134,,freedoms,solidarity
respect,erkenntnis,135,135|120,respect,Understanding
principle,internationale,136,136|121,principle,international
equal,gemeinschaft,137,"137,138|122",equal,community
