spanish,russian,index,alignment,spanish_eng,russian_eng
respeto,уважение,0,0|0,I respect,respect
propósitos,целей,1,1|1,purposes,goals
principios,принципов,2,,beginning,principles
contenidos,содержащихся,3,3|3,contents,contained
carta,уставе,4,4|4,letter,bylaws
naciones,организации,5, 5|7,nations,organization
unidas,объединенных,6, 6|6,united,united
lograr,наций,7,# 7|8,achieve,nations
cooperación,достижения,8, 8|10,cooperation,achievements
internacional,международного,9, 9|9,international,international
promoción,сотрудничества,10,10|11,promotion,cooperation
fomento,поощрении,11,11|12,promotion,encouragement
respeto,поощрении,12,# 12|13,I respect,encouragement
derechos,уважения,13,# 13|14,Rights,respect
humanos,прав,14,# 14|15,humans,right
libertades,человека,15, 15|17,freedoms,human
fundamentales,основных,16,16|16,fundamental,major
solución,свобод,17,,solution,freedoms
problemas,решении,18, 18|20,problems,the decision
internacionales,международных,19, 19|19,international,international
carácter,проблем,20, 20|22,character,problems
humanitario,гуманитарного,21, 21|21,humanitarian,humanitarian
asamblea,характера,22, 22|24,Assembly,character
general,генеральная,23, 23|23,general,general
recordando,ассамблея,24,24|25,remembering,Assembly
que,напоминая,25,,that,recalling
conformidad,соответствии,26,26|26,accordance,conformity
artículo,статьей,27, 27|27,Article,article
carta,устава,28,28|28,letter,charter
naciones,организации,29, 29|31,nations,organization
unidas,объединенных,30, 30|30,united,united
miembros,наций,31,,members,nations
comprometido,государства-члены,32,32|33,committed,member states
tomar,обязались,33,# 33|34,take,pledged
medidas,предпринимать,34,34|37,measures,to undertake
conjuntas,совместные,35, 35|35,joint,joint
separadas,отдельные,36,# 36|36,separated,separate
cooperación,действия,37, 37|38,cooperation,actions
organización,сотрудничестве,38, 38|29,organization,cooperation
logro,организацией,39,# 39|40,achievement,organization
propósitos,достижения,40,40|41,purposes,achievements
establecidos,целей,41,,established,goals
artículo,изложенных,42, 42|43,Article,outlined
incluido,статье,43,43|44,included,article
respeto,включая,44,# 44|46,I respect,including
universal,всеобщее,45,,universal,general
observancia,уважение,46, 46|47,observance,respect
derechos,соблюдение,47,# 47|48,Rights,observance
humanos,прав,48,# 48|49,humans,right
libertades,человека,49, 49|51,freedoms,human
fundamentales,основных,50,50|50,fundamental,major
distinción,свобод,51,51|53,distinction,freedoms
raza,всех,52, 52|54,race,of all
sexo,различия,53, 53|55,sex,differences
idioma,расы,54,54|56,idiom,race
religión,пола,55,# 55|57,religion,sex
recordando,языка,56,56|58,remembering,language
preámbulo,религии,57, 57|60,preamble,religions
carta,напоминая,58,58|61,letter,recalling
particular,также,59, 59|62,particular,also
determinación,преамбуле,60, 60|63,determination,preamble
reafirmar,уставу,61,61|64,reaffirm,charter
fe,частности,62, 62|65,faith,particular
derechos,решимости,63, 63|67,Rights,determination
humanos,подтвердить,64,# 64|68,humans,confirm
fundamentales,веру,65,# 65|75,fundamental,faith
dignidad,основные,66, 66|69,dignity,the main
valor,права,67, 67|70,value,rights
persona,человека,68,# 68|72,person,human
humana,достоинство,69, 69|71,human,dignity
igualdad,ценность,70,# 70|73,equality,value
derechos,человеческой,71, 71|74,Rights,human
hombres,личности,72,71|75,mens,personality
mujeres,равные,73, 73|76,women,equal
naciones,права,74,74|79,nations,rights
grandes,мужчин,75,75|77,big,men
pequeñas,женщин,76,76|78,little,women
reafirmando,больших,77, 77|81,reaffirming,large
promoción,малых,78,78|82,promotion,small
protección,наций,79, 79|83,protection,nations
derechos,вновь,80,# 80|84,Rights,again
humanos,подтверждая,81,# 81|85,humans,reaffirming
libertades,поощрение,82, 82|87,freedoms,encouragement
fundamentales,защита,83,83|86,fundamental,protection
debe,прав,84,84|88,has to,right
ser,человека,85,"85,86|89",be,human
considerada,основных,86,,considered,major
objetivo,свобод,87,87|91,objective,freedoms
prioritario,должны,88, 88|90,priority,must
naciones,рассматриваться,89, 89|79,nations,be considered
unidas,приоритетная,90, 90|93,united,priority
acuerdo,цель,91,,agreement,goal
propósitos,организации,92,,purposes,organization
principios,объединенных,93,93|97,beginning,united
particular,наций,94, 94|98,particular,nations
propósito,соответствии,95,95|99,purpose,conformity
cooperación,целями,96, 96|101,cooperation,goals
internacional,принципами,97, 97|100,international,principles
que,частности,98,,that,particular
marco,целью,99,# 99|102,frame,aim
propósitos,международного,100,100|104,purposes,international
principios,сотрудничества,101,101|105,beginning,cooperation
promoción,рамках,102,102|106,promotion,the framework
protección,этих,103, 103|107,protection,of these
derechos,целей,104,# 104|108,Rights,goals
humanos,принципов,105,# 105|109,humans,principles
preocupación,поощрение,106,106|112,worry,encouragement
legítima,защита,107,,legitimate,protection
comunidad,прав,108,* 108|114,community,right
internacional,человека,109, 109|113,international,human
considerando,являются,110,,considering,are
importantes,законной,111,,important,legal
cambios,заботой,112,* 112|118,changes,concern
produciendo,международного,113,,producing,international
escena,сообщества,114,,scene,community
internacional,принимая,115,* 115|124,international,taking
aspiraciones,внимание,116,* 116|122,aspirations,Attention
pueblos,основные,117,,towns,the main
orden,изменения,118,* 118|125,order,changes
internacional,происходящие,119, 119|120,international,occurring
basado,международной,120,,based,international
principios,арене,121,,beginning,arena
consagrados,стремления,122,,consecrated,aspirations
carta,народов,123,,letter,peoples
incluida,международному,124,,included,international
promoción,порядку,125,,promotion,order
fomento,основанному,126,,promotion,founded
respeto,принципах,127,127|133,I respect,principles
derechos,закрепленных,128,,Rights,fixed
humanos,уставе,129,# 129|135,humans,bylaws
libertades,включая,130,* 130|137,freedoms,including
fundamentales,поощрение,131,,fundamental,encouragement
respeto,поощрение,132,# 132|133,I respect,encouragement
principio,уважения,133,,beginning,respect
igualdad,прав,134,,equality,right
derechos,человека,135,# 135|134,Rights,human
autodeterminación,основных,136,,self determination,major
pueblos,свобод,137,,towns,freedoms
paz,уважения,138, 138|143,peace,respect
democracia,принципа,139, 139|144,democracy,principle
justicia,равноправия,140, 140|145,Justice,equal rights
igualdad,самоопределение,141, 141|146,equality,self-determination
derecho,народов,142,# 142|140,right,peoples
pluralismo,мир,143,* 143|149,pluralism,peace
desarrollo,демократия,144,,developing,democracy
mejores,справедливость,145,,top,Justice
niveles,равенство,146,## 146|152,levels,equality
vida,верховенство,147,* 147|153,life,supremacy
solidaridad,закона,148,* 148|154,solidarity,the law
reconociendo,плюрализм,149,,acknowledging,pluralism
comunidad,развитие,150,* 150|157,community,development
internacional,повышение,151,* 151|156,international,the rise
debe,уровня,152,,has to,level
idear,жизни,153,,devise,life
formas,солидарность,154,,shapes,solidarity
medios,признавая,155,,media,recognizing
eliminar,международное,156,,remove,international
corrientes,сообщество,157,,streams,community
hacer,должно,158,,do,must
frente,разработать,159,,front,to develop
desafíos,пути,160,,challenges,the way
plena,средства,161,,full,funds
realización,устранения,162,,realization,eliminating
derechos,текущих,163,## 163|175,Rights,current
humanos,заболеваний,164,## 164|176,humans,diseases
prevenir,решения,165,,to prevent,solutions
continuación,проблем,166, 166|173,continuation,problems
violaciones,пути,167, 167|174,violations,the way
derechos,полной,168,# 168|170,Rights,complete
humanos,реализации,169,# 169|171,humans,implementation
resultantes,прав,170,,resulting,right
mundo,человека,171,## 171|180,world,human
así,предотвращения,172,# 172|165,So,preventing
seguir,продолжения,173,* 173|182,continue,continuation
prestando,нарушений,174,,lending,violations
atención,прав,175,* 175|184,attention,right
importancia,человека,176,* 176|185,importance,human
cooperación,связанных,177,** 177|199,cooperation,related
entendimiento,этим,178,* 178|188,understanding,by this
diálogo,всем,179,* 179|189,dialogue,to all
mutuos,мире,180,* 180|186,mutual,the world
garantizar,также,181,,to guarantee,also
promoción,продолжать,182,,promotion,continue
protección,обращать,183,* 183|192,protection,to convert
derechos,внимание,184,***** 184|242,Rights,Attention
humanos,важность,185,,humans,importance
reafirmando,взаимного,186,* 186|196,reaffirming,mutual
fortalecimiento,сотрудничества,187,* 187|197,strengthening,cooperation
cooperación,понимания,188, 188|187,cooperation,understanding
internacional,диалога,189,* 189|198,international,dialogue
esfera,обеспечении,190,,sphere,securing
derechos,поощрения,191,# 191|193,Rights,encouragement
humanos,защиты,192,# 192|194,humans,protection
fundamental,прав,193,,fundamental,right
pleno,человека,194,,full,human
logro,вновь,195,### 195|207,achievement,again
propósitos,подтверждая,196,,purposes,reaffirming
naciones,укрепление,197,** 197|211,nations,strengthening
unidas,международного,198,** 198|210,united,international
derechos,сотрудничества,199,# 199|201,Rights,cooperation
humanos,области,200,# 200|202,humans,areas
libertades,прав,201,*** 201|224,freedoms,right
fundamentales,человека,202,,fundamental,human
derecho,имеет,203,#### 203|232,right,It has
innato,важное,204,,innate,important
seres,значение,205,### 205|225,beings,meaning
humanos,полного,206,##### 206|243,humans,complete
protección,достижения,207,* 207|220,protection,achievements
promoción,целей,208,,promotion,goals
derechos,организации,209, 209|212,Rights,organization
libertades,объединенных,210,# 210|215,freedoms,united
siendo,наций,211,,being,nations
primera,права,212,,first,rights
responsabilidad,человека,213,,responsibility,human
gobiernos,основные,214,** 214|228,governments,the main
reafirmando,свободы,215,**** 215|254,reaffirming,freedom
derechos,являются,216,# 216|218,Rights,are
humanos,неотъемлемым,217,# 217|213,humans,integral
universales,правом,218,** 218|234,universal,right
indivisibles,людей,219,** 219|235,indivisible,of people
interdependientes,защита,220,** 220|236,interdependent,protection
interrelacionados,поощрение,221,### 221|177,interrelated,encouragement
comunidad,таких,222,** 222|239,community,such
internacional,прав,223,** 223|238,international,right
debe,свобод,224,,has to,freedoms
tratar,будучи,225,,treat,being
derechos,первоочередной,226,# 226|223,Rights,priority
humanos,обязанностью,227,## 227|233,humans,duty
mundo,правительств,228,,world,governments
manera,вновь,229,#### 229|167,way,again
justa,подтверждая,230,*** 230|246,fair,reaffirming
equitativa,также,231,,equitable,also
pie,права,232,,foot,rights
igualdad,человека,233,### 233|247,equality,human
mismo,универсальны,234,### 234|249,same,universal
énfasis,неделимы,235,,emphasis,indivisible
reafirmando,взаимозависимы,236,* 236|230,reaffirming,interdependent
además,взаимосвязаны,237,,what's more,interconnected
diversos,международное,238,,various,international
artículos,сообщество,239,,articles,community
carta,должно,240,,letter,must
establecen,относиться,241,,establish,relate
poderes,правам,242,,powers,rights
funciones,человека,243,,functions,human
respectivos,глобальном,244,,respective,global
asamblea,масштабе,245,,Assembly,scale
general,справедливым,246,***************** 246|45,general,fair
consejo,равным,247,,tip,equal
seguridad,образом,248,,security,way
consejo,одинаковой,249,,tip,the same
económico,основе,250,,economic,basis
social,одинаковым,251,,Social,the same
marco,вниманием,252,,frame,attention
fundamental,вновь,253,,fundamental,again
logro,подтверждая,254,,achievement,reaffirming
propósitos,далее,255,,purposes,Further
naciones,различные,256,,nations,various
unidas,статьи,257,,united,articles
,устава,258,,,charter
,устанавливающие,259,,,establishing
,соответствующие,260,,,the corresponding
,полномочия,261,,,credentials
,функции,262,,,function
,генеральной,263,,,general
,ассамблеи,264,,,assemblies
,совета,265,,,advice
,безопасности,266,,,security
,экономического,267,,,economic
,социального,268,,,social
,совета,269,,,advice
,качестве,270,,,quality
,важнейших,271,,,the most important
,рамок,272,,,framework
,достижения,273,,,achievements
,целей,274,,,goals
,организации,275,,,organization
,объединенных,276,,,united
,наций,277,,,nations
