english,russian,index,alignment,english_eng,russian_eng
deeply,глубоко,0,0|0,deeply,deep
convinced,убежден,1,1|1,convinced,convinced
common,общей,2,2|2,common,general
interest,заинтересованности,3,3|3,interest,interest
mankind,человечества,4,4|4,mankind,humanity
promoting,поощрении,5,5|5,promoting,encouragement
expanding,расширении,6,6|6,expanding,enlargement
exploration,исследования,7,7|7,exploration,research
use,использования,8,8|8,use,use
outer,космического,9,"9,10|10,9",outer,space
space,пространства,10,,space,space
peaceful,мирных,11,11|11,peaceful,peaceful
purposes,целях,12,12|12,purposes,purposes
continuing,постоянных,13,13|13,continuing,permanent
efforts,усилиях,14,14|14,efforts,efforts
extend,распространению,15,15|15,extend,dissemination
states,государства,16,16|16,states,states
benefits,получаемых,17,17|18,benefits,received
derived,выгод,18,18|17,derived,benefits
therefrom,также,19,,therefrom,also
also,важности,20,,also,importance
importance,международного,21,21|20,importance,international
international,сотрудничества,22,22|21,international,cooperation
cooperation,области,23,23|22,cooperation,areas
field,организация,24,24|23,field,organization
united,объединенных,25,25|25,united,united
nations,наций,26,26|26,nations,nations
continue,должна,27,27|28,continue,should
provide,продолжать,28,28|29,provide,continue
focal,выполнять,29,,focal,fulfill
point,функции,30,,point,function
reaffirming,координатора,31,31|33,reaffirming,coordinator
importance,вновь,32,32|34,importance,again
international,подтверждая,33,33|35,international,reaffirming
cooperation,важность,34,34|36,cooperation,importance
developing,международного,35,35|37,developing,international
rule,сотрудничества,36,36|38,rule,cooperation
law,развитии,37,37|39,law,development
including,верховенства,38,38|40,including,supremacy
relevant,права,39,,relevant,rights
norms,включая,40,40|42,norms,including
space,соответствующие,41,41|43,space,the corresponding
law,нормы,42,42|44,law,norms
important,космического,43,43|45,important,space
role,права,44,44|46,role,rights
international,важную,45,45|47,international,important
cooperation,роль,46,46|48,cooperation,role
exploration,международном,47,,exploration,international
use,сотрудничестве,48,48|50,use,cooperation
outer,исследовании,49,49|51,outer,research
space,использовании,50,50|52,space,using
peaceful,космического,51,51|53,peaceful,space
purposes,пространства,52,52|54,purposes,space
widest,мирных,53,53|56,widest,peaceful
possible,целях,54,,possible,purposes
adherence,также,55,55|57,adherence,also
international,широкого,56,56|58,international,broad
treaties,присоединения,57,57|59,treaties,joining
promote,международным,58,,promote,international
peaceful,договорам,59,59|62,peaceful,treaties
uses,которые,60,"60,61|65,64",uses,which
outer,способствуют,61,,outer,contribute to
space,мирное,62,62|65,space,peaceful
seriously,использование,63,63|67,seriously,usage
concerned,космического,64,64|68,concerned,space
possibility,пространства,65,65|69,possibility,space
arms,будучи,66,66|71,arms,being
race,серьезно,67,67|70,race,Seriously
outer,обеспокоен,68,68|73,outer,concerned about
space,возможностью,69,69|72,space,opportunity
recognizing,гонки,70,70|74,recognizing,race
states,вооружений,71,71|75,states,weapons
particular,космическом,72,72|76,particular,space
major,пространстве,73,,major,space
space,признавая,74,74|81,space,recognizing
capabilities,государства,75,75|82,capabilities,states
contribute,особенно,76,,contribute,especially
actively,те,77,77|84,actively,those
goal,которые,78,78|87,goal,which
preventing,обладают,79,79|88,preventing,possess
arms,крупным,80,80|90,arms,large
race,космическим,81,81|89,race,space
outer,потенциалом,82,"82,83|82,91",outer,potential
space,должны,83,,space,must
essential,активно,84,,essential,actively
condition,способствовать,85,85|94,condition,contribute
promotion,достижению,86,,promotion,achieving
international,цели,87,87|96,international,goals
cooperation,предотвращения,88,88|97,cooperation,preventing
exploration,гонки,89,89|98,exploration,race
use,вооружений,90,90|99,use,weapons
outer,космическом,91,,outer,space
space,пространстве,92, 92|91,space,space
peaceful,важного,93,** 93|119,peaceful,important
purposes,условия,94,* 94|103,purposes,conditions
considering,развития,95,* 95|104,considering,development
space,международного,96, 96|92,space,international
debris,сотрудничества,97,,debris,cooperation
issue,исследовании,98,,issue,research
concern,использовании,99,,concern,using
nations,космического,100,,nations,space
noting,пространства,101,* 101|110,noting,space
progress,мирных,102,* 102|111,progress,peaceful
achieved,целях,103,,achieved,purposes
development,учитывая,104,* 104|95,development,Considering
peaceful,космический,105, 105|102,peaceful,space
space,мусор,106, 106|100,space,rubbish
exploration,является,107,,exploration,is an
applications,проблемой,108,# 108|116,applications,problem
well,стран,109,,well,countries
various,отмечая,110,** 110|122,various,noting
national,прогресс,111,,national,progress
cooperative,достигнутый,112,,cooperative,reached
space,дальнейшем,113, 113|117,space,further
projects,развитии,114,** 114|126,projects,development
contributes,исследования,115,,contributes,research
international,применения,116,** 116|132,international,application
cooperation,космического,117,** 117|133,cooperation,space
