spanish,french,index,alignment,spanish_eng,french_eng
respeto,respect,0,0|0,I respect,respect
propósitos,buts,1,1|1,purposes,goals
principios,principes,2,2|2,beginning,principles
contenidos,énoncés,3,3|3,contents,statements
carta,charte,4,4|4,letter,charter
naciones,nations,5, 5|5,nations,nations
unidas,unies,6, 6|6,united,united
lograr,réaliser,7,# 7|7,achieve,to achieve
cooperación,coopération,8, 8|8,cooperation,cooperation
internacional,internationale,9, 9|9,international,international
promoción,promouvant,10,10|10,promotion,promoting
fomento,encourageant,11,11|11,promotion,encouraging
respeto,respect,12,# 12|12,I respect,respect
derechos,droits,13, 13|13,Rights,rights
humanos,homme,14,# 14|14,humans,man
libertades,libertés,15, 15|15,freedoms,freedoms
fundamentales,fondamentales,16, 16|16,fundamental,fundamental
solución,résolvant,17,17|17,solution,solving
problemas,problèmes,18, 18|18,problems,problems
internacionales,internationaux,19, 19|19,international,international
carácter,caractère,20, 20|20,character,character
humanitario,humanitaire,21, 21|21,humanitarian,humanitarian
asamblea,assemblée,22, 22|22,Assembly,Assembly
general,générale,23, 23|23,general,general
recordando,rappelant,24,24|24,remembering,reminding
que,que,25,25|25,that,than
conformidad,conformément,26,# 26|26,accordance,in accordance
artículo,article,27,27|27,Article,item
carta,charte,28,28|28,letter,charter
naciones,nations,29, 29|29,nations,nations
unidas,unies,30, 30|30,united,united
miembros,tous,31, 31|33,members,all
comprometido,états,32,,committed,states
tomar,membres,33,# 33|35,take,members
medidas,engagés,34, 34|36,measures,engaged
conjuntas,prendre,35,,joint,to take
separadas,mesures,36, 36|38,separated,measures
cooperación,conjointes,37,37|37,cooperation,spouses
organización,séparées,38, 38|40,organization,separated
logro,coopération,39,,achievement,cooperation
propósitos,organisation,40,40|43,purposes,organization
establecidos,réalisation,41,,established,production
artículo,objectifs,42,42|44,Article,Goals
incluido,énoncés,43,,included,statements
respeto,article,44,# 44|46,I respect,item
universal,compris,45, 45|47,universal,understood
observancia,respect,46,,observance,respect
derechos,universel,47, 47|49,Rights,universal
humanos,respect,48,# 48|50,humans,respect
libertades,droits,49, 49|51,freedoms,rights
fundamentales,homme,50, 50|52,fundamental,man
distinción,libertés,51, 51|55,distinction,freedoms
raza,fondamentales,52, 52|56,race,fundamental
sexo,tous,53, 53|57,sex,all
idioma,sans,54,54|58,idiom,without
religión,distinction,55, 55|59,religion,distinction
recordando,race,56,58|60,remembering,race
preámbulo,sexe,57,* 57|62,preamble,sex
carta,langue,58,58|63,letter,tongue
particular,religion,59,* 59|64,particular,religion
determinación,rappelant,60,* 60|65,determination,reminding
reafirmar,également,61,61|66,reaffirm,also
fe,préambule,62, 62|67,faith,preamble
derechos,charte,63,63|68,Rights,charter
humanos,particulier,64,# 64|74,humans,particular
fundamentales,détermination,65,# 65|69,fundamental,determination
dignidad,réaffirmer,66, 66|71,dignity,reaffirm
valor,foi,67, 67|72,value,faith
persona,droits,68,68|73,person,rights
humana,fondamentaux,69,# 69|70,human,fundamentals
igualdad,homme,70, 70|75,equality,man
derechos,dignité,71, 71|68,Rights,dignity
hombres,valeur,72,72|77,mens,value
mujeres,personne,73,73|78,women,anybody
naciones,humaine,74, 74|79,nations,human
grandes,égalité,75,75|80,big,equality
pequeñas,droits,76,76|81,little,rights
reafirmando,hommes,77,77|82,reaffirming,men
promoción,femmes,78, 78|83,promotion,women
protección,nations,79, 79|84,protection,nations
derechos,grandes,80, 80|76,Rights,large
humanos,petites,81,81|87,humans,small
libertades,réaffirmant,82,* 82|88,freedoms,reaffirming
fundamentales,promotion,83,* 83|89,fundamental,promotion
debe,protection,84,84|90,has to,protection
ser,tous,85,## 85|91,be,all
considerada,droits,86,* 86|92,considered,rights
objetivo,homme,87,87|94,objective,man
prioritario,libertés,88,* 88|95,priority,freedoms
naciones,fondamentales,89,* 89|97,nations,fundamental
unidas,doivent,90,* 90|98,united,must
acuerdo,être,91,,agreement,to be
propósitos,considérées,92,92|100,purposes,considered
principios,comme,93,93|101,beginning,like
particular,objectif,94,* 94|102,particular,goal
propósito,prioritaire,95,,purpose,priority
cooperación,organisation,96,* 96|104,cooperation,organization
internacional,nations,97,97|105,international,nations
que,unies,98,98|106,that,united
marco,conformément,99,## 99|107,frame,in accordance
propósitos,buts,100,,purposes,goals
principios,principes,101,103|109,beginning,principles
promoción,particulier,102,* 102|110,promotion,particular
protección,celui,103,* 103|111,protection,the one
derechos,coopération,104,104|113,Rights,cooperation
humanos,internationale,105,## 105|114,humans,international
preocupación,que,106,106|115,worry,than
legítima,cadre,107,* 107|116,legitimate,framework
comunidad,buts,108,* 108|117,community,goals
internacional,principes,109,109|118,international,principles
considerando,promotion,110,* 110|119,considering,promotion
importantes,protection,111,111|121,important,protection
cambios,tous,112,* 112|120,changes,all
produciendo,droits,113,,producing,rights
escena,homme,114,* 114|123,scene,man
internacional,préoccupation,115, 115|118,international,concern
aspiraciones,légitime,116,* 116|125,aspirations,legitimate
pueblos,communauté,117,,towns,community
orden,internationale,118,* 118|128,order,international
internacional,considérant,119,* 119|124,international,considering
basado,changements,120,* 120|130,based,changes
principios,majeurs,121,121|131,beginning,major
consagrados,sopèrent,122,* 122|132,consecrated,operate
carta,scène,123,123|133,letter,scene
incluida,internationale,124,,included,international
promoción,aspirations,125,125|135,promotion,aspirations
fomento,tous,126,* 126|135,promotion,all
respeto,peuples,127,## 127|137,I respect,peoples
derechos,ordre,128,* 128|113,Rights,order
humanos,international,129,## 129|139,humans,international
libertades,fondé,130,* 130|140,freedoms,based
fundamentales,principes,131,* 131|141,fundamental,principles
respeto,consacrés,132,## 132|143,I respect,consecrated
